Event Picture Ref No,Business Name,Description,Interest,Start Time,End Time,Event Date,End Date,Repeat,Location,Lat/Lon,Website,Contact Number,Social media picture,Event picture,Fb Followers,Twitter Follower,Instagram Followers,,,,,,,,,,,,,,,,
Aria_C.jpg,Jewel,"Spanning more than 24,000 square feet of precisely designed space, JEWEL is as inviting as it is evocative; a rare ambient delight that must be experienced to be appreciated. Whether the headliner is a world class DJ or performer, JEWEL offers a multi-faceted experience for each guest and  event. JEWEL boasts a style that complements the modern luxury aesthetic of ARIA, while including elements that are altogether unique. The talented Rockwell Group, known for their seamless integration of technology and handcrafted detail, has created the visual narrative for JEWEL. Over 1,400 square feet of architectural LED ribbons offer a vibrant counterpoint to vintage parquet detailing and richly tufted VIP banquettes.",Live music,10:00:00 PM,4:00:00 AM,01.01.2019,31.12.2019,"Mon, Fri, Sat","3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://jewelnightclub.com,702.590.8000,Y,Y,"53,392",,,,,,,,,,,,,,,,,,
Aria_U.jpg,Liquid Pool Lounge,"The ultimate in poolside opulence, LIQUID Pool Lounge is defined by its distinctive contemporary ambiance and ultra VIP service. Designed by Graft Lab, LIQUID features high-tech amenities and 8 cabanas, offering prime seclusion within the already exclusive setting. LIQUID also features seven U-shaped banquettes on the main pool deck, 17 new elite daybeds, 27 banquettes and tables, and eight new L-shaped banquettes.  Electrifying beats spun by world-class DJs sets a lively mood as guests enjoy the exclusivity and seclusion provided by towering palms. Two luxury pools create a tempting and cool oasis from the hot Vegas sun and overlook the main pool deck. Private cabanas equipped with modern technologies, comfortable furniture and contemporary design are available. Multiple bars and a mouthwatering menu complement personalized chaise lounge and daybed services, which provide the perfect summertime refuge.

Upscale and chic, LIQUID will feature exclusive VIP service and refined outdoor dining.  The restaurant at LIQUID will offer a sophisticated and light poolside menu featuring signature dishes include Mahi Mahi Tacos and Coconut Shrimp.  A new specialty cocktail menu also will be available and features the refreshing Watermelon Cooler and Liquid Fusion.",Live music,11:00:00 AM,6:00:00 PM,01.01.2019,31.12.2019,"Wed, Thu, Fri, Sat, Sun","3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,http://liquidpoollv.com/home,702-590-9979,Y,Y,"52,788",,"31,300",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
