Event Picture Ref No,Event Name,Description,Interest,Start Time,Finish Time,Event Date,End Date,Reapeat,Location,Lat/Lon,Website,Contact Number
Caesers_19.jpg,The Palm,"Whether you_re looking for a relaxing cocktail at our beautiful bar, craving a generous steak with the perfect glass of wine, or planning a special party for an upcoming milestone, we have all this and more waiting for you at The Palm.",Bars & Lounges,11:00:00 AM,11:00:00 PM,01.01.2019,31.12.2019,Everyday,"3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,https://thepalm.com/restaurants/las-vegas/,702 732 7256
Caesers_20.jpg,Trevi,"Located in the heart of The Forum Shops at Caesars, one of the world's premier shopping destinations, TREVI Italian Restaurant serves up authentic and approachable favorites from Executive Chef Jose Navarro daily for lunch and dinner.Sure to fuel up a fun day of shopping or to enjoy dinner before a show, TREVI is Las Vegas' favorite spot in town for Italian fare. Named ""Best Italian"" by the Las Vegas Review-Journal, TREVI's specialties feature an array of brick oven fired pizzas, including a deep-dish lasagna and Italian sausage, as well as signature entr‚es and pasta selections such as chicken marsala, rigatoni Bolognese and more.Don't forget to indulge your sweet tooth with TREVI's house-made gelato, with a flavor for every occasion and season, made daily.Looking for a place to relax and enjoy a fun happy hour? TREVI Time serves up half-priced appetizers and drink specials from 2pm to 6pm every Sunday through Friday.With a private upper level and several banquet packages to choose from, TREVI will make your rehearsal dinner, corporate event or other special event extraordinary",Bars & Lounges,11:00:00 AM,11:00:00 PM,01.01.2019,31.12.2019,"Mon, Tue, Wed, Thu","3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,http://www.trevi-italian.com/gallery.asp,702 735 4663
Caesers_20.jpg,Trevi,"Located in the heart of The Forum Shops at Caesars, one of the world's premier shopping destinations, TREVI Italian Restaurant serves up authentic and approachable favorites from Executive Chef Jose Navarro daily for lunch and dinner.Sure to fuel up a fun day of shopping or to enjoy dinner before a show, TREVI is Las Vegas' favorite spot in town for Italian fare. Named ""Best Italian"" by the Las Vegas Review-Journal, TREVI's specialties feature an array of brick oven fired pizzas, including a deep-dish lasagna and Italian sausage, as well as signature entr‚es and pasta selections such as chicken marsala, rigatoni Bolognese and more.Don't forget to indulge your sweet tooth with TREVI's house-made gelato, with a flavor for every occasion and season, made daily.Looking for a place to relax and enjoy a fun happy hour? TREVI Time serves up half-priced appetizers and drink specials from 2pm to 6pm every Sunday through Friday.With a private upper level and several banquet packages to choose from, TREVI will make your rehearsal dinner, corporate event or other special event extraordinary",Bars & Lounges,11:00:00 AM,12:00:00 AM,01.01.2019,31.12.2019,"Fri, Sat","3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,http://www.trevi-italian.com/gallery.asp,702 735 4663
Caesers_17.jpg,Spago,"Located in The Forum Shops at Caesars, Spago_s Las Vegas outpost is acknowledged as the spark that ignited the city_s fine dining phenomenon and continues to be a trendsetter in cuisine, service and style. The menu features seasonal cuisine with global influences and signature Wolfgang Puck touches, all complemented by an exceptional international wine list and specialty cocktails. Spago_s bar is a prime venue for people-watching and celebrity-spotting, just steps away from the casino and the Colosseum theater.",Bars & Lounges,11:00:00 AM,12:00:00 AM,01.01.2019,31.12.2019,Everyday,"3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,https://wolfgangpuck.com/dining/spago-lv/,702 369 6300
Caesers_23jpg,Cleopatra's Barge,"Truly a piece of Caesars Palace_s storied history, Cleopatra_s Barge offers a classic Vegas lounge and bar experience. With its intimate size and red and gold d‚cor, the luxurious floating barge is an ornate replica of the graceful craft that transported the royalty of Egypt on the Nile River in the time of Julius Caesar.LIVE MUSICLive bands and DJs play a variety of music Thuday through Saturday nights on Cleopatra's Barge. With no cover charge unless otherwise noted, guests are invited to take advantage of open seating or dance in a notable Vegas institution.",Bars & Lounges,7:00:00 PM,3:00:00 AM,01.01.2019,31.12.2019,"Thu, Fri, Sat","3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,https://www.caesars.com/caesars-palace/things-to-do/cleopatras-barge?utm_campaign=GMB&utm_source=google&utm_medium=local&utm_term=Cleopatras%252520Barge&utm_content=bar#.WmbCuSOZM_U,702 731 7333
Caesers_12.jpg,Numb Bar & Frozen Cocktails,"Want to grab a drink and peruse the casino table action or invest in a super-sized cocktail on the go? Numb_s walk-up bar access and location right on the casino floor makes it simple.The drinks' slushy textures and fun flavors cool down the hottest days in Las Vegas. Free samples entice you to try everything from the fruity Naked Colada to the buzzy Numb Cappuccino.Offering a variety of blended drinks to suit every taste, try the Strawberry Butterfly or Purple Haze in one of the collectible hookah or 3-D cups. Spring for an extra added shot ($5) or bring in your container to refill at a discount price. Mixed cocktails, draft beers, margaritas and virgin drinks are also available. Looking for a wake-up jolt? We challenge you to try the Up All Night, a frosty concoction of energy drinks, vitamins and Skyy vodka.",Bars & Lounges,10:00:00 AM,1:00:00 AM,01.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,https://www.caesars.com/caesars-palace/things-to-do/numb-bar-and-frozen-cocktails?utm_campaign=GMB&utm_source=google&utm_medium=local&utm_term=Numb%20Bar%20&%20Frozen%20Cocktails&utm_content=Bar#.WmbE-iOZM_U,702 731 7110
Caesers_12.jpg,Numb Bar & Frozen Cocktails,"Want to grab a drink and peruse the casino table action or invest in a super-sized cocktail on the go? Numb_s walk-up bar access and location right on the casino floor makes it simple.The drinks' slushy textures and fun flavors cool down the hottest days in Las Vegas. Free samples entice you to try everything from the fruity Naked Colada to the buzzy Numb Cappuccino.Offering a variety of blended drinks to suit every taste, try the Strawberry Butterfly or Purple Haze in one of the collectible hookah or 3-D cups. Spring for an extra added shot ($5) or bring in your container to refill at a discount price. Mixed cocktails, draft beers, margaritas and virgin drinks are also available. Looking for a wake-up jolt? We challenge you to try the Up All Night, a frosty concoction of energy drinks, vitamins and Skyy vodka.",Bars & Lounges,10:00:00 AM,3:00:00 AM,01.01.2019,31.12.2019,"Fri, Sat","3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,https://www.caesars.com/caesars-palace/things-to-do/numb-bar-and-frozen-cocktails?utm_campaign=GMB&utm_source=google&utm_medium=local&utm_term=Numb%20Bar%20&%20Frozen%20Cocktails&utm_content=Bar#.WmbE-iOZM_U,702 731 7110
Caesers_16.jpg,Searsucker,"There_s no better place to _Come Early, Stay Late_ than Searsucker Las Vegas, located at Caesars Palace!  With a retro vibe, a menu of new American classics, and welcoming interiors by renowned designer, Thomas Schoos, Searsucker is the perfect venue for a night to remember.  We_ll plan your entire dining experience; what happens afterward is completely up to you.",Bars & Lounges,5:00:00 PM,11:00:00 PM,01.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,https://searsucker.com/las-vegas/,702 866 1800
Caesers_16.jpg,Searsucker,"There_s no better place to _Come Early, Stay Late_ than Searsucker Las Vegas, located at Caesars Palace!  With a retro vibe, a menu of new American classics, and welcoming interiors by renowned designer, Thomas Schoos, Searsucker is the perfect venue for a night to remember.  We_ll plan your entire dining experience; what happens afterward is completely up to you.",Bars & Lounges,5:00:00 PM,11:00:00 PM,01.01.2019,31.12.2019,"Tue, Fri, Sat","3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,https://searsucker.com/las-vegas/,702 866 1800
Caesers_19.jpg,The Palm,"Whether you_re looking for a relaxing cocktail at our beautiful bar, craving a generous steak with the perfect glass of wine, or planning a special party for an upcoming milestone, we have all this and more waiting for you at The Palm.",Bars & Lounges,11:00:00 AM,11:00:00 PM,01.01.2019,31.12.2019,Everyday,"3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,https://thepalm.com/restaurants/las-vegas/,702 732 7256
Caesers_9.jpg,Margaritaville,"A visit to Margaritaville Las Vegas in Las Vegas, NV is an opportunity to step out of your daily routine and into an island adventure on Las Vegas Boulevard",Bars & Lounges,8:00:00 AM,1:00:00 AM,01.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,https://www.margaritavillelasvegas.com,702 733 3302
Caesers_9.jpg,Margaritaville,"A visit to Margaritaville Las Vegas in Las Vegas, NV is an opportunity to step out of your daily routine and into an island adventure on Las Vegas Boulevard",Bars & Lounges,8:00:00 AM,2:00:00 AM,01.01.2019,31.12.2019,"Fri, Sat","3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,https://www.margaritavillelasvegas.com,702 733 3302
Caesers_15.jpg,Race and Sports Book,Experience sports betting Vegas style at Caesars Palace Race and Sports Book. Place your bets and watch the action on our bank of large-screen HDTVs.,Bars & Lounges,12:00:00 AM,11:59:00 PM,01.01.2019,31.12.2019,Everyday,"3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,https://www.caesars.com/caesars-palace/casino/race-and-sports-book?utm_campaign=GMB&utm_source=google&utm_medium=local&utm_term=Race%252520and%252520Sports%252520Bar&utm_content=bar,866 227 5938
