Event Picture Ref No,Event Name,Description,Interest,Start Time,Finish Time,Event Date,End Date,Reapeat,Location,Lat/Lon,Website,Contact Number
Caesers_3.jpg,Cafe‚ Americano,"Cafe‚ Americano serves up classic American fare with a Latin twist 24 hours a day, 365 days of the year. Located in the main lobby of Caesar_s Palace, Las Vegas, guests of Caf‚ Americano can enjoy a contemporary and relaxed atmosphere all day and all night. Enjoy expertly-crafted cocktails at the bar and lounge where you may witness mixologists create everything from barrel-aged classics to signature and traditional drinks.Americano dining room and savor deliciously fresh American comfort food with a latin twist during breakfast, lunch, dinner or our late night menu. Start or end in our terrazza where you an watch any sporting event or just enjoy the view.  Guests are sure to enjoy an all fresh meal, 24 hours a day.",Restaurants,12:00:00 AM,11:59:00 PM,01.01.2019,31.12.2019,Everyday,"3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,,702 650 5921
Caesers_20.jpg,Trevi,"Located in the heart of The Forum Shops at Caesars, one of the world's premier shopping destinations, TREVI Italian Restaurant serves up authentic and approachable favorites from Executive Chef Jose Navarro daily for lunch and dinner.Sure to fuel up a fun day of shopping or to enjoy dinner before a show, TREVI is Las Vegas' favorite spot in town for Italian fare. Named ""Best Italian"" by the Las Vegas Review-Journal, TREVI's specialties feature an array of brick oven fired pizzas, including a deep-dish lasagna and Italian sausage, as well as signature entr‚es and pasta selections such as chicken marsala, rigatoni Bolognese and more.Don't forget to indulge your sweet tooth with TREVI's house-made gelato, with a flavor for every occasion and season, made daily.Looking for a place to relax and enjoy a fun happy hour? TREVI Time serves up half-priced appetizers and drink specials from 2pm to 6pm every Sunday through Friday.With a private upper level and several banquet packages to choose from, TREVI will make your rehearsal dinner, corporate event or other special event extraordinary",Restaurants,11:00:00 AM,11:00:00 PM,01.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,http://www.trevi-italian.com/gallery.asp,702 735 4663
Caesers_16.jpg,Searsucker,"There_s no better place to _Come Early, Stay Late_ than Searsucker Las Vegas, located at Caesars Palace!  With a retro vibe, a menu of new American classics, and welcoming interiors by renowned designer, Thomas Schoos, Searsucker is the perfect venue for a night to remember.  We_ll plan your entire dining experience; what happens afterward is completely up to you.",Restaurants,5:00:00 PM,11:00:00 PM,01.01.2019,31.12.2019,"Mon, Wed","3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,http://searsucker.com/las-vegas/,702 866 1800
Caesers_16.jpg,Searsucker,"There_s no better place to _Come Early, Stay Late_ than Searsucker Las Vegas, located at Caesars Palace!  With a retro vibe, a menu of new American classics, and welcoming interiors by renowned designer, Thomas Schoos, Searsucker is the perfect venue for a night to remember.  We_ll plan your entire dining experience; what happens afterward is completely up to you.",Restaurants,5:00:00 PM,12:00:00 AM,01.01.2019,31.12.2019,"Tue, fri, Sat","3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,http://searsucker.com/las-vegas/,702 866 1800
Caesers_9.jpg,Margaritaville,"A visit to Margaritaville Las Vegas in Las Vegas, NV is an opportunity to step out of your daily routine and into an island adventure on Las Vegas Boulevard",Restaurants,8:00:00 AM,1:00:00 AM,01.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,https://www.margaritavillelasvegas.com,702 733 3302
Caesers_9.jpg,Margaritaville,"A visit to Margaritaville Las Vegas in Las Vegas, NV is an opportunity to step out of your daily routine and into an island adventure on Las Vegas Boulevard",Restaurants,8:00:00 AM,2:00:00 AM,01.01.2019,31.12.2019,"Fri, Sat","3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,https://www.margaritavillelasvegas.com,702 733 3302
Caesers_10.jpg,Mesa Grill,"The combination of Mesa Grill's magnificent decor, the exciting vibe of the casino atmosphere and Bobby Flay's stunning range of textures, flavors and colors incorporated into his menu continue to electrify diners year after year.",Restaurants,10:30:00 AM,11:00:00 PM,01.01.2019,31.12.2019,Everyday,"3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,http://mesagrill.com/?utm_campaign=GMB&utm_source=google&utm_medium=local&utm_term=MesaGrill&utm_content=restaurant,877 346 4642
Caesers_3.jpg,Cafe‚ Americano,"Cafe‚ Americano serves up classic American fare with a Latin twist 24 hours a day, 365 days of the year. Located in the main lobby of Caesar_s Palace, Las Vegas, guests of Caf‚ Americano can enjoy a contemporary and relaxed atmosphere all day and all night. Enjoy expertly-crafted cocktails at the bar and lounge where you may witness mixologists create everything from barrel-aged classics to signature and traditional drinks.Americano dining room and savor deliciously fresh American comfort food with a latin twist during breakfast, lunch, dinner or our late night menu. Start or end in our terrazza where you an watch any sporting event or just enjoy the view.  Guests are sure to enjoy an all fresh meal, 24 hours a day.",Restaurants,12:00:00 AM,11:59:00 PM,01.01.2019,31.12.2019,Everyday,"3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,,702 650 5921
Caesers_7.jpg,Guy Savoy,"Fine dining reaches its peak at Restaurant Guy Savoy, featuring delicate, acclaimed French masterpieces created by the famed Michelin-star chef. The restaurant is located in the Augustus Tower near Qua spa and the wedding chapels.Designed to emulate the menu of his Paris restaurant, the Restaurant Guy Savoy Caesars Palace menu includes many classic Savoy dishes such as soupe d'artichaut … la truffe noire, brioche feuillell‚e aux champignons et truffles; for dessert there is the Fondant au Chocolat or Terrine de Pamplemousse. The rich, velvety, traditional French cuisine can only be described as a ""melt in your mouth"" splurge.Fun fact: Chef Guy Savoy doesn't include any flowers in the restaurant or allow any of his employees to wear perfume so as not to disrupt the aroma of his rich cuisine. This type of attention to detail creates a more sumptuous, unforgettable experience rather than a quick meal.",Restaurants,5:30:00 PM,9:30:00 PM,01.01.2019,31.12.2019,"Wed, Thu, Fri, Sat, Sun","3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,https://www.caesars.com/caesars-palace/restaurants/guy-savoy#.WmVIViOZOqA,702 731 7286
Caesers_1.jpg,Beijing Noodle No. 9,"The whopping 14-page menu at Beijing Noodle No. 9 means you'll never eat the same thing twice. Whether you are craving chow mein, fried rice or a lychee martini, you can explore and experience all the offerings listed. Walk through a dramatic entrance flanked by gigantic fish tanks and you'll immediately immerse yourself in the energy which is reminiscent of the streets of Shanghai, Hong Kong or Beijing.Las Vegas dining elegance meets authentic Asian flavor under the direction of Executive Chef Li Yu. Along with a few other Asian influences, a plethora of Northern Chinese signatures and specialties are found on the extensive menu. Beijing pancakes, won ton soup, fried rice, and dim sum of all kinds are top picks here, with your choice of vegetables, pork, chicken, seafood or beef. Noodles are a must for any Chinese hot spot and they're hand-made every night at Beijing Noodle No. 9. As a bonus for onlookers, the open kitchen chefs have been intensely trained on how to hand stretch noodles.",Restaurants,12:00:00 AM,11:59:00 PM,01.01.2019,31.12.2019,Everyday,"3500 Las Vegas Blvd. South Las Vegas, 89109",36.117453-115.176688,https://www.caesars.com/caesars-palace/restaurants/beijing-noodle-number-9?utm_campaign=GMB&utm_source=google&utm_medium=local&utm_term=BeijingNoodleNo9&utm_content=restaurant#.WmVJGCOZOqA,877 346 4642
