Event picture number,Event name,Description,Interest,Start time,Finish time ,Event date,End date,Repeat,Location,Lat/Lon,Website,Contact Number
Cosmopolitan _7.jpg,Beauty & Essex,"Hidden Behind A Pawn Shop Storefront, Beauty & Essex Invites Discovery In Every Sense Of The Word. After You Walk Through This Lavish Pawn Shop Inspired Storefront, You_Ll Then Find A Stunning Restaurant With Your Table In One Of Several Jewelry Box Rooms.
A Partnership With Tao Group And Acclaimed Chef/Restaurateur Chris Santos, Beauty & Essex Offers Unique Sharing Plates And New Twists On Classic Cocktails. The Menu Serves Up Gems Like Grilled Cheese Smoked Bacon & Tomato Soup Dumplings, Chicken Meatballs, 40-Day Dry-Aged Tomahawk Ribeye And More.
",Restaurants,5:00:00 PM,11:00:00 PM,06.01.2019,31.12.2019,"Sun, Mon, Tue, Wed","3708 Las Vegas Boulevard South, Las Vegas, NV 89109",36.110160-115.174040,https://www.cosmopolitanlasvegas.com/restaurants/beauty-essex,1 877 893 2001 
Cosmopolitan _7.jpg,Beauty & Essex,"Hidden Behind A Pawn Shop Storefront, Beauty & Essex Invites Discovery In Every Sense Of The Word. After You Walk Through This Lavish Pawn Shop Inspired Storefront, You_Ll Then Find A Stunning Restaurant With Your Table In One Of Several Jewelry Box Rooms.
A Partnership With Tao Group And Acclaimed Chef/Restaurateur Chris Santos, Beauty & Essex Offers Unique Sharing Plates And New Twists On Classic Cocktails. The Menu Serves Up Gems Like Grilled Cheese Smoked Bacon & Tomato Soup Dumplings, Chicken Meatballs, 40-Day Dry-Aged Tomahawk Ribeye And More.
",Restaurants,5:00:00 PM,12:00:00 AM,10.01.2019,31.12.2019,"Thu, Fri, Sat","3708 Las Vegas Boulevard South, Las Vegas, NV 89109",36.110160-115.174040,https://www.cosmopolitanlasvegas.com/restaurants/beauty-essex,1 877 893 2001 
Cosmopolitan _8.jpg,Blue Ribbon ,"Blue Ribbon Brings New York City Flavor To The Cosmopolitan
Chefs And Restaurateurs Bruce And Eric Bromberg Bring Their Vision Of True American Cuisine To The New Blue Ribbon Restaurant At The Cosmopolitan, With A Menu That Is A Melting Pot Of Worldly Influence And The Chefs' Culinary Education And Escapades. Blue Ribbon Is Built On A Vision That Originated 25 Years Ago With Two Brothers And One Small Restaurant In New York, Which Grew Into A Beloved City Staple ""Where Chefs Go To Eat."" The Duo Is Famously Known For Introducing Signature Items Such As Oysters On The Half Shell, Beef Marrow And Fried Chicken To The Forefront Of The National Culinary Scene Back In 1992. Now, At The Cosmopolitan, Blue Ribbon Builds On That Original Vision And Draws Inspiration From The Bustling Energy Of The Las Vegas Strip.
Blue Ribbon Brings New York City Flavor To The Cosmopolitan
Chefs And Restaurateurs Bruce And Eric Bromberg Bring Their Vision Of True American Cuisine To The New Blue Ribbon Restaurant At The Cosmopolitan, With A Menu That Is A Melting Pot Of Worldly Influence And The Chefs' Culinary Education And Escapades. Blue Ribbon Is Built On A Vision That Originated 25 Years Ago With Two Brothers And One Small Restaurant In New York, Which Grew Into A Beloved City Staple ""Where Chefs Go To Eat."" The Duo Is Famously Known For Introducing Signature Items Such As Oysters On The Half Shell, Beef Marrow And Fried Chicken To The Forefront Of The National Culinary Scene Back In 1992. Now, At The Cosmopolitan, Blue Ribbon Builds On That Original Vision And Draws Inspiration From The Bustling Energy Of The Las Vegas Strip.
Blue Ribbon_S Dinner Menu Is Heavily Inspired By The Original Soho Location, With Long Time Favorites Including Beef Marrow & Oxtail Marmalade; Cheese Fondue; Pu Pu Platter; And Pan Roasted Skate With Crispy Potatoes, Shrimp & Bacon. New Creations Exclusive To The Las Vegas Location Include Pan Roasted Dover Sole With Artichokes And Capers, Bourbon-Glazed Prime Rib Of Pork, And Most Notably, An Array Of Offerings From The Raw Bar Including Shellfish, Oysters, Clams, Shrimp, Lobster And Crab. As The Nation_S Go-To Spot For Serious Gastronomes, Blue Ribbon At The Cosmopolitan Offers Dinner Service As Well As The Late-Night Dining Experience That They Have Become So Well Known For.
Signature Dishes
Blue Ribbon'S Famous Fried Chicken, Served With Mashed Potatoes, Gravy And Collard Greens
Beef Marrow & Oxtail Marmalade, Accompanied By Parsley Salt And Challah ",Restaurants,5:00:00 PM,12:00:00 AM,06.01.2019,31.12.2019,Everyday,"3708 Las Vegas Boulevard South, Las Vegas, NV 89109",36.110160-115.174040,https://www.cosmopolitanlasvegas.com/restaurants/blue-ribbon,1 877 893 2001 
Cosmopolitan _9.jpg,China Poblano,"An Innovative Concept From Chef JosÇ AndrÇs, China Poblano At The Cosmopolitan Of Las Vegas Combines The Flavors Of Mexico And China To Create A Breakthrough Restaurant Experience That Encompasses Both Authentic Dishes And Inspired New Favorites.
Here, Noodles And Tacos Come Together In A Festive, Stylish Setting. Guacamole Is Made To Order And Served Alongside Mi Fen Noodles With Dried Shrimp And Black Mushrooms. A Wide Array Of Tacos Includes Everything From Authentic Carnitas To Inspired Soy-Marinated Duck And Salsa, All Crafted In House-Made Tortillas.
Experience Menus
How Do The Fascinating Flavors Of China And Mexico Go Together? Allow Our Chef To Show You How With One Of Our Experience Menus:
Chef_S Experience _ A Tour Of China And Mexico_S Favorite Traditional And Modern Flavors
The China Poblano Cocktail Experience _ Four Unique Cocktails Inspired By The Spirits Of China And Mexico",Restaurants,11:30:00 AM,11:00:00 PM,06.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3708 Las Vegas Boulevard South, Las Vegas, NV 89109",36.110160-115.174040,https://www.cosmopolitanlasvegas.com/restaurants/china-poblano,1 877 893 2001 
