Event picture number,Event name,Description,Interest,Start time,Finish time ,Event date,End date,Repeat,Address,Lat/Lon,Website,Phone
Happy_1.jpg,5 O'Clock Somewhere Bar,"Margaritaville Casino_s 5 O_Clock Somewhere Bar inside Flamingo features nickel beers  day from 5 to 6 p.m. as well as $2 LandShark drafts, $5 house margaritas and more. Do it again during a reverse happy hour from 2 a.m. to 10 a.m. daily.",Happy hours ,5:00:00 PM,6:00:00 PM,01.01.2019,31.12.2019,Everyday ,"3555 Las Vegas Blvd S., Las Vegas, NV 89109","36.116385-115.170749",https://www.margaritavillelasvegas.com/casino/5-o-clock-somewhere-bar,702 733-3302
Happy_1.jpg,5 O'Clock Somewhere Bar,"Margaritaville Casino_s 5 O_Clock Somewhere Bar inside Flamingo features nickel beers  day from 5 to 6 p.m. as well as $2 LandShark drafts, $5 house margaritas and more. Do it again during a reverse happy hour from 2 a.m. to 10 a.m. daily.",Happy hours ,2:00:00 AM,10:00:00 AM,01.01.2019,31.12.2019,Everyday ,"3555 Las Vegas Blvd S., Las Vegas, NV 89109","36.116385-115.170749",https://www.margaritavillelasvegas.com/casino/5-o-clock-somewhere-bar,702 733-3302
Happy_2.jpg,Americana Las Vegas,"Americana Las Vegas offers half-off food, cocktails, wines and beer from 3 to 6 p.m. daily in the bar and lounge. Dishes include Nantucket scallops with sweet baby carrot risotto; smoked lamb chops served over pan-seared gnocchi; and market-select oysters topped with mango sorbet, Thai chili and cucumber.",Happy hours ,3:00:00 PM,6:00:00 PM,01.01.2019,31.12.2019,Everyday ,"2620 Regatta Drive, suite 118, Las Vegas, NV 89128",36.207456-115.267847,https://www.americanalasvegas.com/,702 331 5565
Happy_3.jpg,Andiron Steak and Sea,"Andiron Steak & Sea at Downtown Summerlin offers $1 oysters and half priced wines by the glass, cocktails and beers during happy hour from 4 to 7 p.m.",Happy hours ,4:00:00 PM,7:00:00 PM,01.01.2019,31.12.2019,Everyday ,"1720 Festival Plaza Dr Las Vegas, NV 89135",36.150666-115.333916,http://andironsteak.com/,702 685-8002
Happy_3.jpg,Andiron Steak and Sea,"Andiron Steak & Sea at Downtown Summerlin offers $1 oysters and half priced wines by the glass, cocktails and beers during happy hour from 4 to 7 p.m.",Happy hours ,4:00:00 PM,12:00:00 AM,01.01.2019,31.12.2019, Thu,"1720 Festival Plaza Dr Las Vegas, NV 89135",36.150666-115.333916,http://andironsteak.com/,702 685-8002
Happy_4.jpg,Alto Bar,"The largest bar in Caesars Palace is in an open space and perfect for people watching. If you_d rather make things a little more private, there are booths which have personal televisions in them. The main area features eight HD televisions and 18 video poker machines. During happy hour there are specials on draft and bottled beers. The real steal is with the crafted cocktails _ anything $18 or less is two-for-one during this time. Enjoy a classic, spicy Bloody Mary featuring Tito_s Handmade vodka, house-made Bloody Mary mix and hand-stuffed blue cheese olives while your mate gets tropical with a Black Barrel Mojito which contains Mount Gay Black Barrel rum, mint, fresh-squeezed lime sour and is topped with soda. There are 10 cocktails to choose from.",Happy hours ,12:00:00 PM,2:00:00 PM,01.01.2019,31.12.2019,Everyday ,"3570 S Las Vegas Blvd, Las Vegas, NV 89109",36.116399-115.175036,http://blog.caesars.com/las-vegas/las-vegas-restaurant/caesars-palace-happy-hour-guide/,877 346 4642
Happy_5.jpg,Andre's Bistro & Bar,"Andre's Bistro & Bar Happy hour at Andre_s Bistro & Bar takes place daily from 3:30 to 5:30 p.m. with $2 off specialty cocktails, well drinks, wine by the glass and $1 off draft and bottled beer. Duck fat French fries go for $12, lamb and beef sliders cost $10, a bistro hot dog with foie gras goes for $8, the chopped salad costs $8, and more.",Happy hours ,3:00:00 PM,6:00:00 PM,01.01.2019,31.12.2019," Tue, Wed, Thu, Fri, Sat","6115 S Fort Apache Rd Las Vegas, NV 89148",36.077382-115.298600,https://www.andresbistroandbar.com/,702 798-7151
Happy_6.jpg,Herbs and Rye,Drink Special and 50% off steaks and selected food menu,Happy hours ,5:00:00 PM,8:00:00 PM,01.01.2019,31.12.2019," Mon, Tue, Wed, Thu, Fri, Sat","3713 West Sahara, Las Vegas, NV 89102",36.144226-115.191666,http://www.herbsandrye.com/,702 982 8036
Happy_6.jpg,Herbs and Rye,Drink Special and 50% off steaks and selected food menu,Happy hours ,12:00:00 AM,3:00:00 AM,01.01.2019,31.12.2019," Mon, Tue, Wed, Thu, Fri, Sat","3713 West Sahara, Las Vegas, NV 89102",36.144226-115.191666,http://www.herbsandrye.com/,702 982 8036
Happy_7.jpg,Aureole,"Happy hour in the lounge at Aureole at Mandalay Bay occurs all night long and includes $5 wines, cocktails and spirits, $5 beers, and the chef's selection of $9 small plates, featuringbacon wrapped sliders, a honey grilled cheese,oysters of the day, and more.",Happy hours ,5:00:00 PM,7:00:00 PM,01.01.2019,31.12.2019,Everyday ,"3950 Las Vegas Blvd S Las Vegas, NV 89119",36.094028-115.176990,http://www.charliepalmer.com/aureole-las-vegas/,702 632 7401
