Event Picture Ref No,Event Name,Description,Interest,Start Time,End Time,Event Date,End Date,Repeat,Location ,Lat/Long,Website,Contact Number
Linq_25.jpg,Brooklyn Bowl,"Almost 7 years ago, old friends and partners Peter Shapiro and Charlie Ryan opened the doors to Brooklyn Bowl on July 7, 2009. With live music, Blue Ribbon food, and 16 bowling lanes all confined under one roof, it_s safe to say that Brooklyn Bowl is more than your average music venue.  ",Live music,5:00:00 PM,1:00:00 AM,14.01.2019,14.01.2019,NO,"3535 Las Vegas Blvd South Las Vegas, NV 89109","36.118412, -115.171347",https://www.brooklynbowl.com/las-vegas/,702 862 2695
Linq_26.jpg,Brooklyn Bowl,BOUNCE CRUZ' 40TH BIRTHDAY PARTY FEAT. ST1,Live music,7:00:00 PM,1:00:00 AM,12.01.2019,12.01.2019,NO,"3535 Las Vegas Blvd South Las Vegas, NV 89109","36.118412, -115.171347",https://www.brooklynbowl.com/las-vegas/,702 862 2695
Linq_27.jpg,Trivia Night Feat. Sam Sanders At Brooklyn Bowl,"It_s hip to be square! Join Nevada Public Radio and Brooklyn Bowl Las Vegas for the first installment in a new series of trivia, conversation and cocktails on Wedesday, January 16, 2019 featuring special guest Sam Sanders, host of NPR's weekly news, culture and everything show ""It's Been A Minute."" Sam will moderate a pop-culture-pub-trivia night with 100% of ticket proceeds benefitting Nevada Public Radio. Gather teams of up to 8 and test your knowledge of current events, music, TV and more against fellow NPR junkies in all their nerd glory. VIP Bowling lanes of up to eight and tables of up to four can be reserved in advance or standing room only general admission teams are welcome to compete.Here_s how the evening will go.6-7p: Meet, mix and mingle with fellow NPR listeners and enjoy half price drinks and appetizers7p: Nevada Public Radio will engage in a brief conversation with Sam covering all topics including Sam's Aunt Betty, three words and the best part of their week.7:30p: Trivia Begins! NPR_s Sam Sanders will emcee three rounds of a pop-culture themed pub-trivia contest.Great prizes will be awarded throughout the night, including the grand prize for the trivia team victor. Reserve your spot now _ space will fill up quickly.",Live music,6:00:00 PM,9:00:00 PM,16.01.2019,16.01.2019,NO,"3535 Las Vegas Blvd South Las Vegas, NV 89109","36.118412, -115.171347",https://www.brooklynbowl.com/event/1796181-trivia-night-sam-sanders-las-vegas/,702 862 2695
Linq_28.jpg,The Green At Brooklyn Bowl,"Since forming on O'ahu, Hawai'i, in 2009, The Green has become one of the most successful and beloved bands in the reggae genre. During their relatively short career, the band has been awarded a Best Reggae Album nod from iTunes (2010, for their self-titled debut), four coveted Na Hoku Hanohano awards in their native Hawai'i (2011 and 2014, including Group of the Year, two different Reggae Albums of the Year and Entertainer of the Year), and two #1 Billboard Reggae chart debuts, along with charting on the Billboard Top 200. Not bad for a band that was formed by six members of Hawai'i's tight-knit music scene to record a few songs and have some fun.The Green was one of the first Hawaiian reggae bands to tour extensively on the mainland, as well as going further afield to New Zealand, Japan and other locales. Before becoming a headliner on their own, the band supported bands like Bruno Mars, Rebelution, Michael Franti, Iration, SOJA, and Damian Marley, as well as performed at acclaimed festivals including Vans Warped Tour, Wakarusa, Sierra Nevada World Music Festival, and California Roots Festival.The Green's fourth studio album, Marching Orders, comes out October 20, via longtime label partner Easy Star Records. It continues the group's steady march to the top ranks of their genre and beyond, with early reviews already calling it ""innovative"" and ""imaginative."" The Green has a winter headlining tour lined up and recently announced covering much of the U.S., with further touring plans expected to be announced for a busy 2018.",Live music,8:00:00 PM,11:00:00 PM,17.01.2019,17.01.2019,NO,"3535 Las Vegas Blvd South Las Vegas, NV 89109","36.118412, -115.171347",https://www.brooklynbowl.com/event/1799669-green-las-vegas/,702 862 2695
Linq_57.jpg,Trombone Shorty & Orleans Avenue At Brooklyn Bowl,"Trombone Shorty's new album opens with a dirge, but if you think the beloved bandleader, singer, songwriter and horn-blower born Troy Andrews came here to mourn, you got it all wrong. That bit of beautiful New Orleans soul_""Laveau Dirge No. 1,"" named after one of the city's most famous voodoo queens_shows off our host's roots before Parking Lot Symphony branches out wildly, wonderfully, funkily across 12 diverse cuts. True to its title, this album contains multitudes of sound_from brass band blare and deep-groove funk, to bluesy beauty and hip-hop/pop swagger_and plenty of emotion all anchored, of course, by stellar playing and the idea that, even in the toughest of times, as Andrews says, ""Music brings unity.""",Live music,7:30:00 PM,11:00:00 PM,9.01.2019,9.01.2019,NO,"3535 Las Vegas Blvd South Las Vegas, NV 89109","36.118412, -115.171347",https://www.brooklynbowl.com/event/1799669-green-las-vegas/,702 862 2695
Linq_30.jpg,The Dude Ranch At Brooklyn Bowl,"Dude! We heard you like Blink 182 so we put a guy and a guy and a girl and a guy on stage together and they suddenly became Dude Ranch and the Girl at the Rock show. Dude Ranch and The Girl at the Rock show will transport you straight back to the late 90's when the US only had three major music festivals and Furbees were still being sold un-ironically. These four Blink fanatics are hellbent on accurately recreating the classic music and debauchery of ""Mark Tom and Travis Show"" era Blink.",Live music,8:00:00 PM,11:00:00 PM,25.01.2019,25.01.2019,NO,"3535 Las Vegas Blvd South Las Vegas, NV 89109","36.118412, -115.171347",https://www.brooklynbowl.com/event/1799669-green-las-vegas/,702 862 2695
Linq_31.jpg,Kottonmouth Kings At Brooklyn Bowl,"Self described hip-hop/punk rock band from Placentia, California. Initially known as The P-Town Ballers and then Cottonmouth until settling on Kottonmouth Kings. The group started with high school friends Steve Thronson (Saint Dog), Dustin Miller (D-Loc), and Timothy McNutt (Johnny Richter) hanging out and rapping songs on the radio while smoking weed. Brad Xavier (Daddy X), who was known for being in local punk band Humble Gods at the time, took notice of their skills and suggested they start a rap group. Johnny Richter had legal issues, so the initial Kottonmouth Kings lineup solidified as Daddy X, D-Loc, and Saint Dog along with break dancer Pakelika and DJ Bobby B and signed with Capitol Records. At the same time they started their own label, Suburban Noize Records, to release independent music acts. After their first major full length, Royal Highness, Saint left the band due to creative differences. In 2010, Dirtball, a rapper with multiple albums released under Suburban Noize officially joined and breakdancer Pakelika was let go. Pakelika later died from complications of asthma in 2012. In 2014, there was a legal dispute between Daddy X and manager Kevin Zinger which led to the Kings leaving Suburban Noize and starting another independent label, United Family. At that time DJ Bobby B was let go from the band and Johnny Richter decided to leave. The new venture was short lived as they only released one full length and one greatest hits album before the band decided to stop touring and go on hiatus, essentially disbanding in that version. Kottonmouth Kings came back in 2018, when the original founding members D-Loc and Johnny Richter, along with Saint Dog on multiple features, released the album Kingdom Come. Current line-up features rappers/MCs D-Loc and Johnny Richter and DJ Product 1969.",Live music,8:00:00 PM,11:00:00 PM,26.01.2019,26.01.2019,NO,"3535 Las Vegas Blvd South Las Vegas, NV 89109","36.118412, -115.171347",https://www.brooklynbowl.com/event/1799669-green-las-vegas/,702 862 2695
Linq_32.jpg,Marsha Ambrosius At Brooklyn Bowl,"Since 2005, she is signed to Dr. Dre's record label, Aftermath Entertainment, as a solo musician.",Live music,7:30:00 PM,10:30:00 PM,27.01.2019,27.01.2019,NO,"3535 Las Vegas Blvd South Las Vegas, NV 89109","36.118412, -115.171347",https://www.brooklynbowl.com/event/1799669-green-las-vegas/,702 862 2695
Linq_33.jpg,Silverstein At Brooklyn Bowl,"Post-hardcore band from Burlington, Ontario, Canada, formed in 2000. The band name originates in reference to the famous children's author Shel Silverstein.",Live music,6:00:00 PM,10:00:00 PM,31.01.2019,31.01.2019,NO,"3535 Las Vegas Blvd South Las Vegas, NV 89109","36.118412, -115.171347",https://www.brooklynbowl.com/event/1799669-green-las-vegas/,702 862 2695
Linq_34.jpg,Puddle Of Mudd At Brooklyn Bowl,"Wes Scantlin _ lead vocals (1991_present), rhythm guitar (1991_2011, 2014_present)Dave Moreno _ drums, backing vocals (2005; 2014_present)Matt Fuller - lead guitar (2012; 2014-present)Michael John Adams _ bass guitar, backing vocals (2014_present)",Live music,7:00:00 PM,10:00:00 PM,01.02.2019,01.02.2019,NO,"3535 Las Vegas Blvd South Las Vegas, NV 89109","36.118412, -115.171347",https://www.brooklynbowl.com/event/1799669-green-las-vegas/,702 862 2695
