Event Picture Ref No,Event Name,Description,Interest,Start Time,End Time,Event Date,End Date,Repeat,Location ,Lat/Long,Website,Contact Number
MGM_1.jpg,K… By Cirque Du Soleil,"K· tells the epic tale of twins on a perilous journey to fulfill their shared destiny. A masterpiece in storytelling, this ultra lavish production features mind-bending acrobatics, fierce martial arts, blazing pyrotechnics and jaw-dropping aerial adventures.",Shows,7:00:00 PM,10:00:00 PM,11.01.2019,31.12.2019,"Sat, Sun, Mon, Tue, Wed","3799 S Las Vegas Blvd, Las Vegas, NV 89109","36.102628, -115.171523",https://www.mgmgrand.com/en/booking/show-booking.html#/step1&showFilter=ka-by-cirque-du-soleil&arrive=2019-01-11,702 53 3826
MGM_1.jpg,K… By Cirque Du Soleil,"K· tells the epic tale of twins on a perilous journey to fulfill their shared destiny. A masterpiece in storytelling, this ultra lavish production features mind-bending acrobatics, fierce martial arts, blazing pyrotechnics and jaw-dropping aerial adventures.",Shows,9:30:00 PM,12:00:00 AM,11.01.2019,31.12.2019,"Sat, Sun, Mon, Tue, Wed","3799 S Las Vegas Blvd, Las Vegas, NV 89109","36.102628, -115.171523",https://www.mgmgrand.com/en/booking/show-booking.html#/step1&showFilter=ka-by-cirque-du-soleil&arrive=2019-01-11,702 53 3826
MGM_2.jpg,Virtual Reality,"Enter VIRTUAL REALITY, powered by Zero Latency, and your squad is transported to an immersive universe at an epic scale. Exciting, social adventures await, and so do hordes of the undead, topsy turvy pathways, and rogue killer robots. Be free to explore the VR arena, compete, and fight together wirelessly. Up to 8 players play simultaneously.",Shows,12:00:00 AM,12:00:00 AM,11.01.2019,31.12.2019,Everyday,"3799 S Las Vegas Blvd, Las Vegas, NV 89109","36.102628, -115.171523",https://zerolatencyvr.com/las-vegas/book-now,702 891 7974
MGM_3.jpg,David Copperfield,"Seeing is believingDavid Copperfield is a legendary showman who's been hailed by audiences and critics alike as the ""greatest illusionist of our time."" In addition to decades of television events, worldwide tours and a critically acclaimed Broadway show, Copperfield continues to confound and delight audiences with his unbelievable illusions and charming stories. Experiencing a Copperfield show is proof that ""magic is as vast as the imagination.""",Shows,7:00:00 PM,9:00:00 PM,11.01.2019,31.12.2019,Everyday,"3799 S Las Vegas Blvd, Las Vegas, NV 89109","36.102628, -115.171523",https://www.mgmgrand.com/en/booking/show-booking.html#/step1&showFilter=david-copperfield&arrive=2019-01-11,866 740 7711
MGM_3.jpg,David Copperfield,"Seeing is believingDavid Copperfield is a legendary showman who's been hailed by audiences and critics alike as the ""greatest illusionist of our time."" In addition to decades of television events, worldwide tours and a critically acclaimed Broadway show, Copperfield continues to confound and delight audiences with his unbelievable illusions and charming stories. Experiencing a Copperfield show is proof that ""magic is as vast as the imagination.""",Shows,9:30:00 PM,11:30:00 PM,11.01.2019,31.12.2019,Everyday,"3799 S Las Vegas Blvd, Las Vegas, NV 89109","36.102628, -115.171523",https://www.mgmgrand.com/en/booking/show-booking.html#/step1&showFilter=david-copperfield&arrive=2019-01-11,866 740 7711
MGM_3.jpg,David Copperfield,"Seeing is believingDavid Copperfield is a legendary showman who's been hailed by audiences and critics alike as the ""greatest illusionist of our time."" In addition to decades of television events, worldwide tours and a critically acclaimed Broadway show, Copperfield continues to confound and delight audiences with his unbelievable illusions and charming stories. Experiencing a Copperfield show is proof that ""magic is as vast as the imagination.""",Shows,4:00:00 PM,6:00:00 PM,11.01.2019,31.12.2019,Sat,"3799 S Las Vegas Blvd, Las Vegas, NV 89109","36.102628, -115.171523",https://www.mgmgrand.com/en/booking/show-booking.html#/step1&showFilter=david-copperfield&arrive=2019-01-11,866 740 7711
MGM_4.jpg,Pacquiao Vs Broner,Boxing's only eight-division world champion Manny Pacquiao returns to the U.S. for the first time in two years to defend his WBA welterweight title against former four-division titleholder Adrien Broner on Showtime PPV.,Shows,3:30:00 PM,12:00:00 AM,19.01.2019,19.01.2019,No,"3799 S Las Vegas Blvd, Las Vegas, NV 89109","36.102628, -115.171523",https://tickets.axs.com/shop/#/251ee9eb-c05f-4a0d-b19a-3c328acdd71f/shop/search?lang=en&locale=en-US&preFill=1&eventid=365552&ec=GGA190119&src=AEGAXS1_WMAIN&skin=axs_grandgarden&fbShareURL=www.axs.com%2Fevents%2F365552%2Fmanny-pacquiao-vs-adrien-broner-tickets%3F%26ref%3Devs_fb,866 740 7711
MGM_5.jpg,Lady Gaga Enigma ,"See six-time GRAMMY Award-winner, Golden Globe Award-winner and Academy Award-nominee superstar entertainer Lady Gaga_s Las Vegas Residency at Park Theater inside Park MGM resort. The Las Vegas Residency will consist of two separate shows: LADY GAGA ENIGMA, a brand-new odyssey of her pop hits built as an experience unlike any other in Las Vegas, and LADY GAGA JAZZ & PIANO, where she will perform stripped-down versions of her hits alongside music from the Great American Songbook.",Shows,8:00:00 PM,10:00:00 PM,01.01.2019,01.01.2019,No,"3770 S Las Vegas Blvd, Las Vegas, NV 89109","36.102628, -115.171523",https://www.mgmresorts.com/en/entertainment/park-mgm/park-theater/lady-gaga.html,877 353 1987
MGM_5.jpg,Lady Gaga Enigma ,"See six-time GRAMMY Award-winner, Golden Globe Award-winner and Academy Award-nominee superstar entertainer Lady Gaga_s Las Vegas Residency at Park Theater inside Park MGM resort. The Las Vegas Residency will consist of two separate shows: LADY GAGA ENIGMA, a brand-new odyssey of her pop hits built as an experience unlike any other in Las Vegas, and LADY GAGA JAZZ & PIANO, where she will perform stripped-down versions of her hits alongside music from the Great American Songbook.",Shows,8:00:00 PM,10:00:00 PM,19.01.2019,19.01.2019,No,"3770 S Las Vegas Blvd, Las Vegas, NV 89109","36.102628, -115.171523",https://www.mgmresorts.com/en/entertainment/park-mgm/park-theater/lady-gaga.html,877 353 1987
MGM_5.jpg,Lady Gaga Enigma ,"See six-time GRAMMY Award-winner, Golden Globe Award-winner and Academy Award-nominee superstar entertainer Lady Gaga_s Las Vegas Residency at Park Theater inside Park MGM resort. The Las Vegas Residency will consist of two separate shows: LADY GAGA ENIGMA, a brand-new odyssey of her pop hits built as an experience unlike any other in Las Vegas, and LADY GAGA JAZZ & PIANO, where she will perform stripped-down versions of her hits alongside music from the Great American Songbook.",Shows,8:00:00 PM,10:00:00 PM,24.01.2019,24.01.2019,No,"3770 S Las Vegas Blvd, Las Vegas, NV 89109","36.102628, -115.171523",https://www.mgmresorts.com/en/entertainment/park-mgm/park-theater/lady-gaga.html,877 353 1987
