Event Picture Ref No,Event Name,Description,Interest,Start Time,End Time,Event Date,End Date,Repeat,Location ,Lat/Long,Website,Contact Number
Mandalay_1.jpg,Michael Jackson One By Cirque Du Soleil,"Experience the King of PopHailed by Rolling Stone as _A virtual parade of _wow_ moments,_ Michael Jackson ONE by Cirque du Soleil is an electrifying fusion of acrobatics, dance and visuals that reflects the dynamic showmanship of the King of Pop, immersing the audience into the world of Michael's music. Driven by his biggest hits heard like never before in a riveting, state-of-the-art surround-sound environment _ ONE takes the audience through a seamless visual and musical montage, at the heart of a world that is in turn majestic, playful, magical and heart-warming. In Michael Jackson ONE, Michael's spirit is channeled through the vibrant energy of the cast of 63 dancers and performers, underscored by aerial performance, driving acrobatics, and vivid choreographies that use the urban/hip hop idiom as a springboard for exploration. ONE is heartfelt tribute to the work, innovative spirit, and legacy of Michael Jackson _ the King of Pop, the genius, the visionary, the ONE.",Shows,7:00:00 PM,9:00:00 PM,11.01.2019,31.12.2019,"Thu, Fri, Sat, Sun, Mon","3950 S Las Vegas Blvd, Las Vegas, NV 89119","36.093874, -115.176775",https://www.mandalaybay.com/en/entertainment/michael-jackson-one.html,702 632 7777
Mandalay_1.jpg,Michael Jackson One By Cirque Du Soleil,"Experience the King of PopHailed by Rolling Stone as _A virtual parade of _wow_ moments,_ Michael Jackson ONE by Cirque du Soleil is an electrifying fusion of acrobatics, dance and visuals that reflects the dynamic showmanship of the King of Pop, immersing the audience into the world of Michael's music. Driven by his biggest hits heard like never before in a riveting, state-of-the-art surround-sound environment _ ONE takes the audience through a seamless visual and musical montage, at the heart of a world that is in turn majestic, playful, magical and heart-warming. In Michael Jackson ONE, Michael's spirit is channeled through the vibrant energy of the cast of 63 dancers and performers, underscored by aerial performance, driving acrobatics, and vivid choreographies that use the urban/hip hop idiom as a springboard for exploration. ONE is heartfelt tribute to the work, innovative spirit, and legacy of Michael Jackson _ the King of Pop, the genius, the visionary, the ONE.",Shows,9:30:00 PM,11:30:00 PM,11.01.2019,31.12.2019,"Thu, Fri, Sat, Sun, Mon","3950 S Las Vegas Blvd, Las Vegas, NV 89119","36.093874, -115.176775",https://www.mandalaybay.com/en/entertainment/michael-jackson-one.html,702 632 7777
Mandalay_2.jpg,Museÿ- Simulation Theory World Tour,"Muse is Matt Bellamy, Dominic Howard and Chris Wolstenholme. Their latest album Simulation Theory was released on November 9th.  Their last studio album, Drones, was released in June 2015 and debuted at number one in 21 countries around the world including their first number one album in the United States.  The album went on to win the Grammy Award, their second, for Best Rock Album in February 2016.  Since forming in 1994, Muse have released seven studio albums, selling over 20 million albums worldwide.  Widely recognized as one of the best live bands in the world, Muse have won numerous music awards including two Grammy Awards, an American Music Award, five MTV Europe Music Awards, two Brit Awards, ten NME Awards and seven Q Awards, amongst others.The Simulation Theory World Tour will feature an exciting new Enhanced Experience Package that allows access to an exclusive Mixed Reality Pre-Show Party, powered by Microsoft, with three original virtual reality games, inspired by tracks from Simulation Theory.  Additional Enhanced Experience perks include a premium concert ticket, show specific poster, interactive photo experience with props and memorabilia from the band_s latest videos and more. ",Shows,8:00:00 PM,11:00:00 PM,02.03.2019,02.03.2019,No,"3950 S Las Vegas Blvd, Las Vegas, NV 89119","36.093874, -115.176775",https://www.mandalaybay.com/en/entertainment/mandalay-bay-events-center.html,702 632 7580
Mandalay_3.jpg,Weezer & Pixies,"Weezer is an American rock band formed in Los Angeles, CA in 1992, currently consisting of Rivers Cuomo (lead vocals, lead guitar), Patrick Wilson (drums), Brian Bell (rhythm guitar, backing vocals, keyboards), and Scott Shriner (bass, backing vocals).  Weezer has sold 9.2 million albums in the U.S., and over 17 million records worldwide.  Their catalogue has included such megahits as _Buddy Holly,_ _Undone (The Sweater Song),_ _Say It Ain_t So,_ _El Scorcho,_ _Hash Pipe,_ _Island In The Sun,_ _Beverly Hills,_ _Pork and Beans,_ and more.   Weezer has won Grammys, MTV Video Music Awards, and more throughout their career.  In 2016, Weezer released their tenth studio album, Weezer (The White Album), a self-proclaimed beach album that debuted at #1 on Billboard_s Rock/Alternative chart, and top 5 on the Billboard 200 chart. The band then embarked on a massive, two-month summer tour playing to half a million people across the U.S.  ",Shows,8:00:00 PM,11:00:00 PM,12.04.2019,12.04.2019,No,"3950 S Las Vegas Blvd, Las Vegas, NV 89119","36.093874, -115.176775",https://www.mandalaybay.com/en/entertainment/mandalay-bay-events-center.html,702 632 7777
Mandalay_4.jpg,New Kids On The Block - The Mixtape Tour,"Boston boy band New Kids on the Block (NKOTB) formed in 1984, and in the decades since, the group has cemented itself as a veritable icon of pop music. After the band_s self-titled debut came out in 1986, New Kids on the Block quickly went on to earn numerous hit singles, among them longstanding favorites like _You Got It (The Right Stuff),_ _Step by Step,_ and _Hangin_ Tough._In 2018, New Kids on the Block are returning to the Apollo Theater (New York) to celebrate the 30th anniversary of ""Hangin Tough."" The New Kids on the Block announcement has energized a fan base that has not seen NKOTB tour since 2017's Total Package Tour.",Shows,8:00:00 PM,11:00:00 PM,25.05.2019,25.05.2019,No,"3950 S Las Vegas Blvd, Las Vegas, NV 89119","36.093874, -115.176775",https://www.mandalaybay.com/en/entertainment/mandalay-bay-events-center.html,702 632 7777
Mandalay_5.jpg,Jo Jo Siwa,"Born in Omaha, Nebraska JoJo was bound to be a star from the very beginning.  As a child, she loved to dance, sing and wear her signature BOW_s!  Her mom, Jessalynn Siwa, and JoJo moved to California as JoJo grew in popularity.  She joined the Nickelodeon family and most recent adventure will be an animated series called _The JoJo and BowBow Show Show_.  Her signature bows are known globally and represent her fans called the _Siwanatorz_.   She has released five songs and loves being in the recording studio.  Her parents Tom and Jessalynn, and her brother Jayden are her biggest supporters. Family and her fans mean everything to JoJo! Sign up for her Siwanatorz email club and follow JoJo and her family on all social media to learn about upcoming news/events and what her next greatest adventure will be!",Shows,7:00:00 PM,9:00:00 PM,10.08.2019,10.08.2019,No,"3950 S Las Vegas Blvd, Las Vegas, NV 89119","36.093874, -115.176775",https://www.mandalaybay.com/en/entertainment/mandalay-bay-events-center.html,702 632 7777
Mandalay_6.jpg,Psyco Las Vegas 2019,"America_s rock n_ roll bacchanal returns to the Entertainment Capital of the World August 16 _ 18, 2019 as PSYCHO LAS VEGAS brings its annual celebration to Mandalay Bay on the Las Vegas Strip. The move sets the stage for the festival_s largest-ever presence in Las Vegas.PSYCHO LAS VEGAS 2019 will feature four stages, including the newly renovated Mandalay Bay Events Center, the iconic House of ...",Shows,12:00:00 PM,3:00:00 PM,16.08.2019,16.08.2019,No,"3950 S Las Vegas Blvd, Las Vegas, NV 89119","36.093874, -115.176775",https://www.mandalaybay.com/en/entertainment/mandalay-bay-events-center.html,702 632 7777
Mandalay_6.jpg,Psyco Las Vegas 2019,"America_s rock n_ roll bacchanal returns to the Entertainment Capital of the World August 16 _ 18, 2019 as PSYCHO LAS VEGAS brings its annual celebration to Mandalay Bay on the Las Vegas Strip. The move sets the stage for the festival_s largest-ever presence in Las Vegas.PSYCHO LAS VEGAS 2019 will feature four stages, including the newly renovated Mandalay Bay Events Center, the iconic House of ...",Shows,12:00:00 PM,3:00:00 PM,17.08.2019,17.08.2019,No,"3950 S Las Vegas Blvd, Las Vegas, NV 89119","36.093874, -115.176775",https://www.mandalaybay.com/en/entertainment/mandalay-bay-events-center.html,702 632 7777
Mandalay_6.jpg,Psyco Las Vegas 2019,"America_s rock n_ roll bacchanal returns to the Entertainment Capital of the World August 16 _ 18, 2019 as PSYCHO LAS VEGAS brings its annual celebration to Mandalay Bay on the Las Vegas Strip. The move sets the stage for the festival_s largest-ever presence in Las Vegas.PSYCHO LAS VEGAS 2019 will feature four stages, including the newly renovated Mandalay Bay Events Center, the iconic House of ...",Shows,12:00:00 PM,3:00:00 PM,18.08.2019,18.08.2019,No,"3950 S Las Vegas Blvd, Las Vegas, NV 89119","36.093874, -115.176775",https://www.mandalaybay.com/en/entertainment/mandalay-bay-events-center.html,702 632 7777
Mandalay_7.jpg,Marco Antonio Solis,"Marco Antonio Sol¡s Sosa is a Mexican musician, singer, composer, actor, and record producer. Born and raised in Ario de Rosales, Michoac n, Mexico, Sol¡s began his musical career at the age of six, performing part of Los Hermanitos Sol¡s",Shows,8:00:00 PM,11:00:00 PM,13.09.2019,13.09.2019,No,"3950 S Las Vegas Blvd, Las Vegas, NV 89119","36.093874, -115.176775",https://www.mandalaybay.com/en/entertainment/mandalay-bay-events-center.html,702 632 7777
