Event Picture Ref No,Event Name,Description,Interest,Start Time,End Time,Event Date,End Date,Repeat,Location ,Lat/Long,Website,Contact Number
Mirage_16.jpg,Pantry,"Homespun RecipesCentrally located to provide convenient access from the guest elevators and casino floor, the restaurant features wholesome favorites such as piping hot soups, crisp green salads, fully loaded sandwiches and classic desserts made from the freshest sustainable ingredients for breakfast, lunch, dinner and late night. Breakfast will be available 24-hours a day for guests wishing to enjoy fluffy pancakes, hearty omelets and robust scrambles, even after traditional breakfast hours.",Restaurants,12:00:00 AM,11:09:00 PM,11.01.2019,31.12.2019,Everyday,"3400 S Las Vegas Blvd, Las Vegas, NV 89109","36.120854, -115.176828",https://www.mirage.com/en/restaurants/pantry.html,702 696 7050
Mirage_17.jpg,Tom Colicchio's Heritage Steak,"Wood-Fired SteakhouseTom Colicchio_s Heritage Steak adds a modern twist to traditional culinary staples. Tantalize the senses with the aromatic open kitchen, adding unmatched appeal to both sight and smell. The aroma of open charcoal grills and wood-burning ovens brings the excitement of the kitchen to an intimate table side experience. See and feel the flame while chefs hand craft specialties right before your eyes.",Restaurants,5:00:00 PM,10:00:00 PM,11.01.2019,31.12.2019,Everyday,"3400 S Las Vegas Blvd, Las Vegas, NV 89109","36.120854, -115.176828",https://www.mirage.com/en/restaurants/tom-colicchio-s-heritage-steak.html,866 339 4566
Mirage_18.jpg,Osteria Costa,"A Taste of the Amalfi CoastOsteria Costa is a casual reprieve where guests enjoy a variety of wood-fired pizzas, handmade pastas, fresh seafood and Italian spirits. Each day, a fresh assortment of limoncello is crafted in-house available poured neat, or as part of a refreshing cocktail. The wine selection reflects the southern coast of Italy and celebrates vines from the region. Osteria Costa_s vibrant design exudes the class and comfort of the Amalfi Coast with bright colors and rustic touches reminiscent of the picturesque villages clung to the Italian coastline.",Restaurants,5:00:00 PM,10:00:00 PM,11.01.2019,31.12.2019,Everyday,"3400 S Las Vegas Blvd, Las Vegas, NV 89109","36.120854, -115.176828",https://www.mirage.com/en/restaurants/osteria-costa.html,866 339 4566
Mirage_19.jpg,OTORO,"Mix, Mingle, and EnjoyThe sizzle and aroma of the Robata Grill, the freshest sushi and specialty rolls, an impressive menu of sharing-style cuisine _ this will be an unforgettable culinary adventure.",Restaurants,5:00:00 PM,10:00:00 PM,11.01.2019,31.12.2019,Everyday,"3400 S Las Vegas Blvd, Las Vegas, NV 89109","36.120854, -115.176828",https://www.mirage.com/en/restaurants/otoro.html,866 339 4566
Mirage_20.jpg,Carnegie Delicatessen,"Authentic New York DeliEnjoy East Coast favorites such as hearty breakfast items, sumptuous matzoh ball soup and the famous, overstuffed pastrami sandwich in this classic and fast casual setting right in the center of the Strip.",Restaurants,8:00:00 AM,11:00:00 PM,11.01.2019,31.12.2019,Everyday,"3400 S Las Vegas Blvd, Las Vegas, NV 89109","36.120854, -115.176828",https://www.mirage.com/en/restaurants/carnegie-delicatessen.html,702 791 7310
Mirage_21.jpg,Cravings,"The Ultimate BuffetWith eleven international cooking stations, a street of restaurants serving all-you-can-eat dishes, the only buffet to offer enhanced self-service beverage stations with 150 Coca Cola flavors, and unlimited beer & wine with every entry, Cravings Buffet satisfies even the biggest appetites and thirsts!",Restaurants,7:00:00 AM,9:00:00 PM,11.01.2019,31.12.2019,"Mon, Tue, Wed, Thu","3400 S Las Vegas Blvd, Las Vegas, NV 89109","36.120854, -115.176828",https://www.mirage.com/en/restaurants/cravings.html,
Mirage_21.jpg,Cravings,"The Ultimate BuffetWith eleven international cooking stations, a street of restaurants serving all-you-can-eat dishes, the only buffet to offer enhanced self-service beverage stations with 150 Coca Cola flavors, and unlimited beer & wine with every entry, Cravings Buffet satisfies even the biggest appetites and thirsts!",Restaurants,8:00:00 AM,9:00:00 PM,11.01.2019,31.12.2019,"Fri, Sat","3400 S Las Vegas Blvd, Las Vegas, NV 89109","36.120854, -115.176828",https://www.mirage.com/en/restaurants/cravings.html,
Mirage_22.jpg,STACK,"American Inspired CuisineAmerican contemporary dining in a sleek hardwood setting is what sets STACK apart from the rest. Perfect for a quick bite before a night out on the town or a full meal to be shared amongst family and friends. You will find only top-quality fish, meat and poultry with our top-notch service. Enjoy specialty cocktails ranging from the Cucumber Martini to the Liquid Passion served up by STACK's eye catching staff who invite you to sit back, relax, and enjoy the view. Through its fun and innovative interpretations on classic American cuisine, STACK promises a one-of-a-kind dining experience you'll never forget.",Restaurants,5:00:00 PM,10:00:00 PM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3400 S Las Vegas Blvd, Las Vegas, NV 89109","36.120854, -115.176828",https://www.mirage.com/en/restaurants/stack.html,866 339 4566
Mirage_22.jpg,STACK,"American Inspired CuisineAmerican contemporary dining in a sleek hardwood setting is what sets STACK apart from the rest. Perfect for a quick bite before a night out on the town or a full meal to be shared amongst family and friends. You will find only top-quality fish, meat and poultry with our top-notch service. Enjoy specialty cocktails ranging from the Cucumber Martini to the Liquid Passion served up by STACK's eye catching staff who invite you to sit back, relax, and enjoy the view. Through its fun and innovative interpretations on classic American cuisine, STACK promises a one-of-a-kind dining experience you'll never forget.",Restaurants,5:00:00 PM,11:00:00 PM,11.01.2019,31.12.2019,"Fri, Sat","3400 S Las Vegas Blvd, Las Vegas, NV 89109","36.120854, -115.176828",https://www.mirage.com/en/restaurants/stack.html,866 339 4566
Mirage_23.jpg,LVB Burgers and Bar,"Crafted Burgers, Unique Shakes.LVB Burgers and Bar at The Mirage features a mouthwatering selection of gourmet burgers, salads and sides. Don't forget to save room for dessert. Shake it up with one of our delicious old fashioned milkshakes or spike it up with an adult friendly milkshake.",Restaurants,11:00:00 AM,12:00:00 AM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3400 S Las Vegas Blvd, Las Vegas, NV 89109","36.120854, -115.176828",https://www.mirage.com/en/restaurants/lvb-burgers.html,702 792 7888
