Event Picture Ref No,Event Name,Description,Interest,Start Time,End Time,Event Date,End Date,Repeat,Location ,Lat/Long,Website,Contact Number
Newyork_1.jpg,Nine Fine Irishmen,"Inspired by a group of extraordinary Irishmen who led lives of great adventure, this is a pub of epic proportions that was built in Ireland and shipped to the heart of Las Vegas! As for food and drink, our signature dishes are made of only the freshest, natural Irish ingredients that pair perfectly with the finest stouts, ales, lagers, and spirits.",Restaurants,11:00:00 AM,11:00:00 PM,11.01.2019,31.12.2019,"Mon, Tue, Wed, Thu, Fri","3790 S Las Vegas Blvd, Las Vegas, NV 89109","36.102578, -115.174579",https://www.newyorknewyork.com/en/restaurants/nine-fine-irishmen.html,702 740 3311
Newyork_1.jpg,Nine Fine Irishmen,"Inspired by a group of extraordinary Irishmen who led lives of great adventure, this is a pub of epic proportions that was built in Ireland and shipped to the heart of Las Vegas! As for food and drink, our signature dishes are made of only the freshest, natural Irish ingredients that pair perfectly with the finest stouts, ales, lagers, and spirits.",Restaurants,9:00:00 AM,11:00:00 PM,11.01.2019,31.12.2019,"Sat, Sun","3791 S Las Vegas Blvd, Las Vegas, NV 89109","36.102578, -115.174579",https://www.newyorknewyork.com/en/restaurants/nine-fine-irishmen.html,702 740 3311
Newyork_3.jpg,America,"A culinary journey of American style food, wine and beerGo on a culinary journey with food, wine and beer from coast to coast, all in one American setting. America also features a massive 90 x 20 foot map of the United States, highlighting America_s most iconic landmarks.America DonutsIt doesn't get more American than a delicious good old fashioned donut with a fresh cup of coffee. Baked fresh daily, the donuts, pastries and desserts at America Donuts will send your taste buds on a journey of deliciousness.",Restaurants,12:00:00 AM,11:59:00 PM,11.01.2019,31.12.2019,Everyday,"3790 S Las Vegas Blvd, Las Vegas, NV 89109","36.102578, -115.174579",https://www.newyorknewyork.com/en/restaurants/america.html,702 740 6451
Newyork_4.jpg,New York Pizzeria,"Get your slice on at New York Pizzeria!At NYP, the slices are cut big from each and every 18"" gourmet signature pizza oven-baked to perfection. From slices or full pies loaded with toppings, to calzones, Stromboli, garlic knots, and salads, NYP has something for every appetite - big or small and uses only fresh top-quality ingredients in their made-from-scratch recipes. For the ultimate pizza and beer lover's experience, enjoy several NYP menu selections accompanying the rich hand-crafted malt brews at Pour 24_.",Restaurants,10:00:00 AM,1:00:00 AM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3791 S Las Vegas Blvd, Las Vegas, NV 89109","36.102578, -115.174579",https://www.newyorknewyork.com/en/restaurants/new-york-pizzeria.html,702 736 3111
Newyork_4.jpg,New York Pizzeria,"Get your slice on at New York Pizzeria!At NYP, the slices are cut big from each and every 18"" gourmet signature pizza oven-baked to perfection. From slices or full pies loaded with toppings, to calzones, Stromboli, garlic knots, and salads, NYP has something for every appetite - big or small and uses only fresh top-quality ingredients in their made-from-scratch recipes. For the ultimate pizza and beer lover's experience, enjoy several NYP menu selections accompanying the rich hand-crafted malt brews at Pour 24_.",Restaurants,10:00:00 AM,4:00:00 AM,11.01.2019,31.12.2019,"Fri, Sat","3792 S Las Vegas Blvd, Las Vegas, NV 89109","36.102578, -115.174579",https://www.newyorknewyork.com/en/restaurants/new-york-pizzeria.html,702 736 3111
Newyork_5.jpg,Gallagher's Steakhouse,"Enjoy the finest dry-aged beef and fresh seafood at Gallagher's Steakhouse, a New York City original since 1927.",Restaurants,4:00:00 PM,11:00:00 PM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3792 S Las Vegas Blvd, Las Vegas, NV 89109","36.102578, -115.174579",https://www.newyorknewyork.com/en/restaurants/gallaghers-steakhouse.html,702 740 6450
Newyork_5.jpg,Gallagher's Steakhouse,"Enjoy the finest dry-aged beef and fresh seafood at Gallagher's Steakhouse, a New York City original since 1927.",Restaurants,4:00:00 PM,12:00:00 AM,11.01.2019,31.12.2019,"Fri, Sat","3792 S Las Vegas Blvd, Las Vegas, NV 89109","36.102578, -115.174579",https://www.newyorknewyork.com/en/restaurants/gallaghers-steakhouse.html,702 740 6450
Newyork_6.jpg,Il Fornaio,"Now that's Italian - New York-styleTravel to romantic Italy and indulge in housemade and imported pasta; wood-fired pizza, rotisserie chicken and duck; hearty steaks and chops; mesquite grilled fish; and the season's picks for salads and soups at our purveyor of award-winning Italian cuisine: Il Fornaio. Complete this Old World culinary getaway with a delightful dessert and robust Italian coffee.",Restaurants,7:30:00 AM,11:00:00 PM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3792 S Las Vegas Blvd, Las Vegas, NV 89109","36.102578, -115.174579",https://www.newyorknewyork.com/en/restaurants/il-fornaio.html,702 650 6500
Newyork_6.jpg,Il Fornaio,"Now that's Italian - New York-styleTravel to romantic Italy and indulge in housemade and imported pasta; wood-fired pizza, rotisserie chicken and duck; hearty steaks and chops; mesquite grilled fish; and the season's picks for salads and soups at our purveyor of award-winning Italian cuisine: Il Fornaio. Complete this Old World culinary getaway with a delightful dessert and robust Italian coffee.",Restaurants,7:30:00 AM,12:00:00 AM,11.01.2019,31.12.2019,"Fri, Sat","3792 S Las Vegas Blvd, Las Vegas, NV 89109","36.102578, -115.174579",https://www.newyorknewyork.com/en/restaurants/il-fornaio.html,702 650 6500
Newyork_7.jpg,Broadway Burger Bar and Grill,"Healthy, light and full of flavor!Broadway Burger Bar & Grill located inside the Village Streets is not only the best tasting burger, but is one of the healthiest burgers you will ever try! Our burgers come straight from the Estancia Farm in Uruguay and are 100% Free-range, grass fed, Estancia beef.",Restaurants,11:00:00 AM,11:00:00 PM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3792 S Las Vegas Blvd, Las Vegas, NV 89109","36.102578, -115.174579",https://www.newyorknewyork.com/en/restaurants/il-fornaio.html,702 740 6540
Newyork_7.jpg,Broadway Burger Bar and Grill,"Healthy, light and full of flavor!Broadway Burger Bar & Grill located inside the Village Streets is not only the best tasting burger, but is one of the healthiest burgers you will ever try! Our burgers come straight from the Estancia Farm in Uruguay and are 100% Free-range, grass fed, Estancia beef.",Restaurants,11:00:00 AM,12:00:00 AM,11.01.2019,31.12.2019,"Fri, Sat","3792 S Las Vegas Blvd, Las Vegas, NV 89109","36.102578, -115.174579",https://www.newyorknewyork.com/en/restaurants/il-fornaio.html,702 7406540
Newyork_8.jpg,Chin Chin Cafe & Sushi Bar,"Chin Chin Caf‚ & Sushi Bar offers traditional Chinese food, sushi and pan-Asian specialties in a bright and colorful setting. From within its exhibition kitchens, Chin Chin Caf‚ & Sushi Bar's chefs can be found preparing exotic dishes",Restaurants,7:00:00 AM,12:00:00 AM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3792 S Las Vegas Blvd, Las Vegas, NV 89109","36.102578, -115.174579",https://www.newyorknewyork.com/en/restaurants/chin-chin-cafe-and-sushi-bar.html,702 740 6300
