Event Picture Ref No,Event Name,Description,Interest,Start Time,End Time,Event Date,End Date,Repeat,Location ,Lat/Long,Website,Contact Number
Paris_16.jpg,Le Cafe Ile St. Louis,"Immerse yourself in the sights, sounds and flavors of a Parisian sidewalk cafÇ experience right in the heart of the Las Vegas Strip. Coffee shop favorites get remixed with a French flair; think sweet and savory crepes, quiche, warm beignets, turkey croissant and a Croque Monsieur with pomme frites. Need a morning pick-me-up? Le CafÇ Ile St. Louis is also your destination of choice for specialty coffee drinks such as cafÇ au lait, cafÇ filter, espresso, cappuccino and lattÇ.
Can't decide what to order? The cafÇ's three-course special is an unbeatable deal, with an appetizer, entrÇe and dessert choice for $39.
The tasty breakfast, lunch, and dinner dishes are perfectly in sync with the decadent ambiance. The restaurant's ""patio"" overlooks the bustling casino floor and walkways, or choose indoor seating for a quieter meal. Twinkling lampposts, wrought-iron dÇcor and greenery complement its French cafÇ vibe.
WHAT TO EAT AT THIS LAS VEGAS CAFê:
Corned beef hash
French onion soup
Grilled chicken sandwich
Chocolate mousse cake
EXPERT TIPS:
Happy hour specials every evening
Large portions and sandwiches to split
Adventurous diners should try the burger with foie gras
Bar open 24 hours
Some breakfast options served all day",Cafes,6:00:00 AM,11:00:00 PM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3655 Las Vegas Boulevard South Las Vegas , NV 89109","36.112385, -115.171486",https://www.caesars.com/paris-las-vegas/restaurants/cafe-ile-st-louis,702 731 7778
Paris_16.jpg,Le Cafe Ile St. Louis,"Immerse yourself in the sights, sounds and flavors of a Parisian sidewalk cafÇ experience right in the heart of the Las Vegas Strip. Coffee shop favorites get remixed with a French flair; think sweet and savory crepes, quiche, warm beignets, turkey croissant and a Croque Monsieur with pomme frites. Need a morning pick-me-up? Le CafÇ Ile St. Louis is also your destination of choice for specialty coffee drinks such as cafÇ au lait, cafÇ filter, espresso, cappuccino and lattÇ.
Can't decide what to order? The cafÇ's three-course special is an unbeatable deal, with an appetizer, entrÇe and dessert choice for $39.
The tasty breakfast, lunch, and dinner dishes are perfectly in sync with the decadent ambiance. The restaurant's ""patio"" overlooks the bustling casino floor and walkways, or choose indoor seating for a quieter meal. Twinkling lampposts, wrought-iron dÇcor and greenery complement its French cafÇ vibe.
WHAT TO EAT AT THIS LAS VEGAS CAFê:
Corned beef hash
French onion soup
Grilled chicken sandwich
Chocolate mousse cake
EXPERT TIPS:
Happy hour specials every evening
Large portions and sandwiches to split
Adventurous diners should try the burger with foie gras
Bar open 24 hours
Some breakfast options served all day",Cafes,6:00:00 AM,2:00:00 AM,11.01.2019,31.12.2019,"Fri, Sat","3655 Las Vegas Boulevard South Las Vegas , NV 89109","36.112385, -115.171486",https://www.caesars.com/paris-las-vegas/restaurants/cafe-ile-st-louis,702 731 7778
