Event Picture Ref No,Event Name,Description,Interest,Start Time,End Time,Event Date,End Date,Repeat,Location ,Lat/Long,Website,Contact Number
Paris_21.jpg,Beer Park,"Located on a 10,000-square-foot deck overlooking the world famous Las Vegas Strip, BEER PARK features an outdoor grill, picnic tables, and more than 100 draft, can and bottle beer selections, including 36 beers on tap. Additional selections on tap include craft beer cocktails, signature cocktails and wine as well as an array of signature Bloody Marys.
All-American cuisine is served two ways: from the menu, as well as from carts serving concession-style offerings similar to what would be served at a stadium. Grilled selections are BEER PARK_s specialty, with a unique preparation method that brings the essence of Budweiser into the cuisine through preparing meats and other foods on a custom-made Beechwood Grill. Signature menu selections include the bacon-wrapped Backyard BBQ Dog, Blue Cheese Burger with Shock Top caramelized onions, St. Louis Style Spare Ribs and more. For those with a sweet tooth, concession carts offer ice cream with a HEXX Chocolate _Magic Shell,_ cotton candy and blueberry pie, among other options.
LAS VEGAS ROOFTOP BAR & GRILL
The open-air park has an atmosphere combining the feel of a classic baseball stadium and the communal charm of a city park with the spirit of Budweiser; a nostalgic combination that evokes Americana charm. The space was designed to bring people together through various seating experiences, including communal picnic tables that encourage socializing and a grassy lawn to play classic bar games like giant Jenga, pool, and darts. The atmosphere is ideal for watching football games and other sporting events, with towers on each side of the bar housing multiple high-definition televisions.
EXPERT TIPS
Dozens of high-definition TVs
36 different beers on tap
Great viewing for all your sporting events 
Spectacular Strip views ",Sports bars,11:00:00 AM,2:00:00 AM,11.01.2019,31.12.2019,"Fri, Sat","3655 Las Vegas Boulevard South Las Vegas , NV 89109",36.112385-115.171486,https://www.caesars.com/paris-las-vegas/restaurants/BeerPark,702 444 4500
Paris_28.jpg,Le Bar Du Sport,"The name says it all here at this quaint, open-air casino bar near the lively Race & Sports Book. Enjoy sports conversations with highly knowledgeable bartenders while viewing games on multiple large screens. Featuring an elevated atmosphere just steps away from the tables, Le Bar du Sport invites guests to catch the action while sipping specialty cocktails and beer.
FOOTBALL SEASON SPECIALS
All season long guests at Paris Las Vegas can enjoy these drink specials at Le Bar Du Sport:
Miller Coors bottles for $8 or buckets for $30
Crown Royal cocktails for $12
Don Julio Blanco cocktails or margaritas for $13
Absolut cocktails or Bloody Marys for $12
14 Hands Wine for $10
Absolut & Red Bull for $16
""The Tailgater"" hot dog special on Satrdays and Sunays with a hot dog and chips for $5",Sports bars,12:00:00 AM,11:59:00 PM,11.01.2019,31.12.2019,Everyday,"3655 Las Vegas Boulevard South Las Vegas , NV 89109",36.112385-115.171486,https://www.caesars.com/paris-las-vegas/things-to-do/le-bar-du-sport,702 946 7000
Paris_34.jpg,Las Vegas Race & Sports Book,"Visit the Paris Las Vegas Race & Sports Book to place your wagers on your favorite team or bet the horses, then watch the action on projection TVs and individual monitors.
Operating Hours
Mon - Wed:      8 a.m. - 8:30 p.m.
Thuday:         8 a.m. - 9:30 p.m.
Friay:               8 a.m. - 10 p.m.
Satrday:          7:30 a.m. - 10 p.m.
Sunay:            7:30 a.m. - 9 p.m.
FOOTBALL SEASON SPECIALS
All season long guests at the sports book can enjoy these drink specials:
Miller Coors bottles for $8 or buckets for $30
Crown Royal cocktails for $12
Don Julio Blanco cocktails or margaritas for $13
Absolut cocktails or Bloody Marys for $12
14 Hands Wine for $10
Absolut & Red Bull for $16
""The Tailgater"" hot dog special on Satrdays and Sunays with a hot dog and chips for $5",Sports bars,8:00:00 AM,8:30:00 PM,11.01.2019,31.12.2019,"Mon, Tue, Wed","3655 Las Vegas Boulevard South Las Vegas , NV 89109",36.112385-115.171486,https://www.caesars.com/paris-las-vegas/casino/race-and-sports-book,
Paris_34.jpg,Las Vegas Race & Sports Book,"Visit the Paris Las Vegas Race & Sports Book to place your wagers on your favorite team or bet the horses, then watch the action on projection TVs and individual monitors.
Operating Hours
Mon - Wed:      8 a.m. - 8:30 p.m.
Thuday:         8 a.m. - 9:30 p.m.
Friay:               8 a.m. - 10 p.m.
Satrday:          7:30 a.m. - 10 p.m.
Sunay:            7:30 a.m. - 9 p.m.
FOOTBALL SEASON SPECIALS
All season long guests at the sports book can enjoy these drink specials:
Miller Coors bottles for $8 or buckets for $30
Crown Royal cocktails for $12
Don Julio Blanco cocktails or margaritas for $13
Absolut cocktails or Bloody Marys for $12
14 Hands Wine for $10
Absolut & Red Bull for $16
""The Tailgater"" hot dog special on Satrdays and Sunays with a hot dog and chips for $5",Sports bars,8:00:00 AM,9:30:00 PM,11.01.2019,31.12.2019,Thu,"3655 Las Vegas Boulevard South Las Vegas , NV 89109",36.112385-115.171486,https://www.caesars.com/paris-las-vegas/casino/race-and-sports-book,
Paris_34.jpg,Las Vegas Race & Sports Book,"Visit the Paris Las Vegas Race & Sports Book to place your wagers on your favorite team or bet the horses, then watch the action on projection TVs and individual monitors.
Operating Hours
Mon - Wed:      8 a.m. - 8:30 p.m.
Thuday:         8 a.m. - 9:30 p.m.
Friay:               8 a.m. - 10 p.m.
Satrday:          7:30 a.m. - 10 p.m.
Sunay:            7:30 a.m. - 9 p.m.
