Event Picture Ref No,Event Name,Description,Interest,Start Time,End Time,Event Date,End Date,Repeat,Location ,Lat/Long,Website,Contact Number
Venetian_5.jpg,Carlo's Bakery,"At the bakery brought by TLC_s Cake Boss, you may have to stand in line, but a taste of his elegant cakes, lobster tail, and daily confections promise to be worth the wait.Opened in 1910, Carlo_s Bakery is renowned for its delicious creations, hardworking staff, and family atmosphere. Carlo_s has spearheaded the recent custom cake craze and has garnered attention from a variety of media outlets including Brides, The Rachael Ray Show, Huffington Post and Good Morning America. Most recently, Carlo_s has been showcased as the setting for TLC_s hit shows Cake Boss and Next Great Baker.",Cafes,8:00:00 AM,11:00:00 PM,11.01.2019,31.12.2019,Everyday,"3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants/buddy-v-ristorante.html,702 607 2356 
Venetian_14.jpg,Canyon Ranch Caf‚,"Located poolside off The Venetian fourth floor, Canyon Ranch Caf‚ is the perfect place to detox with organic, non-GMO ingredients, from organic juices like the Vegas Recovery to grass-fed beef and wild salmon.No visit to Canyon Ranch spa + fitness _ or Las Vegas _ is complete without trying the world-famous cuisine of Canyon Ranch. Renowned chefs draw on the great culinary cultures of the world to create delicious, satisfying, made-from-scratch meals that you can feel good about enjoyingFeed your mind, body and spirit at Canyon Ranch Caf‚.  The nourishing qualities of ancient grains is reborn in this quick, delicious natural experience.  Our ingredients are organic whenever possible and always free of additives and preservatives. From organic vegetables to grass fed beef and troll caught wild salmon, you are given the tools to customize your own dining experience.",Cafes,7:00:00 AM,2:00:00 PM,11.01.2019,31.12.2019,Everyday,"3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants/canyon-ranch-cafe.html,877 220 2688
Venetian_35.jpg,Cafe Pan,CREPES,Cafes,10:00:00 AM,11:00:00 PM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",,877 220 2688
Venetian_35.jpg,Cafe Pan,CREPES,Cafes,10:00:00 AM,12:00:00 AM,11.01.2019,31.12.2019,"Fri, Sat","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_36.jpg,Chicken Now,"BREAKFAST, CHICKEN AND VARIOUS SIDES",Cafes,10:00:00 AM,11:00:00 PM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_36.jpg,Chicken Now,"BREAKFAST, CHICKEN AND VARIOUS SIDES",Cafes,10:00:00 AM,12:00:00 AM,11.01.2019,31.12.2019,"Fri, Sat","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_37.jpg,Chipotle,"BURRITOS, TACOS, SALADS OR BOWLS",Cafes,10:00:00 AM,11:00:00 PM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_37.jpg,Chipotle,"BURRITOS, TACOS, SALADS OR BOWLS",Cafes,10:00:00 AM,12:00:00 AM,11.01.2019,31.12.2019,"Fri, Sat","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_38.jpg,Cocolini,Ice cream at its best!,Cafes,10:00:00 AM,11:00:00 PM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_38.jpg,Cocolini,Ice cream at its best!,Cafes,10:00:00 AM,12:00:00 AM,11.01.2019,31.12.2019,"Fri, Sat","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_39.jpg,CR CRE_T,"ORGANIC, NON-GMO CASUAL DINING",Cafes,6:00:00 AM,11:00:00 PM,11.01.2019,31.12.2019,Everyday,"3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_40.jpg,Curry Pot,TRADITIONAL INDIAN FOOD WITH A MODERN TWIST,Cafes,10:00:00 AM,11:00:00 PM,11.01.2019,31.12.2019,"Fri, Sat","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_40.jpg,Curry Pot,TRADITIONAL INDIAN FOOD WITH A MODERN TWIST,Cafes,10:00:00 AM,12:00:00 AM,11.01.2019,31.12.2019,"Fri, Sat","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_41.jpg,espressamente illy,"ITALIAN ESPRESSO, GELATO, SANDWICHES, SALADS & SOUP",Cafes,6:00:00 AM,12:00:00 AM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_41.jpg,espressamente illy,"ITALIAN ESPRESSO, GELATO, SANDWICHES, SALADS & SOUP",Cafes,6:00:00 AM,1:00:00 AM,11.01.2019,31.12.2019,"Fri, Sat","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_42.jpg,Go Greek Yogurt,"YOGURTERIA, YOGURT BAR",Cafes,7:00:00 AM,12:00:00 AM,11.01.2019,31.12.2019,"Mon, Tue, Wed, Thu, Fri","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_42.jpg,Go Greek Yogurt,"YOGURTERIA, YOGURT BAR",Cafes,8:00:00 AM,12:00:00 AM,11.01.2019,31.12.2019,"Sat, Sun","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_43.jpg,Johnny Rockets,"When we put the words burgers, shakes and fries on the outside of our building it_s a commitment _ not only to you, but to ourselves to always strive to serve the absolute best.  How do we do it?  We start with the highest quality ingredients, including fresh never frozen 100% beef, thick-cut Applewood smoked bacon, real Wisconsin cheddar cheese, cage free chicken and premium ice cream and then hand craft them into goodness. We put so much love and passion into our craft, we are willing to put our signature on every plate that leaves our kitchen.",Cafes,10:00:00 AM,11:00:00 PM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_43.jpg,Johnny Rockets,"When we put the words burgers, shakes and fries on the outside of our building it_s a commitment _ not only to you, but to ourselves to always strive to serve the absolute best.  How do we do it?  We start with the highest quality ingredients, including fresh never frozen 100% beef, thick-cut Applewood smoked bacon, real Wisconsin cheddar cheese, cage free chicken and premium ice cream and then hand craft them into goodness. We put so much love and passion into our craft, we are willing to put our signature on every plate that leaves our kitchen.",Cafes,10:00:00 AM,12:00:00 AM,11.01.2019,31.12.2019,"Fri, Sat","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_44.jpg,JuiceFarm,ORGANIC JUICES & SMOOTHIES,Cafes,7:00:00 AM,9:00:00 PM,11.01.2019,31.12.2019,Everyday,"3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_45.jpg,Lobster ME,"SEAFOOD, LOBSTER ROLLS",Cafes,10:00:00 AM,11:00:00 PM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_45.jpg,Lobster ME,"SEAFOOD, LOBSTER ROLLS",Cafes,10:00:00 AM,12:00:00 AM,11.01.2019,31.12.2019,"Fri, Sat","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_46.jpg,Panda Express,"FAST CHINESE CUISINE",Cafes,10:00:00 AM,11:00:00 PM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_46.jpg,Panda Express,"FAST CHINESE CUISINE",Cafes,10:00:00 AM,12:00:00 AM,11.01.2019,31.12.2019,"Fri, Sat","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_47.jpg,Pizzeria Da Enzo,"SOUPS, SALADS & ITALIAN CUISINE",Cafes,10:00:00 AM,11:00:00 PM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_47.jpg,Pizzeria Da Enzo,"SOUPS, SALADS & ITALIAN CUISINE",Cafes,10:00:00 AM,12:00:00 AM,11.01.2019,31.12.2019,"Fri, Sat","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_48.jpg,Pizzeria Pronto,"HAND-TOSSED NEW YORK STYLE PIZZA, GELATO",Cafes,10:00:00 AM,12:00:00 AM,11.01.2019,31.12.2019,"Mon, Tue, Wed, Thu, Fri","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_48.jpg,Pizzeria Pronto,"HAND-TOSSED NEW YORK STYLE PIZZA, GELATO",Cafes,10:00:00 AM,3:00:00 AM,11.01.2019,31.12.2019,"Thu, Fri, Sat","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_48.jpg,Pizzeria Pronto,"HAND-TOSSED NEW YORK STYLE PIZZA, GELATO",Cafes,11:00:00 AM,12:00:00 AM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_49.jpg,"San Gennaro Burger",BURGERS AT THEIR BEST!,Cafes,10:00:00 AM,11:00:00 PM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_49.jpg,"San Gennaro Burger",BURGERS AT THEIR BEST!,Cafes,10:00:00 AM,12:00:00 AM,11.01.2019,31.12.2019,"Fri, Sat","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_50.jpg,Social Life Pizza,CREATE YOUR OWN NEAPOLITAN STYLE PIZZA,Cafes,10:00:00 AM,11:00:00 PM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_50.jpg,Social Life Pizza,CREATE YOUR OWN NEAPOLITAN STYLE PIZZA,Cafes,10:00:00 AM,12:00:00 AM,11.01.2019,31.12.2019,"Fri, Sat","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_51.jpg,Starbucks,"ESPRESSO, COFFEE, TEA, PASTRY",Cafes,6:00:00 AM,10:00:00 PM,11.01.2019,31.12.2019,Everyday,"3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_52.jpg,Subway,"BREAKFAST, SANDWICHES, SALADS & SOUP",Cafes,10:00:00 AM,11:00:00 PM,11.01.2019,31.12.2019,"Sun, Mon, Tue, Wed, Thu","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
Venetian_52.jpg,Subway,"BREAKFAST, SANDWICHES, SALADS & SOUP",Cafes,10:00:00 AM,12:00:00 AM,11.01.2019,31.12.2019,"Fri, Sat","3355 S Las Vegas Blvd, Las Vegas, NV 89109","36.122967, -115.170215",https://www.venetian.com/restaurants.html#pc=venetian:restaurant/primary/signature;sc=venetian:restaurant/secondary/cuisine/seafood,877 220 2688
