Title,Date,Location,Description,ImageURL,User Name,Time_Zone,End_Date,Long_Lat
MAC KING COMEDY SHOW,04/03/18 01:00 PM,Harrah's Las Vegas,,http://www.ticketmaster.com/Mac-King-tickets/artist/1541465?tm_link=edp_Artist_Name&camefrom=CFC_CAESARSENT_LAS_MacKingComedyShow,,PST,04/03/18 03:00 PM,"(36.1194645, -115.1716391)"
PARANORMAL - MIND READING MAGIC,04/03/18 04:00 PM,Bally's Las Vegas,,http://www.ticketmaster.com/artist/2008675?Brand=ballysLV&camefrom=CFC_CAESARSENT_BLV_Paranormal,,PST,04/04/18 04:00 PM,"(36.1140611, -115.170627)"
FRANK MARINO'S DIVAS LAS VEGAS,04/03/18 04:00 PM,The LINQ Hotel & Casino,,http://www.ticketmaster.com/Frank-Marinos-Divas-tickets/artist/1438112?tm_link=edp_Artist_Name&camefrom=CFC_CAESARSENT_ILV_FrankMarinosDivasLasVegas,,PST,04/04/18 04:00 PM,"(36.1181537, -115.1724421)"
LEGENDS IN CONCERT,04/03/18 04:00 PM,Flamingo Las Vegas,,http://www.ticketmaster.com/Legends-In-Concert-Las-Vegas-tickets/artist/2116595?list_view=1&tm_link=Artist_SwitchTo_List&camefrom=CFC_CAESARSENT_FLV_LegendsinConcert,,PST,04/03/18 09:30 PM,"(36.1164409, -115.1707917)"
THE RIGHTEOUS BROTHERS: BILL MEDLEY & BUCKY HEARD,04/03/18 06:00 PM,Harrah's Las Vegas,,http://www.ticketmaster.com/Righteous-Brothers-tickets/artist/735978?tm_link=edp_Artist_Name&camefrom=CFC_CAESARSENT_LAS_TheRighteousBrothersBillMedleyBuckyHeard,,PST,04/04/18 06:00 PM,"(36.1194645, -115.1716391)"
THE BRONX WANDERERS,04/03/18 06:00 PM,Bally's Las Vegas,,http://www.ticketmaster.com/The-Bronx-Wanderers-tickets/artist/1578563?tm_link=edp_Artist_Name&camefrom=CFC_CAESARSENT_BLV_TheBronxWanderersBallysLasVegas,,PST,04/04/18 06:00 PM,"(36.1140611, -115.170627)"
SEX TIPS FOR STRAIGHT WOMEN FROM A GAY MAN,04/03/18 07:00 PM,Paris Las Vegas,,https://www.ticketmaster.com/Sex-Tips-For-Straight-Women-From-tickets/artist/2073330?camefrom=CFC_CAESARSENT_PLV_SexTipsforStraightWomenfromaGayMan,,PST,04/04/18 07:00 PM,"(36.1125414, -115.1706705)"
TAPE FACE,04/03/18 07:00 PM,Harrah's Las Vegas,,https://www.ticketmaster.com/venueartist/467941/2285170/?camefrom=CFC_CAESARSENT_LAS_TapeFace,,PST,04/04/18 07:00 PM,"(36.1194645, -115.1716391)"
MAT FRANCO MAGIC REINVENTED NIGHTLY,04/03/18 07:00 PM,The LINQ Hotel & Casino,,http://www.ticketmaster.com/Mat-Franco-tickets/artist/2080963?tm_link=artist_artistvenue_module&camefrom=CFC_CAESARSENT_ILV_MatFrancoMagicReinventedNightly,,PST,04/03/18 09:30 PM,"(36.1181537, -115.1724421)"
WOW,04/03/18 07:00 PM,Rio All-Suite Hotel & Casino,,http://www.ticketmaster.com/venueartist/467853/2400683?camefrom=CFC_CAESARSENT_RLV_WOW,,PST,04/04/18 07:00 PM,"(36.1175148, -115.1881593)"
XAVIER MORTIMER'S MAGICAL DREAM,04/03/18 07:00 PM,Planet Hollywood,,http://www.ticketmaster.com/Xavier-Mortimers-Magical-Dream-tickets/artist/2247941?Brand=planethollywoodlv&camefrom=CFC_CAESARSENT_PHV_XavierMortimer,,PST,04/04/18 07:00 PM,"(36.1099696, -115.1700646)"
MENOPAUSE THE MUSICAL,04/03/18 07:30 PM,Harrah's Las Vegas,,http://www.ticketmaster.com/venueartist/467916/874566&camefrom=CFC_CAESARSENT_LAS_MenopauseTheMusicalFeaturingCindyWilliams,,PST,04/04/18 07:30 PM,"(36.1194645, -115.1716391)"
DONNY & MARIE,04/03/18 07:30 PM,Flamingo Las Vegas,,http://www.ticketmaster.com/artist/1748816?camefrom=CFC_CAESARSENT_FLV_DonnyMarie,,PST,04/04/18 07:30 PM,"(36.1164409, -115.1707917)"
WAYNE NEWTON: UP CLOSE & PERSONAL,04/03/18 08:00 PM,Bally's Las Vegas,,http://www.ticketmaster.com/Wayne-Newton-tickets/artist/734077?Brand=ballysLV&camefrom=CFC_CAESARSENT_BLV_WayneNewton,,PST,04/04/18 08:00 PM,"(36.1140611, -115.170627)"
THE MISS BEHAVE GAMESHOW,04/03/18 08:00 PM,Bally's Las Vegas,,http://www.ticketmaster.com/artist/2124768?camefrom=CFC_CAESARSENT_BLV_TheMissBehaveGameshow,,PST,04/04/18 08:00 PM,"(36.1140611, -115.170627)"
PIFF THE MAGIC DRAGON,04/03/18 08:00 PM,Flamingo Las Vegas,,http://www.ticketmaster.com/Piff-the-Magic-Dragon-Las-Vegas-tickets/artist/2281093?camefrom=CFC_CAESARSENT_FLV_Piff,,PST,04/04/18 08:00 PM,"(36.1164409, -115.1707917)"
CHIPPENDALES,04/03/18 08:30 PM,Rio All-Suite Hotel & Casino,,http://www.ticketmaster.com/venueartist/189324/821926?camefrom=CFC_CAESARSENT_RLV_Chippendales,,PST,04/04/18 08:30 PM,"(36.1175148, -115.1881593)"
ANTHONY COOLS,04/03/18 09:00 PM,Paris Las Vegas,,http://www.ticketmaster.com/Anthony-Cools-tickets/artist/806915?Brand=parislv&camefrom=CFC_CAESARSENT_PLV_AC_FINDTIX,,PST,04/04/18 09:00 PM,"(36.1125414, -115.1706705)"
