Title,Date,Location,Description,ImageURL,User Name,Time_Zone,End_Date,Long_Lat
2018 Great Vegas Festival of Beer,4/6/2018 19:00,"World Market Center Pavilion, Las Vegas","What: The Great Vegas Festival of Beer features over 100 of the world's top craft breweries across four blocks of Downtown Las Vegas. Sample from over 500 different craft brews, enjoy over-the-top culinary and craft beer creations at the Get Motley VIP Experience, and experience craft beer in a whole new way at educational sessions and many other one-of-a-kind, beer-centric event experiences.
More info: http://greatvegasbeer.com/
When: 7pm-10pm Friday, April 6th. 2pm-7pm Saturday, April 7th
Where: Alert! Due to High Winds, Great Vegas will move to The World Market Center Pavilions at 205 W Symphony Park Ave, Las Vegas, NV 89106! For Venue Information CLICK HERE

Who: You, your friends and thousands of thirsty fans. Also, your appetite; were pouring hundreds of craft beers and brews, and will have food trucks, chefs and restaurants onsite.
Why: Hundreds of craft beers and brews to sample (unlimited samplings!), food options from some of Vegas best food trucks, a FREE educational series (BrewLogic), dancing (Silent Disco), karaoke and a few surprises, this is the one beer event this year you cant miss.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F42444295%2F3350173195%2F1%2Foriginal.jpg?w=1000&rect=0%2C0%2C2160%2C1080&s=d37acd3704c1e468f145246003568542,,PST,4/7/2018 19:00,"(36.16783, -115.156181)"
Wellness Festival,4/7/2018 9:00,"Downtown Summerlin, Las Vegas","Join Downtown Summerlin April 7 from 9 a.m. - 4 p.m. for our annual Wellness Festival featuring:

Complimentary Fitness Classes
o 9 a.m. FIT4MOM Stroller Strides
o 10 a.m. Trufusion Vinyasa Yoga
o 11 a.m. Pure Barre with Lauren Montz
o Noon Dance Dynamics
o 1 p.m. lululemon High Fitness
o 2 p.m. TruFusion Intro to Yoga
o 3 p.m. Pure Barre with Lauren Montz

Summerlin Hospital Pavilion
o Blood Pressure Checks 9 a.m.  10 a.m.
o Heart Attack & Stroke Education 9 a.m.  10 a.m.
o Childrens Medical Play 10 a.m.  3 p.m.
o Hands Only CPR Training 10 a.m.  2 p.m.
o Stop The Bleed training 10 a.m.  2 p.m.
o Ask a Childbirth Educator 11 a.m.  1 p.m.
o Healthy Eating Tips 1 p.m.  3 p.m.

Off-Axis Acrobatics Show: As seen at the Nickelodeon Kids Choice Sports Awards, enjoy a heart pounding trampoline wall acrobatic show at The Lawn. 10:50am // 11:50pm // 1:50pm // 2:50pm

Childrens Activities:
o 24 ft. Climbing Wall presented by ABC Action Adventures ($6 per kid)
o Face Painting & Balloon Artist with Celebrate Kids


Comprehensive Cancer Centers: Complimentary sunscreen to all festival attendees and sun safety tips.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F42784452%2F202266599025%2F1%2Foriginal.jpg?w=1000&rect=0%2C477%2C4096%2C2048&s=a1bc1b4100b32789501ea40c4ddef2d6,,PST,4/8/2018 9:00,"(36.1499775, -115.3323726)"
Downtown Country Throwdown,4/6/2018 20:00,"Place on 7th, Las Vegas","A night of country music in Downtown Las Vegas!
Line dancing lessons on our open air dance floor from 8p-9p.
Featuring music by DJ Shaddix.
RSVP Online for Complimentary entry + *1 FREE Drink.
Drink specials all night long.
$5 at the door.
8p-2am
*per person",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F42750436%2F145159896887%2F1%2Foriginal.jpg?w=1000&rect=0%2C13%2C1200%2C600&s=c6312e8ba887e28e094aebb5b0176632,,PST,4/7/2018 20:00,"(36.1690013, -115.1378344)"
The Great Onesie Bar Crawl: Las Vegas,4/7/2018 15:00,"Troy Liquor Bar, las vegas","Come one, come all: It's the Great Onesie Bar Crawl!
The Great Onesie Bar Crawl is coming to Downtown Las Vegas and you're invited. We're taking over the streets of Denver for a ridiculously comfortable crawl. Unleash your inner spirit animal, and throw on your favorite onesie. This will be the largest, and most comfortable day party in history. Join hundreds of onesie clad crawlers and snap some pics in our photobooth. We've set up exclusive specials and surprises at our favorite venues, and we'll be crawling in style- and skipping the cover charge!

Check-in / Registration at TROY Liquor Bar in The Golden Nugget
Don't have a favorite onesie yet? No problem! Check out our website (http://www.greatonesie.com) and we'll make sure you're on the most comfortable adventure of your life.
DRESS CODE:
You can wear pajamas. You can wear a costume. You can pretty much do whatever you want-- but it better be a onesie! Check out our website for help finding the right outfit.
AGE LIMIT:
You must be 21 years of age or older to participate

NEED A LYFT?
We've partnered with everyone's favorite ride share company LYFT to give free first time ride credits. Use promo code GREATCRAWL to claim your credits. No matter what, make sure you take a safe and sober ride home.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F38528220%2F62087492307%2F1%2Foriginal.jpg?w=1000&rect=202%2C0%2C1944%2C972&s=abaecbf6290d4856f46ea4c9fa3c3adf,,PST,4/8/2018 15:00,"(36.1690013, -115.1378344)"
TY DOLLA $IGN - Drai's Nightclub - Guest List - April 6,4/6/2018 22:00,"Drai's Beachclub & Nightclub, Las Vegas","TY DOLLA $IGN live in concert - Drai's Nightclub - HipHop
Girls will be FREE before 11:30pm
Guys with even ratio are reduced before 10:30pm
Danny Lush's Guest List
This is not your ticket to entry. A Guest List confirmation e-mail will be sent to you a week before the event confirming your reservation. Please RSVP as soon as possible! You will be using the name you sign up with to check in through the Guest List line. Guest List rules may change at any time. Contact me asap at (323) 886 - 2525 if you have any questions or need any help :)
RSVP now!!



Drai's Nightclub - a multilevel indoor/outdoor club that makes you feel like a VIP while providing stunning views of the stars and the Las Vegas Strip.
Located in The Cromwell Las Vegas (formerly Barbary Coast and Bill's Gamblin' Hall and Saloon[1]) - a luxury boutique hotel and casino on the Las Vegas Strip in Paradise, Nevada. It is owned and operated by Caesars Entertainment Corporation.
If you want a true nightclub experience that still speaks to the boutique mentality of the too-cool-for-everything millennium, try Drai's Nightclub. Then go to Drai's Afterhours. The contrast makes them both cooler. In 1997, Victor Drai opened Drais restaurant on the Las Vegas Strip.[14] Two years later, Drai added a nightclub to the restaurant, re-branding it Drais After Hours.[15] In Vegas Seven's 2012 Nightclub Awards, Drai's After Hours won ""Best Place to Disappear"".[16][17] It is still located in the Cromwell Hotel and opens after Drai's Beach Club Nightclub closes.
RSVP for Drais Rooftop Nightclub ASAP!!

FAQs
Are there ID or minimum age requirements to enter the event?
21+ event. ID required to enter
How can I contact the organizer with any questions?
Vegas VIP - Text (323) 886 - 2525 for info",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F39355322%2F223671748510%2F1%2Foriginal.jpg?w=1000&rect=0%2C98%2C600%2C300&s=4fe623dcaf4bfe8b9b9a0d03bffe1758,,PST,4/7/2018 22:00,"(36.1690013, -115.1378344)"
2 CHAINZ LIVE - Drai's Nightclub - Guest List - April 7,4/7/2018 22:00,"Drai's Beachclub & Nightclub, Las Vegas","Drai's Nightclub - HipHop - Saturday Night!
Girls will be FREE before 11:30pm
Guys will be paying full or reduced cover
Danny Lush's Guest List
This is not your ticket to entry. A Guest List confirmation e-mail will be sent to you a week before the event confirming your reservation. Please RSVP as soon as possible! You will be using the name you sign up with to check in through the Guest List line. Contact me asap at (323) 886 - 2525 if you have any questions or need any help :)
RSVP now!!



Drai's Nightclub - a multilevel indoor/outdoor club that makes you feel like a VIP while providing stunning views of the stars and the Las Vegas Strip.
Located in The Cromwell Las Vegas (formerly Barbary Coast and Bill's Gamblin' Hall and Saloon[1]) - a luxury boutique hotel and casino on the Las Vegas Strip in Paradise, Nevada. It is owned and operated by Caesars Entertainment Corporation.
If you want a true nightclub experience that still speaks to the boutique mentality of the too-cool-for-everything millennium, try Drai's Nightclub. Then go to Drai's Afterhours. The contrast makes them both cooler. In 1997, Victor Drai opened Drais restaurant on the Las Vegas Strip.[14] Two years later, Drai added a nightclub to the restaurant, re-branding it Drais After Hours.[15] In Vegas Seven's 2012 Nightclub Awards, Drai's After Hours won ""Best Place to Disappear"".[16][17] It is still located in the Cromwell Hotel and opens after Drai's Beach Club Nightclub closes.
RSVP for Drais Rooftop Nightclub ASAP!!


FAQs
Are there ID or minimum age requirements to enter the event?
21+ event. ID required to enter
How can I contact the organizer with any questions?
Vegas VIP - Text (323) 886 - 2525 for info",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F39358373%2F223671748510%2F1%2Foriginal.jpg?w=1000&rect=0%2C98%2C600%2C300&s=b1870248063f2cf971567f51ad0a5d03,,PST,4/8/2018 22:00,"(36.115049, -115.172144)"
Hockey has HeART,4/8/2018 18:00,"City National Arena, Las Vegas","Join us for Project Imagine Las Vegas' First Annual Hockey Has HeART charity game and fundraising event, sponsored by HealthCare Partners of Nevada.
First, we'll gather round the ice at City National Arena as some of Las Vegas' biggest-hearted hockey players compete to benefit Project Imagine's arts-in-medicine programs for hospitalized children.
Then, we'll take the event upstairs to MacKenzie River Pizza, Grill, and Pub to learn more about how arts are making a difference for kids in the hardest fight, and to bid on the items in our amazing silent auction.
We can't wait to see you for this FREE, FUN, FAMILY-FRIENDLY, FUNDRAISING EVENT!
Thank you to our sponsor!",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F41034045%2F5315365919%2F1%2Foriginal.jpg?w=1000&rect=0%2C0%2C2560%2C1280&s=c3a8c01a2c1f3b2fc77335d0e4208d7b,,PST,4/9/2018 18:00,"(36.1540122, -115.3294204)"
DRAIS NIGHTCLUB - GUEST LIST - LAS VEGAS,4/7/2018 22:00,"Drai's Beachclub & Nightclub, Las Vegas","ADAM KURTZ LIST @ DRAIS NIGHTCLUB
DOORS OPEN AT 10PM
LADIES FREE UNTIL 12AM
GUYS WITH A FEMALE GUEST REDUCED UNTIL 12AM
DRESS CODE: NO HATS, NO SNEAKERS, NO SHORTS, NO FLIP FLOPS, DRESS TO IMPRESS
MUST HAVE A VALID 21+ ID TO ENTER
YOUR CONFIRMATION THAT YOU RECIEVE THROUGH E-MAIL IS YOUR TICKET
MAKE SURE YOU SHOW THE CONFIRMATION E-MAIL AT THE GUEST LIST LINE AND NOT THE EVENTBRITE TICKET FOR ENTRY


If you're not in the club scene, or your only interaction with the club scene is turning up for the music, you might not know the name Victor Drai. That's ok. He put his name all over something you're sure to remember -- Drai's Nightclub. It's the place in Vegas for club patrons who know the difference between upscale and just scaled up.
An elevator ride above the Cromwell, a sensual boutique hotels on the Las Vegas Strip, Drai's Nightclub continues the Cromwell's attitude of specifically-chic ambiance catering to a crowd of clever and well-off waifs. The clientele can tell that the Strip is changing and they know how small batches of craft work offer greater taste. So coming to Drai's means accepting that the club is as much a place for art as getting wasted.
They offer the usual decadence you'd expect like private jet charters and bottle service packages including ridiculously expensive champagne. But even for the average club goer the space is filled with the party favors, drinks and a giant disco ball you need to create a priceless night. And that's just inside.
When the night is warm, which is a lot of time in Vegas, the pool area is open with a view of the Strip, Caesar's Palace and Bellagio across the street, and the occasional burst of fireworks set off by someone who probably paid more for that honor than we make in a month of writing about it.
In many ways, Drai's Nightclub is like its competitors and it's cohorts -- Drai's Afterhours and Drai's Beach Club -- but thanks to the efforts of renowned creator Victor Drai and the smaller but special styling of the Cromwell, Drai's Nightclub has carved out a star-shaped space in a city almost bursting with supernovas. And with the mega performers who have hit the stage, like Iggy Azalea, the Weekend and more, Drai's Nightclub is a venue that brings the show to the party and thanks you for attendance.
If you want a true nightclub experience that still speaks to the boutique mentality of the too-cool-for-everything millennium, try Drai's Nightclub. Then go to Drai's Afterhours. The contrast makes them both cooler.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F41029016%2F223526219891%2F1%2Foriginal.jpg?w=1000&rect=0%2C35%2C2400%2C1200&s=a061f7e8c32c8845ce316b33c1a46bee,,PST,4/8/2018 22:00,"(36.115049, -115.172144)"
RAIN Networking Meetup,4/8/2018 17:00,"Bandito Latin Kitchen & Cantina, Las Vegas","presented by Targetspot
The RAIN Networking Meet-up is a new kind of RAIN event, where knowledge meets networking ... and fun! On the eve of The NAB Show in Las Vegas, join the RAIN team for drinks and great conversation, with special presentations by RAIN Founder Kurt Hanson and presenting sponsor TargetSpot. Tickets are free, just RSVP!",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F42756689%2F82379293529%2F1%2Foriginal.jpg?w=1000&rect=0%2C4%2C900%2C450&s=e79dc182d78814d249791983cd492f80,,PST,4/9/2018 17:00,"(36.1152328, -115.158606)"
2 CHAINZ LIVE - Drais Nightclub - VIP Guest List - 4/7,4/7/2018 22:00,"Drai's Beachclub & Nightclub, Las Vegas","Special Guest (TBA) at Drai's Nightclub

DANNY LUSH's GUEST LIST
Girls are FREE before 11:30pm
Guys with even ratio will be paying reduced admission before 11pm. (subject to change)
RSVP as soon as possible to be added to the Guest List - space is limited!!

Exact Guest List and/or ticket details will be e-mailed to you a week before the event. This is NOT a ticket of admission. Make sure you read your email for instructions!

Drai's Nightclub - Voted #1 Hip Hop nightclub in Las Vegas in 2016. Located on the rooftop of the Cromwell Hotel in the heart of the Vegas Strip! New years eve party!!

Drai's Nightclub has unparalleled views of the Las Vegas Strip and is world-renowned for discovering the best musical talent. Drais offers an experience unlike any other Las Vegas nightclubs.
The 70,000+ square-foot rooftop club at The Cromwell Las Vegas features 150+ VIP tables, eight pools, two VIP balconies, four bars, and over 7,000 square feet of state-of-the-art digital LED screens. The venues 360-degree multi-level experience is reinventing the way guests experience Las Vegas nightlife.

Drais Beach Club Nightclub - Victor Drai opened Drais Beachclub & Nightclub, on Memorial Day Weekend 2014, at The Cromwell Las Vegas. This 65,000-square-foot venue has a party pool and an indoor/outdoor club spread out over two levels on top of the new Cromwell Hotel. The latest DJ talents provide music and entertainment for sexy party guests who can book one of the 150 VIP tables sprinkled indoors and outdoors.
Located in: The Cromwell Las Vegas Hotel & Casino
Tauheed Epps (born September 12, 1977), known professionally as 2 Chainz (formerly Tity Boi), is an American rapper. Born and raised in College Park, Georgia, he initially gained recognition for being one-half of the Southern hip hop duo Playaz Circle, alongside his longtime friend and fellow rapper Earl ""Dolla Boy"" Conyers. They are perhaps best known for being signed to fellow Georgia-based rapper Ludacris' Disturbing tha Peace label, as well as their debut single ""Duffle Bag Boy"".
In February 2012, Epps signed a solo record deal with Def Jam Recordings, an imprint of Universal Music Group. The following August, he released his debut studio album Based on a T.R.U. Story, to mixed reviews.[4] The album spawned three successful singles: ""No Lie,"" ""Birthday Song,"" and ""I'm Different"", all of which charted in the top 50 of the Billboard Hot 100 and were certified Gold or higher by the RIAA, along with the album being certified Gold. His second studio album B.O.A.T.S. II: Me Time was released on September 11, 2013. It was supported by the singles ""Feds Watching"" and ""Used 2"".
In late 2012, Epps stated once he completed the B.O.A.T.S. concert tour, he will head back into the studio. In November 2012, he revealed he was three songs deep into his second studio album. The album's estimated release date was April 2013. The rapper made a guest appearance on NBC's Law & Order: Special Victims Unit in an episode that aired May 8, 2013. He also appeared as himself in the second season (episode 16) of the CBS sitcom 2 Broke Girls, where he travels on the same private planes as the two main characters.[33] On May 23, 2013, he announced that his second studio album B.O.A.T.S. II: Me Time will be released on September 10, 2013. On June 2, 2013, Epps premiered the first single from the album, ""Feds Watching"" at the Hot 97's Summer Jam. The song features Pharrell Williams and was recorded on 2013 Grammy Awards night.[35][36] On June 15, Epps announced the title of his second album would be B.O.A.T.S. II: Me Time.The album was released through Def Jam Recordings, on September 10, 2013.
B.O.A.T.S. II: Me Time featured guest appearances from Pharrell Williams, Fergie, Drake, Lil Wayne, Pusha T, Mase, Chrisette Michele, Iamsu!, T-Pain, Dolla Boy, Rich Homie Quan, and Lloyd among others. The album's production was handled by Diplo, Mike WiLL Made It, Drumma Boy, J.U.S.T.I.C.E. League, Mannie Fresh, Wonder Arillo, Da Honorable C-Note and DJ Toomp among others. It was also supported by the single ""Used 2"", along with the promotional singles ""Where U Been?"" and ""Netflix"". Upon the album's release, it was met with generally positive reviews from music critics. It also faired decently commercially, debuting at number three on the US Billboard 200, and number two on the Top R&B/Hip-Hop Albums chart selling 63,000 copies in its first week.
On October 23, 2013, Epps revealed that he had begun working on his third studio album immediately following the release of B.O.A.T.S. II. He also stated he had the first single from his third album ready for release and that he still wanted to get Jay-Zfeatured on the album.[42] In November 2015, 2 Chainz revealed that we was releasing a joint album with Lil Wayne, titled ColleGrove.[43] On May 5, 2014, Epps released a brand new EP titled FreeBase for free digital download. It includes 7 songs, and includes features from Lil Boosie, A$AP Rocky, Rick Ross and more. The EP has earned over 200,000 downloads. In January 2014 Epps released a promotional single ""I'm A Dog"".

FAQs
Are there ID or minimum age requirements to enter the event?
This event is 21+
How can I contact the organizer with any questions?
Danny Lush - (347) 753 - 6732

*The following articles are prohibited: Athletic gear and apparel, pants, torn or cutoff clothing, basketball shoes, work wear, Jordans, Timberlands, branded hats, jerseys, baggy clothing, chains, offensive prints on clothing, weapons, controlled substances, eye drops, gum, outside food or beverages, liquids, vitamins, supplements, over the counter medications, prescription medications without valid prescription, cameras, go-pros, wearable technology, selfie sticks, the use of vaporizers vapes.*
**Guest List Rules and Table minimums subject to change. Management reserves all rights.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F41700294%2F223525726461%2F1%2Foriginal.jpg?w=1000&rect=0%2C134%2C958%2C479&s=2fe74b7def42dd62cf51761248e173ca,,PST,4/8/2018 22:00,"(36.115049, -115.172144)"
