Title,Date,Location,Description,ImageURL,User Name,Time_Zone,End_Date,Long_Lat
The Spazmatics- The Ultimate New Wave 80's Show in Las Vegas,04/07/18 10:30 PM,"South Point Hotel Casino and Spa, 9777 S. Las Vegas Boulevard, Las Vegas, Nevada 89183",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/016/848/186-7.jpeg_/the-spazmatics-86.jpeg,,PST,04/08/18 10:30 PM,"(36.011661, -115.175993)"
Deana Martin Celebrity Roast in Las Vegas,04/15/18 06:00 PM,"South Point Hotel Casino and Spa, 9777 S. Las Vegas Boulevard, Las Vegas, Nevada 89183",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/038/015/109-6.jpeg_/deana-martin-celebrity-roast-09.jpeg,,PST,04/16/18 06:00 PM,"(36.011661, -115.175993)"
Sapphire Comedy Hour in Las Vegas,04/07/18 08:00 PM,"Sapphire Showroom, 3025 Sammy Davis Junior Drive, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/039/223/440-8.jpeg_/sapphire-comedy-hour-40.jpeg,,PST,04/08/18 08:00 PM,"(36.13479, -115.1716174)"
Comic Hypnotist Justin Tranz in Las Vegas,04/06/18 08:30 PM,"Inspire Theater, 107 South Las Vegas Boulevard, Las Vegas, Nevada 89101",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/039/867/114-2.jpeg_/comic-hypnotist-justin-tranz-14.jpeg,,PST,04/07/18 08:30 PM,"(36.1689503, -115.1405421)"
The Spazmatics in Las Vegas,04/07/18 10:30 PM,"South Point Hotel Casino and Spa, 9777 S. Las Vegas Boulevard, Las Vegas, Nevada 89183",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/016/848/186-7.jpeg_/the-spazmatics-86.jpeg,,PST,04/08/18 10:30 PM,"(36.011661, -115.175993)"
Spazmatics (21+ Event) in Las Vegas,04/14/18 10:30 PM,"South Point Hotel Casino and Spa, 9777 S. Las Vegas Boulevard, Las Vegas, Nevada 89183",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/016/848/186-7.jpeg_/the-spazmatics-86.jpeg,,PST,04/15/18 10:30 PM,"(36.011661, -115.175993)"
"""The Dirty Joke Show"" in Las Vegas",04/05/18 10:30 PM,"Hooters Casino Hotel, 115 East Tropicana Avenue, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/039/960/501-2.jpeg_/thedirtyjokeshow-01.jpeg,,PST,04/06/18 10:30 PM,"(36.100506, -115.1677344)"
Gene Renfroe in Las Vegas,05/17/18 07:00 PM,"JW Marriot Las Vegas Resort & Spa, 221 North Rampart Boulevard, Las Vegas, Nevada 89145",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/comedy/comedy_default_1.jpg,,PST,05/18/18 07:00 PM,"(36.1750297, -115.2871486)"
Esther Ku in Las Vegas,04/26/18 07:00 PM,"JW Marriot Las Vegas Resort & Spa, 221 North Rampart Boulevard, Las Vegas, Nevada 89145",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/comedy/comedy_default_1.jpg,,PST,04/27/18 07:00 PM,"(36.1750297, -115.2871486)"
Gene Renfroe in Henderson,05/19/18 08:00 PM,"The Klondike Sunset Casino, 444 West Sunset Road, Henderson, Nevada 89011",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/comedy/comedy_default_1.jpg,,PST,05/20/18 08:00 PM,"(36.0642968, -115.0153719)"
Magician Mac King in Las Vegas,12/29/18 03:00 PM,"Harrah's Las Vegas Casino & Hotel, 3475 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/039/426/542-0.jpeg_/magician-mac-king-42.jpeg,,PST,12/30/18 03:00 PM,"(36.1194645, -115.1716391)"
Las Vegas Live Comedy Club in Las Vegas,12/30/18 09:00 PM,"V Theater at Planet Hollywood Las Vegas, 3663 S Las Vegas Boulevard Suite 360a, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/039/883/286-8.jpeg_/las-vegas-live-comedy-club-86.jpeg,,PST,12/31/18 09:00 PM,"(36.11081, -115.1689)"
Hannibal Buress in Las Vegas,06/08/18 10:00 PM,"The Mirage Hotel and Casino, Las Vegas, 3400 S Las Vegas Boulevard, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/017/284/959-0.jpeg_/hannibal-buress-59.jpeg,,PST,06/09/18 10:00 PM,"(36.1211957, -115.1740735)"
Comedy at the Eclipse Theaters in Las Vegas,04/04/18 08:30 PM,"Eclipse, 814 South 3rd Street, Las Vegas, Nevada 89101",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/comedy/comedy_default_1.jpg,,PST,04/05/18 08:30 PM,"(36.161789, -115.148678)"
Las Vegas Live Comedy Club in Las Vegas,08/10/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_2.jpg,,PST,08/11/18 09:00 PM,"(36.161789, -115.148678)"
Las Vegas Live Comedy Club in Las Vegas,08/21/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_2.jpg,,PST,08/22/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,08/14/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_3.jpg,,PST,08/15/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,08/16/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_2.jpg,,PST,08/17/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,08/13/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_2.jpg,,PST,08/14/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,08/17/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_2.jpg,,PST,08/18/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,08/19/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_2.jpg,,PST,08/20/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,08/15/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_3.jpg,,PST,08/16/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,08/12/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_3.jpg,,PST,08/13/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,08/18/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_3.jpg,,PST,08/19/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,08/11/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_2.jpg,,PST,08/12/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,08/29/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_1.jpg,,PST,08/30/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,08/23/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_2.jpg,,PST,08/24/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,08/26/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_2.jpg,,PST,08/27/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,08/22/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_3.jpg,,PST,08/23/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,08/28/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_2.jpg,,PST,08/29/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,08/24/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_2.jpg,,PST,08/25/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,08/27/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_2.jpg,,PST,08/28/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,08/30/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_2.jpg,,PST,08/31/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,09/03/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_1.jpg,,PST,09/04/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,09/05/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_2.jpg,,PST,09/06/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,09/02/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_1.jpg,,PST,09/03/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,09/04/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_1.jpg,,PST,09/05/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,09/08/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_2.jpg,,PST,09/09/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,09/01/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_3.jpg,,PST,09/02/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,09/15/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_1.jpg,,PST,09/16/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,09/10/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_2.jpg,,PST,09/11/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,09/11/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_3.jpg,,PST,09/12/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,09/12/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_2.jpg,,PST,09/13/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,09/06/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_3.jpg,,PST,09/07/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,09/07/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_2.jpg,,PST,09/08/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,09/13/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_3.jpg,,PST,09/14/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,09/14/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_2.jpg,,PST,09/15/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,09/18/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_3.jpg,,PST,09/19/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,09/19/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_3.jpg,,PST,09/20/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,09/20/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_2.jpg,,PST,09/21/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,09/22/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_3.jpg,,PST,09/23/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,09/17/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_3.jpg,,PST,09/18/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,09/21/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_1.jpg,,PST,09/22/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,09/23/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_1.jpg,,PST,09/24/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,10/01/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_2.jpg,,PST,10/02/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,09/30/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_1.jpg,,PST,10/01/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,09/26/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_2.jpg,,PST,09/27/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,09/29/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_1.jpg,,PST,09/30/18 09:00 PM,"(36.1099696, -115.1700646)"
Las Vegas Live Comedy Club in Las Vegas,09/27/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_2.jpg,,PST,09/28/18 09:00 PM,"(36.1099696, -115.1700646)"
