Title,Date,Location,Description,ImageURL,User Name,Time_Zone,End_Date,Long_Lat
Hitzville - The Show in Las Vegas,04/04/18 05:30 PM,"V Theater at Planet Hollywood Las Vegas, 3663 S Las Vegas Boulevard Suite 360a, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/012/379/457-5.jpeg_/hitzville-show-57.jpeg,,PST,04/05/18 05:30 PM,"(36.11081, -115.1689)"
Collin Raye in Las Vegas,04/07/18 08:00 PM,"Santa Fe Station Casino, 4949 North Rancho Drive, Las Vegas, Nevada 89130",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/004/053/558-3.jpeg_/collin-raye-58.jpeg,,PST,04/08/18 08:00 PM,"(36.2502589, -115.2444758)"
Blue Man Group in Las Vegas,04/04/18 04:00 PM,"Luxor Las Vegas, 3900 Las Vegas Boulevard South, Las Vegas, Nevada 89119",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/014/568/219-3.jpeg_/blue-man-group-19.jpeg,,PST,04/05/18 04:00 PM,"(36.09551, -115.1760672)"
Blue Man Group in Las Vegas,04/04/18 04:00 PM,"Luxor Las Vegas, 3900 Las Vegas Boulevard South, Las Vegas, Nevada 89119",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/014/568/219-3.jpeg_/blue-man-group-19.jpeg,,PST,04/05/18 04:00 PM,"(36.09551, -115.1760672)"
Circus 1903 Las Vegas in Las Vegas,04/04/18 07:00 PM,"Paris Theater at Paris Las Vegas, 3655 Las Vegas Blvd, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/performing_arts/performing_arts_default_2.jpg,,PST,04/05/18 07:00 PM,"(36.1123576, -115.1702212)"
Footloose Friday in Las Vegas,04/06/18 10:30 AM,"Summerlin Library, 1771 Inner Circle, Las Vegas, Nevada 89134",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_3.jpg,,PST,04/07/18 10:30 AM,"(36.191391, -115.301739)"
Toddler Club in Las Vegas,04/13/18 10:30 AM,"Summerlin Library, 1771 Inner Circle, Las Vegas, Nevada 89134",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_3.jpg,,PST,04/14/18 10:30 AM,"(36.191391, -115.301739)"
Longevitology - Energy Healing in Las Vegas,04/16/18 02:00 PM,"Sahara West Public Library, 9600 West Sahara Avenue, Las Vegas, Nevada 89117",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/family_fun_kids/family_fun_kids_default_2.jpg,,PST,04/17/18 02:00 PM,"(36.1450039, -115.3054274)"
Guitar for Amateurs in Las Vegas,04/08/18 04:00 PM,"Spring Valley Library, 4280 S. Jones Blvd., Las Vegas, Nevada 89103",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/music/music_default_3.jpg,,PST,04/09/18 04:00 PM,"(36.111408, -115.224237)"
Writing Workshop with Maxwell Alexander Drake in Las Vegas,04/08/18 03:00 PM,"CENTENNIAL HILLS LIBRARY, 6711 N Buffalo Dr., Las Vegas, Nevada 89131",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/family_fun_kids/family_fun_kids_default_1.jpg,,PST,04/09/18 03:00 PM,"(36.2832705, -115.2619135)"
