Title,Date,Location,Description,ImageURL,User Name,Time_Zone,End_Date,Long_Lat
The Spazmatics- The Ultimate New Wave 80's Show in Las Vegas,04/07/18 10:30 PM,"South Point Hotel Casino and Spa, 9777 S. Las Vegas Boulevard, Las Vegas, Nevada 89183",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/016/848/186-7.jpeg_/the-spazmatics-86.jpeg,,PST,04/08/18 10:30 PM,"(36.011661, -115.175993)"
The Doobie Brothers With Special Guest JD & The Straight Shot in Las Vegas,04/07/18 08:00 PM,"The Cosmopolitan Las Vegas, 3708 Las Vegas Blvd S, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/003/464/499-6.jpeg_/doobie-brothers-99.jpeg,,PST,04/08/18 08:00 PM,"(36.1097553, -115.1738769)"
Metallica in Las Vegas,11/26/18 07:30 PM,"T-Mobile Arena, 3780 Las Vegas Blvd. South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/004/272/621-3.jpeg_/metallica-21.jpeg,,PST,11/27/18 07:30 PM,"(36.1028767, -115.1784324)"
"End of the World Tour: Avenged Sevenfold, Prophets of Rage & Three Days Grace in Las Vegas",08/17/18 07:00 PM,"T-Mobile Arena, 3780 Las Vegas Blvd. South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/039/640/768-6.jpeg_/avenged-sevenfold-68.jpeg,,PST,08/18/18 07:00 PM,"(36.1028767, -115.1784324)"
Shinedown & Godsmack in Las Vegas,08/03/18 08:00 PM,"Downtown Las Vegas Events Center, 200 South 3rd Street, Las Vegas, Nevada 89101",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/004/258/070-9.jpeg_/shinedown-70.jpeg,,PST,08/04/18 08:00 PM,"(36.1686667, -115.1446407)"
REO Speedwagon in Jean,04/28/18 08:00 PM,"Star of the Desert Arena, 31700 South Las Vegas Boulevard, Jean, Nevada 89019",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/004/209/669-9.jpeg_/reo-speedwagon-69.jpeg,,PST,04/29/18 08:00 PM,"(35.61438880000001, -115.3836147)"
"Earth, Wind & Fire in Las Vegas",05/02/18 08:00 PM,"The Venetian, 3355 Las Vegas Blvd South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/004/305/060-3.jpeg_/earth-wind-fire-60.jpeg,,PST,05/03/18 08:00 PM,"(36.121174, -115.1696526)"
ZZ Top in Las Vegas,04/20/18 08:00 PM,"The Venetian, 3355 Las Vegas Blvd South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/010/408/729-8.png_/zz-top-29.png,,PST,04/21/18 08:00 PM,"(36.121174, -115.1696526)"
Helloween in Las Vegas,09/07/18 07:30 PM,"House of Blues - Las Vegas, 3950 Las Vegas Boulevard, Las Vegas, Nevada 89119",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/000/154/820-5.jpg_/helloween-20.jpg,,PST,09/08/18 07:30 PM,"(36.093044, -115.175564)"
The War On Drugs in Las Vegas,04/11/18 07:30 PM,"Brooklyn Bowl, 3545 Las Vegas Blvd South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/004/230/988-5.jpeg_/the-war-on-drugs-88.jpeg,,PST,04/12/18 07:30 PM,"(36.1175056, -115.1696207)"
Justin Timberlake in Las Vegas,04/15/18 07:30 PM,"T-Mobile Arena, 3780 Las Vegas Blvd. South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/013/609/145-0.jpeg_/justin-timberlake-45.jpeg,,PST,04/16/18 07:30 PM,"(36.1028767, -115.1784324)"
Justin Timberlake in Las Vegas,04/14/18 07:30 PM,"T-Mobile Arena, 3780 Las Vegas Blvd. South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/013/609/145-0.jpeg_/justin-timberlake-45.jpeg,,PST,04/15/18 07:30 PM,"(36.1028767, -115.1784324)"
Chromeo & Phantoms in Las Vegas,04/12/18 08:00 PM,"Brooklyn Bowl, 3545 Las Vegas Blvd South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/004/257/493-9.jpeg_/chromeo-93.jpeg,,PST,04/13/18 08:00 PM,"(36.1175056, -115.1696207)"
Wayne Newton in Las Vegas,04/04/18 08:00 PM,"Bally's Casino Hotel, 3645 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/000/770/058-8.jpeg_/wayne-newton-58.jpeg,,PST,04/05/18 08:00 PM,"(36.1140611, -115.170627)"
Willie Nelson & Family in Las Vegas,10/20/18 08:00 PM,"The Cosmopolitan Las Vegas, 3708 Las Vegas Blvd S, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/004/129/261-2.jpeg_/willie-nelson-61.jpeg,,PST,10/21/18 08:00 PM,"(36.1097553, -115.1738769)"
10th Annual All-star Guitar Pull in Las Vegas,04/12/18 07:00 PM,"Pearl Concert Theater at Palms, 4321 W. Flamingo Road, Las Vegas, Nevada 89103",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/039/376/039-9.jpeg_/10th-annual-allstar-guitar-pull-39.jpeg,,PST,04/13/18 07:00 PM,"(36.1144832, -115.1948136)"
Steel Panther in Las Vegas,04/06/18 09:00 PM,"House of Blues - Las Vegas, 3950 Las Vegas Boulevard, Las Vegas, Nevada 89119",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/000/887/224-4.jpeg_/steel-panther-24.jpeg,,PST,04/07/18 09:00 PM,"(36.1144832, -115.1948136)"
Aaron Lewis in Las Vegas,04/14/18 08:00 PM,"ORLEANS HOTEL & CASINO, 4500 West Tropicana Avenue, Las Vegas, Nevada 89103",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/000/360/837-0.jpg_/aaron-lewis-37.jpg,,PST,04/15/18 08:00 PM,"(36.1026211, -115.2019367)"
Ha*Ash 100 Anos Contigo Tour in Las Vegas,04/07/18 08:00 PM,"House of Blues - Las Vegas, 3950 Las Vegas Boulevard, Las Vegas, Nevada 89119",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/021/203/208-7.jpeg_/ha-ash-08.jpeg,,PST,04/08/18 08:00 PM,"(36.093044, -115.175564)"
Calibre 50 in Jean,04/07/18 08:00 PM,"Star of the Desert Arena, 31700 South Las Vegas Boulevard, Jean, Nevada 89019",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/004/260/878-6.jpeg_/calibre-50-78.jpeg,,PST,04/08/18 08:00 PM,"(35.61438880000001, -115.3836147)"
Haim in Las Vegas,04/13/18 08:00 PM,"Pearl Concert Theater at Palms, 4321 W. Flamingo Road, Las Vegas, Nevada 89103",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/004/460/389-1.jpeg_/haim-89.jpeg,,PST,04/14/18 08:00 PM,"(36.1144832, -115.1948136)"
Uriah Heep in Las Vegas,04/14/18 08:00 PM,"Boulder Station Hotel and Casino, 4111 Boulder Highway, Las Vegas, Nevada 89121",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/004/187/015-5.jpeg_/uriah-heep-15.jpeg,,PST,04/15/18 08:00 PM,"(36.133052, -115.0849016)"
April Wine in Las Vegas,04/07/18 09:00 PM,"ORLEANS HOTEL & CASINO, 4500 West Tropicana Avenue, Las Vegas, Nevada 89103",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/002/211/988-6.jpeg_/april-wine-88.jpeg,,PST,04/08/18 09:00 PM,"(36.1026211, -115.2019367)"
Gregg Austin in Las Vegas,04/10/18 08:00 PM,"South Point Hotel Casino and Spa, 9777 S. Las Vegas Boulevard, Las Vegas, Nevada 89183",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/037/006/626-7.jpeg_/gregg-austin-26.jpeg,,PST,04/11/18 08:00 PM,"(36.011661, -115.175993)"
House of Blues Gospel Brunch in Las Vegas,04/08/18 10:00 AM,"House of Blues - Las Vegas, 3950 Las Vegas Boulevard, Las Vegas, Nevada 89119",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/038/787/407-1.jpeg_/house-blues-gospel-brunch-07.jpeg,,PST,04/09/18 10:00 AM,"(36.093044, -115.175564)"
Gin Blossoms in Las Vegas,04/06/18 08:00 PM,"The Golden Nugget, 129 Fremont Street, Las Vegas, Nevada 89101",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/014/626/069-7.jpeg_/gin-blossoms-69.jpeg,,PST,04/07/18 08:00 PM,"(36.1700355, -115.1448726)"
Worlds Greatest Rock Show in Las Vegas,04/04/18 09:00 PM,"Stratosphere Theatre, 2000 South Las Vegas Boulevard, Las Vegas, Nevada 89104",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/039/306/126-1.jpeg_/worlds-greatest-rock-show-26.jpeg,,PST,04/05/18 09:00 PM,"(36.1700355, -115.1448726)"
Collin Raye in Las Vegas,04/07/18 08:00 PM,"Santa Fe Station Casino, 4949 North Rancho Drive, Las Vegas, Nevada 89130",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/004/053/558-3.jpeg_/collin-raye-58.jpeg,,PST,04/08/18 08:00 PM,"(36.2502589, -115.2444758)"
MJ LIVE - Michael Jackson Tribute in Las Vegas,04/04/18 07:00 PM,"Stratosphere Theatre, 2000 South Las Vegas Boulevard, Las Vegas, Nevada 89104",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/037/057/018-6.jpeg_/mj-live-michael-jackson-tribute-18.jpeg,,PST,04/05/18 07:00 PM,"(36.147247, -115.1560309)"
Snoop Dogg and Rae Sremmurd Tickets (21+ Event) in Las Vegas,04/20/18 10:30 PM,"Drai's Beachclub & Nightclub, 3595 South Las Vegas Boulevard, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/000/221/688-0.jpg_/snoop-dogg-88.jpg,,PST,04/21/18 10:30 PM,"(36.115049, -115.172144)"
Las Rageous 2018 - Saturday in Las Vegas,04/21/18 12:00 AM,"Downtown Las Vegas Events Center, 200 South 3rd Street, Las Vegas, Nevada 89101",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/039/932/442-7.png_/las-rageous-2018-saturday-42.png,,PST,04/22/18 12:00 AM,"(36.1686667, -115.1446407)"
Shania Twain in Las Vegas,08/04/18 08:00 PM,"MGM Grand Garden Arena, 3799 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/004/185/835-7.jpeg_/shania-twain-35.jpeg,,PST,08/05/18 08:00 PM,"(36.1686667, -115.1446407)"
Ozzy Osbourne: No More Tours 2 in Las Vegas,10/13/18 07:30 PM,"MGM Grand Garden Arena, 3799 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/001/717/048-5.jpeg_/ozzy-osbourne-48.jpeg,,PST,10/14/18 07:30 PM,"(36.104313, -115.1685048)"
George Strait + resort stay $499 per couple in Las Vegas,12/07/18 07:30 PM,"T-Mobile Arena, 3780 Las Vegas Blvd. South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/039/932/655-9.jpeg_/george-strait-resort-stay-499-per-couple-55.jpeg,,PST,12/08/18 07:30 PM,"(36.1028767, -115.1784324)"
George Strait in Las Vegas,12/08/18 08:00 PM,"T-Mobile Arena, 3780 Las Vegas Blvd. South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/003/948/024-1.jpeg_/george-strait-24.jpeg,,PST,12/09/18 08:00 PM,"(36.1028767, -115.1784324)"
Rob Zombie & Marilyn Manson in Las Vegas,08/25/18 07:00 PM,"MGM Grand Garden Arena, 3799 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/002/398/677-1.jpeg_/rob-zombie-77.jpeg,,PST,08/26/18 07:00 PM,"(36.104313, -115.1685048)"
Jimmy Buffett & The Coral Reefer Band with special guests Huey Lewis & The News in Las Vegas,10/20/18 07:00 PM,"MGM Grand Garden Arena, 3799 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/000/625/027-1.jpeg_/jimmy-buffett-27.jpeg,,PST,10/21/18 07:00 PM,"(36.104313, -115.1685048)"
"Panic! At The Disco, Hayley Kiyoko & Arizona in Las Vegas",08/18/18 07:00 PM,"T-Mobile Arena, 3780 Las Vegas Blvd. South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/004/226/983-3.png_/panic-at-the-disco-83.png,,PST,08/19/18 07:00 PM,"(36.1028767, -115.1784324)"
