Title,Date,Location,Description,ImageURL,User Name,Time_Zone,End_Date,Long_Lat
Menopause - The Musical in Las Vegas,04/04/18 07:30 PM,"Harrahs Improv Comedy Club (Las Vegas), 3475 South Las Vegas Boulevard, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/003/723/822-8.jpeg_/menopause-the-musical-22.jpeg,,PST,04/05/18 07:30 PM,"(36.1194645, -115.1716391)"
Le Reve in Las Vegas,04/06/18 07:00 PM,"Le Reve Theater at Wynn Las Vegas, 3131 S Las Vegas Boulevard, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/034/261/048-1.jpeg_/le-reve-48.jpeg,,PST,04/07/18 07:00 PM,"(36.1264898, -115.165739)"
The Australian Bee Gees in Las Vegas,04/04/18 07:00 PM,"Excalibur Hotel and Casino, 3850 Las Vegas Boulevard S, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/004/502/782-1.png_/the-australian-bee-gees-show-82.png,,PST,04/05/18 07:00 PM,"(36.0989822, -115.1754724)"
Carrot Top in Las Vegas,04/04/18 08:00 PM,"Luxor Las Vegas, 3900 Las Vegas Boulevard South, Las Vegas, Nevada 89119",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/017/207/272-7.jpeg_/carrot-top-72.jpeg,,PST,04/05/18 08:00 PM,"(36.0989822, -115.1754724)"
Boyz II Men in Las Vegas,04/06/18 07:30 PM,"Terry Fator Theatre at The Mirage, 3400 S Las Vegas Blvd, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/004/120/982-5.jpeg_/boyz-ii-men-82.jpeg,,PST,04/07/18 07:30 PM,"(36.121559, -115.175803)"
VEGAS! THE SHOW in Las Vegas,04/04/18 07:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/016/696/575-4.jpeg_/vegas-show-75.jpeg,,PST,04/05/18 07:00 PM,"(36.1099696, -115.1700646)"
Penn & Teller in Las Vegas,04/07/18 09:00 PM,"Penn & Teller Theater, 3700 West Flamingo Road, Las Vegas, Nevada 89103",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/001/961/455-8.jpeg_/penn-teller-55.jpeg,,PST,04/08/18 09:00 PM,"(36.1185397, -115.187024)"
Tournament of Kings in Las Vegas,04/04/18 06:00 PM,"Excalibur Hotel and Casino, 3850 Las Vegas Boulevard S, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/002/888/072-8.png_/tournament-of-kings-72.png,,PST,04/05/18 06:00 PM,"(36.0989822, -115.1754724)"
Zombie Burlesque in Las Vegas,04/04/18 08:30 PM,"V Theater at Planet Hollywood Las Vegas, 3663 S Las Vegas Boulevard Suite 360a, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/019/661/740-1.jpeg_/zombie-burlesque-40.jpeg,,PST,04/05/18 08:30 PM,"(36.11081, -115.1689)"
Cher in Las Vegas,05/02/18 08:00 PM,"Park Theater at Monte Carlo Resort and Casino, 3770 Las Vegas Blvd South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/004/060/275-1.png_/cher-75.png,,PST,05/03/18 08:00 PM,"(36.1037049, -115.174848)"
Chippendales in Las Vegas,04/04/18 08:30 PM,"Chippendales Theatre, 3700 West Flamingo Road, Las Vegas, Nevada 89103",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/024/633/385-7.jpeg_/chippendales-85.jpeg,,PST,04/05/18 08:30 PM,"(36.1167945, -115.1854971)"
Cirque du Soleil - O in Las Vegas,04/04/18 07:00 PM,"Bellagio Las Vegas, 3600 S Las Vegas Boulevard, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/027/548/227-8.png_/cirque-du-soleil-27.png,,PST,04/05/18 07:00 PM,"(36.1126264, -115.1767051)"
"Reba, Brooks & Dunn: Together in Vegas in Las Vegas",08/15/18 07:30 PM,"The Colosseum At Caesars Palace, 3570 Las Vegas Blvd. South,, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/001/513/028-9.jpeg_/brooks-and-dunn-28.jpeg,,PST,08/16/18 07:30 PM,"(36.1179097, -115.1749868)"
