Title,Date,Location,Description,ImageURL,User Name,Time_Zone,End_Date,Long_Lat
Las Vegas 51s vs. El Paso Chihuahuas in Las Vegas,04/05/18 07:05 PM,"Cashman Center, 850 Las Vegas Blvd., Las Vegas, Nevada 89101",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/004/158/742-2.jpeg_/las-vegas-51s-42.jpeg,,PST,04/06/18 07:05 PM,"(36.17970390000001, -115.1310338)"
Las Vegas 51s vs. Fresno Grizzlies in Las Vegas,04/17/18 07:05 PM,"Cashman Center, 850 Las Vegas Blvd., Las Vegas, Nevada 89101",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/004/158/742-2.jpeg_/las-vegas-51s-42.jpeg,,PST,04/18/18 07:05 PM,"(36.17970390000001, -115.1310338)"
DENSO Spark Plugs NHRA Four-Wide Nationals - Saturday in Las Vegas,04/07/18 08:00 AM,"Las Vegas Motor Speedway, 7000 Las Vegas Boulevard, Las Vegas, Nevada 89115",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/038/359/865-0.jpeg_/denso-spark-plugs-nhra-fourwide-nationals-saturda-65.jpeg,,PST,04/08/18 08:00 AM,"(36.17970390000001, -115.1310338)"
DENSO Spark Plugs NHRA Four-Wide Nationals - Friday in Las Vegas,04/06/18 08:00 AM,"Las Vegas Motor Speedway, 7000 Las Vegas Boulevard, Las Vegas, Nevada 89115",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/038/359/865-0.jpeg_/denso-spark-plugs-nhra-fourwide-nationals-friday-65.jpeg,,PST,04/07/18 08:00 AM,"(36.2722847, -115.0102761)"
DENSO Spark Plugs NHRA Four-Wide Nationals - Sunday in Las Vegas,04/08/18 10:00 AM,"Las Vegas Motor Speedway, 7000 Las Vegas Boulevard, Las Vegas, Nevada 89115",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/038/359/865-0.jpeg_/denso-spark-plugs-nhra-fourwide-nationals-sunday-65.jpeg,,PST,04/09/18 10:00 AM,"(36.2722847, -115.0102761)"
Draw 19 - 2018 World Men's Curling Championships in Las Vegas,04/06/18 01:30 PM,"Orleans Arena, 4500 West Tropicana Avenue, Las Vegas, Nevada 89103",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/037/079/252-0.jpeg_/draw-19-2018-world-mens-curling-championships-52.jpeg,,PST,04/07/18 01:30 PM,"(36.1058151, -115.2022567)"
Draw 15 - 2018 World Men's Curling Championships in Las Vegas,04/05/18 08:30 AM,"Orleans Arena, 4500 West Tropicana Avenue, Las Vegas, Nevada 89103",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/037/079/252-0.jpeg_/draw-15-2018-world-mens-curling-championships-52.jpeg,,PST,04/06/18 08:30 AM,"(36.1058151, -115.2022567)"
Draw 21 - 2018 World Men's Curling Championships in Las Vegas,04/07/18 08:30 AM,"Orleans Arena, 4500 West Tropicana Avenue, Las Vegas, Nevada 89103",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/037/079/252-0.jpeg_/draw-21-2018-world-mens-curling-championships-52.jpeg,,PST,04/08/18 08:30 AM,"(36.1058151, -115.2022567)"
Las Vegas 51s vs. Fresno Grizzlies in Las Vegas,04/18/18 07:05 PM,"Cashman Center, 850 Las Vegas Blvd., Las Vegas, Nevada 89101",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/004/158/742-2.jpeg_/las-vegas-51s-42.jpeg,,PST,04/19/18 07:05 PM,"(36.17970390000001, -115.1310338)"
Las Vegas 51s vs. Sacramento River Cats in Las Vegas,05/03/18 07:05 PM,"Cashman Center, 850 Las Vegas Blvd., Las Vegas, Nevada 89101",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/004/158/742-2.jpeg_/las-vegas-51s-42.jpeg,,PST,05/04/18 07:05 PM,"(36.17970390000001, -115.1310338)"
