Title,Date,Location,Description,ImageURL,User Name,Time_Zone,End_Date,Long_Lat
MathAlive!,04/03/18 09:00 AM,"Springs Preserve,333 S Valley View Blvd,Las Vegas, NV 89107","Experience real math at work in sports, nature, robotics, music, dancing, movie-making and more and answer the age-old question: Will I ever use all this math theyre teaching us? at MathAlive!the Springs Preserves new traveling exhibit. Explore hands-on displays and interactive experiences including: riding in a live-action snowboard race; exploring and operating simulations of NASAs latest robotics, including the Robonaut 2 and the Curiosity Rover; designing and playing your own video game; and capturing your image in a 360-degree freeze-motion video. MathAlive! is made possible by Raytheon and appears exclusively at the Springs Preserve",https://s3-us-west-2.amazonaws.com/images.eviesays.com/venue/6490616/6160946_0_detail@2x.jpg,,PST,04/03/18 05:00 PM,"(36.171272, -115.1897807)"
Summer Camp Signups,04/03/18 09:00 AM,"Las Vegas City Hall,495 S. Main Street,Las Vegas, NV 89101",Keep the kids active during summer vacation with summer day camps offered at six city of Las Vegas community centers. Online registration starts April 3 at 9 a.m.\n\nMore information can be found here: http://bit.ly/2p9Qhue,https://s3-us-west-2.amazonaws.com/images.eviesays.com/event/89263921/12936298_0_detail@2x.jpg,,PST,04/03/18 05:00 PM,"(36.1672252, -115.1482243)"
WaterWorks,09/16/17 09:30 AM,"Springs Preserve,333 S Valley View Blvd,Las Vegas, NV 89107","The Springs Preserves newest permanent exhibit, WaterWorks is an interactive, behind-the-scenes look at the inner-workings of water-resource treatment and delivery in Southern Nevada. Learn all about the challenges and triumphs of the journey of water as you touch replicated quagga mussels, look at harmful water contaminants using a microscope, examine rock samples excavated from hundreds of feet below Lake Meads surface, and more. The WaterWorks exhibit, located in the operational Charleston Heights Pumping Station, is presented by the Las Vegas Valley Water District, Southern Nevada Water Authority and Springs Preserve, in partnership with ONE DROP",https://s3-us-west-2.amazonaws.com/images.eviesays.com/venue/6490616/6160946_0_detail@2x.jpg,,PST,09/16/17 04:30 PM,"(36.171272, -115.1897807)"
Butterfly Habitat Spring Season,04/03/18 10:00 AM,"Springs Preserve,333 S Valley View Blvd,Las Vegas, NV 89107","This spring wander through our unique Butterfly Habitat and witness the fascinating dance between butterflies, the plants that sustain them and their important role as pollinators in the ecosystem. You'll emerge with a better understanding of the environment needed for the survival of these spectacular animals. Hours may vary on event dates. The Butterfly Habitat's schedule is subject to change based on weather conditions and special event availability.",https://s3-us-west-2.amazonaws.com/images.eviesays.com/venue/6490616/6160946_0_detail@2x.jpg,,PST,04/03/18 03:00 PM,"(36.171272, -115.1897807)"
Ty Segall,04/03/18 02:00 PM,"Bunkhouse Saloon,124 South 11th Street,Las Vegas, NV 89101","Ty Segall has made whole records that wrestle with realities  fighting against some, pulling mightily to bring others into being. His new self-titled record  the next record after Emotional Mugger, Manipulator, Sleeper, Twins, Goodbye Bread, Melted, Lemons and the first self-titled album that started it up in the now-distant year of 2008  is a clean flow, a wash of transparency falling into a world that needs to see a few things through clearly, to their logical end. Its got some of the most lobe-blasting neckwork since the Ty Segall Bands Slaughterhouse (from way back in the long, hot summer of 2012), but it also features a steep flight of fluent acoustic settings.\n\nThe construction and destruction of his chosen realities has, until now, been a luxury Ty has rightfully reserved for himself, striping overdubs together to form the sound  but for this new album, he entered a studio backed by a full band  Emmett Kelly, Mikal Cronin, Charles Moothart and Ben Boye  to get a read on this so-called clarity. This leads to a new departure in group sound, as well as some of the most visceral and penetrating vocal passages yet heard from Ty Segall. Take debut single, Orange Color Queen, for example  a supreme moment of tenderness.\n\nTy Segall keeps you guessing, bracing your skin with a welcome astringency, seeking to stem the bleeding with chunks and splashes of guitar, tight beats, audio-verite toilet smashes, a Wurlitzer electric piano in a jam, blazing harmonies, and LOTS of songs to sing. Theres no concept beyond that; finding the right places to be is a momentary thing. Ty Segall is the sum of his songs  and about getting the free. The free to be!",https://s3-us-west-2.amazonaws.com/images.eviesays.com/event/18073221/12237081_0_detail@2x.jpg,,PST,04/03/18 04:30 PM,"(36.165685, -115.134472)"
It's All in the Hands-What Does yours say about you? with Gayla,04/03/18 03:30 PM,"Enchanted Forest Reiki Center, Spiritual Items 'n More,2280 S Jones Blvd,Las Vegas, NV 89146","3:30pm to 5:00pm\n\n$25.00\n\nCome learn how to read your own palm with Gayla Malcol\n\nPalm Reading is a divinitive art around since the ancients as a map of your life right in your hands\n\nYour hand's lines relay knowledge about your past, present and future, your health, personality and so much more.\n\nThis will be a fun interactive class, be sure to come.",https://s3-us-west-2.amazonaws.com/images.eviesays.com/event/10504031/13040501_0_detail@2x.jpg,,PST,04/03/18 05:00 PM,"(36.1464891, -115.2248539)"
Nathan Burton Magic Show,04/03/18 04:00 PM,"Saxe Theater,3663 S Las Vegas Blvd,Las Vegas, NV 89109","America's Got Talent magician, Nathan Burton, brings his big stage magic show to Las Vegas! Considered one of the biggest magic shows on the Strip, this show brings everything to the table!\n\nWith the help of his beautiful showgirl assistants, Nathan will show you how to escape from a microwave, bring a five-foot Barbie doll to life (every seven-year-old's dream come true), and much more!\n\nThe voted number one afternoon magic show has it all! His high-energy show never has a dull moment. If youre looking to see the best magic show on the strip, get your tickets now to see Nathan Burton Comedy Magic!\n\nStarting at $59.99",https://s3-us-west-2.amazonaws.com/images.eviesays.com/event/99802211/11220899_0_detail@2x.jpg,,PST,04/03/18 05:15 PM,"(36.109165, -115.168957)"
The Golden Bowl: Golden Knights Away Game Watch Party @ BK Bowl Las Vegas,04/03/18 05:00 PM,"Las Vegas,Private location - TBA,Las Vegas, NV 89109","The Golden Bowl: Golden Knights Away Game Watch Party @ BK Bowl Las Vegas\n\nGolden Knights vs Vancouver Canucks\n\nJoin your fellow Golden Knights fans for a special night including in-game entertainment hosts Big D and Mark Shunock, Chance the mascot, the Golden Aces, and many more. There will be performances by the Knight Line, live entertainment at intermission, all while cheering on your Vegas Golden Knights in style as they take on the Vancouver Canucks!\n\nDont also miss your chance to win Golden Knights signed memorabilia, merchandise, and other prizes throughout the game!\n\n100% of the ticket price will benefit Vegas Golden Knights Foundation and includes one free drink & one raffle ticket (additional raffle tickets can be purchased on-site.)\n\nThe VGK Foundation supports the greater Las Vegas community through our five giving pillars - Youth Development & Sports, Health & Wellness, Education, Military & First Responders, and Hunger & Homelessness.",https://s3-us-west-2.amazonaws.com/images.eviesays.com/event/10473031/13037401_0_detail@2x.jpg,,PST,04/03/18 11:59 PM,"(36.109165, -115.168957)"
SAAM: Amita Swadhin Dinner,04/03/18 05:00 PM,"UNLV Beam Music Center Recital Hall,4505 South Maryland Parkway,Las Vegas, NV 89154",Please RSVP at: JNWC@unlv.edu,https://s3-us-west-2.amazonaws.com/images.eviesays.com/event/32183031/13038123_0_detail@2x.jpg,,PST,04/03/18 07:00 PM,"(36.110091, -115.1398057)"
Infant CPR & Choking,04/03/18 05:30 PM,"Belly Bliss at Desert Perinatal Spa,5761 S Fort Apache Rd,Las Vegas, NV 89148","By the end of this course, you will feel confident to administer CPR to an INFANT in an emergency situation. You will also be able to identify infant choking and be able to take the steps necessary to possibly save an infants life. Skills are taught using American Heart Associations technique and participants will receive a certificate from Belly Bliss (but not a course completion card from AHA). Please see our Monthly Calendar for sign up deadlines and class dates/times. Space is limited, so please book your spot in advance! Each attendee needs their own ticket.",https://s3-us-west-2.amazonaws.com/images.eviesays.com/event/52960131/13106925_0_detail@2x.jpg,,PST,04/03/18 07:00 PM,"(36.0837715, -115.2999611)"
