Title,Date,Location,Description,ImageURL,User Name,Time_Zone,End_Date,Long_Lat
JUSTIN TIMBERLAKE,04/14/18 12:00 AM,"3780 South Las Vegas Blvd. Las Vegas, NV 89158","Due to sell out shows across North America, Justin Timberlake has revealed ten additional dates for the coveted The Man Of The Woods Tour, including a second show at T-Mobile Arena Sunday, April 15. Produced by Live Nation Global Touring, Wright Entertainment Group, LBI Entertainment & Tennman Touring, the North American outing kicks off March 13 in Toronto.\nTimberlakes forthcoming album Man Of The Woods is scheduled for release on Friday, Feb. 2.  His highly anticipated performance at the Pepsi Super Bowl LII Halftime Show will take place on Sunday, Feb. 4, the third time he is performing at the most watched musical event of the year. Timberlakes last tour was the critically acclaimed The 20/20 Experience World Tour, which sold out arenas and stadiums around the globe in 2013 and 2014. ",http://www.t-mobilearena.com/assets/img/Justin-Timberlake-1320x560-b2c9f7aa6d.jpg,,PST,04/15/18 12:00 AM,"(36.1031181, -115.1781703)"
CANELO VS. GGG 2,05/05/18 02:05 PM,"3780 South Las Vegas Blvd. Las Vegas, NV 89158","We regret to inform you that the Canelo vs GGG rematch scheduled for Saturday, May 5 at T-Mobile Arena has been cancelled. \nReservations have been refunded in full. Fans can expect a credit to be issued by their banking institution in 7  10 business days.\nFor additional inquiries, please contact the AXS Contact Center at 888-929-7849 or your original point of purchase.",http://www.t-mobilearena.com/assets/img/18-ENT-04393-0001-Canelo-v-GGG-2_1320x560-v02-00e8b23b5c.jpg,,PST,05/06/18 02:05 PM,"(36.1031181, -115.1781703)"
U2,05/11/18 08:00 PM,"3780 South Las Vegas Blvd. Las Vegas, NV 89158","Live Nation has confirmed that due to demand a second and final U2 eXPERIENCE + iNNOCENCE Tour date has been confirmed in Las Vegas at T-Mobile Arena on Saturday, May 12. Tickets for the additional Las Vegas performance will go on sale on Monday, Dec. 4 at 10 a.m. PST through Ticketmaster Verified Fan.\nFans wishing to purchase U2 tickets to the second Las Vegas performance will need to register by Tuesday, Nov. 28 at 10 p.m. PST at u2.tmverifiedfan.com. Registration is free and easy and has been effective in making sure that true fans have access to tickets at face value.\nU2.com Subscribers receive first access and can register beginning today through Friday, Nov. 24 at 9 a.m. EST. Details here http://www.u2.com/tour .  U2.com subscribers will have the first opportunity to purchase tickets beginning Tuesday, Nov. 28 at 10 a.m. and running through Thursday, Nov. 30 at 5 p.m.",http://www.t-mobilearena.com/assets/img/18-ENT-03602-0015-U2-Main-Event-Image-1320-x-560-v00-29f5c33253.jpg,,PST,05/12/18 08:00 PM,"(36.1031181, -115.1781703)"
U2,05/12/18 08:00 PM,"3780 South Las Vegas Blvd. Las Vegas, NV 89158","Live Nation has confirmed that due to demand a second and final U2 eXPERIENCE + iNNOCENCE Tour date has been confirmed in Las Vegas at T-Mobile Arena on Saturday, May 12. Tickets for the additional Las Vegas performance will go on sale on Monday, Dec. 4 at 10 a.m. PST through Ticketmaster Verified Fan.\nFans wishing to purchase U2 tickets to the second Las Vegas performance will need to register by Tuesday, Nov. 28 at 10 p.m. PST at u2.tmverifiedfan.com. Registration is free and easy and has been effective in making sure that true fans have access to tickets at face value.\nU2.com Subscribers receive first access and can register beginning today through Friday, Nov. 24 at 9 a.m. EST. Details here http://www.u2.com/tour .  U2.com subscribers will have the first opportunity to purchase tickets beginning Tuesday, Nov. 28 at 10 a.m. and running through Thursday, Nov. 30 at 5 p.m.",http://www.t-mobilearena.com/assets/img/18-ENT-03602-0015-U2-Main-Event-Image-1320-x-560-v00-29f5c33253.jpg,,PST,05/13/18 08:00 PM,"(36.1031181, -115.1781703)"
P!NK,05/26/18 08:00 PM,"3780 South Las Vegas Blvd. Las Vegas, NV 89158","P!NK will be performing at T-Mobile Arena on Saturday, May 26, 2018 with special guest Kid Cut Up.\nRegister now to get access to the Fan Verified Presale. Registration closes Sunday, October 8th at 10:00PM PT. Note: Registration does not guarantee access to tickets. To register and learn more, please click on the link below.\nhttps://pink2018.tmverifiedfan.com\nRESERVED EVENT PARKING AVAILABLE\nReserved event parking is available at New York-New York, Monte Carlo and the Aria Event Parking Garage for this event starting at $10. Additional service fees apply. The price increases the day of the event.  For more information, including maps, directions and to purchase passes, please .",http://www.t-mobilearena.com/assets/img/17-ENT-03480-0001-Pink-Main-Event-1320x560-v01-96650528e3.jpg,,PST,05/27/18 08:00 PM,"(36.1031181, -115.1781703)"
UFC 226: MIOCIC VS. CORMIER,07/07/18 12:00 AM,"3780 South Las Vegas Blvd. Las Vegas, NV 89158","Following a stint coaching against each other on The Ultimate Fighter, world champions Stipe Miocic and Daniel Cormier will meet in the Octagon in the main event of UFC 226, as the biggest fight of 2018 lands at T-Mobile Arena on July 7. Looking to extend his record title defense streak following his stirring victory over Francis Ngannou, Miocic will put his heavyweight championship belt on the line against light heavyweight champion Cormier, who will attempt to make history in his return to the division ruled by the fighting pride of Cleveland.",http://www.t-mobilearena.com/assets/img/32728_UFC-logo_1320x560-e1779c52e4.jpg,,PST,07/08/18 12:00 AM,"(36.1031181, -115.1781703)"
CHRIS BROWN,08/04/18 08:00 PM,"3780 South Las Vegas Blvd. Las Vegas, NV 89158","Multi-platinum, GRAMMY Award-winning R&B singer and performer Chris Brown is returning to the stage with the announcement of his Heartbreak On A Full Moon Tour today. He will be joined by hip-hop and R&B rising stars and some of todays hottest acts with very special guest 6lack, and including H.E.R. and Rich the Kid. The 27-city tour produced by Live Nation will wrap Saturday, Aug. 4 at T-Mobile Arena in Las Vegas. The show is scheduled to begin at 8 p.m.\nChris Brown is celebrating over 12 years in the music business with the November 2017 release of his eighth solo album Heartbreak on a Full Moon, which debuted at #1 on Billboards R&B/Hip-Hop Albums chart (followed by the release of Heartbreak on a Full Moon Deluxe Edition: Cuffing Season  12 Days of Christmas in December 2017). Throughout his illustrious music career, Chris has racked up over 30 million worldwide album equivalents with 11 million physical album sales, 75 million track downloads, 10 billion audio streams and 6.6 billon video streams. He has garnered six No. 1 singles, 13 top 10 hits on the Hot 100 and 37 top 10 singles on the Hot R&B/Hip-Hop Songs chart. Adding the coveted Grammy Award to his collection for F.A.M.E., Chris is the recipient of over 40 awards, including Billboard Music Awards for Artist of the Year and Top R&B Artist, four BET Awards for Best Male R&B Artist and MTV Video Music Awards for Best Male Video and Best Choreography for Turn Up the Music.",http://www.t-mobilearena.com/assets/img/18-ENT-04564-0001-Chris-Brown-TMA-1320x560-v00-accd675a81.jpg,,PST,08/05/18 08:00 PM,"(36.1031181, -115.1781703)"
AVENGED SEVENFOLD WITH PROPHETS OF RAGE,08/17/18 06:00 PM,"3780 South Las Vegas Blvd. Las Vegas, NV 89158","GRAMMY nominees AVENGED SEVENFOLD have announced the End of the World Tour, a North American headlining run produced by Live Nation, featuring Prophets of Rage plus Three Days Grace. The tour will make a Las Vegas stop at T-Mobile Arena Friday, Aug. 17 at 7 p.m. \nThis tour will be the bands first with Prophets of Rage, who are touring in support of their internationally acclaimed, self-titled debut LP. Prophets of Rage features Tom Morello, Tim Commerford and Brad Wilk of Rage Against The Machine, Chuck D and DJ Lord of Public Enemy and B-Real of Cypress Hill.\nAfter a stadium tour with Metallica, Avenged Sevenfold recently wrapped the first leg of their own sold-out North American headlining run in support of critically acclaimed album, THE STAGE (Capitol). Now available as a deluxe edition, the album features 22 tracks, 7 of which are additional studio songs + 4 are live tracks recorded during the bands recent shows at The O2 Arena in London. The CD and vinyl versions feature a special lenticular cover. Among the 7 bonus tracks is the bands stunning cover of the Pink Floyd classic, Wish You Were Here. ",http://www.t-mobilearena.com/assets/img/18-ENT-0000-0000-AvengedSevenfold-TMA-Main-1320x560-v00-23a97ad376.jpg,,PST,08/18/18 06:00 PM,"(36.1031181, -115.1781703)"
PANIC! AT THE DISCO,08/18/18 07:00 PM,"3780 South Las Vegas Blvd. Las Vegas, NV 89158","Grammy-nominated Panic! At The Disco today announced that their highly anticipated sixth studio album, Pray For The Wicked, will be released on June 22, 2018 via Fueled By Ramen/DCD2 Records. The album, produced by Jake Sinclair, is available for pre-order now.\nThe release of the album will be celebrated by a U.S. arena tour, produced by AEG Presents, that will kick off on July 11, 2018 in Minneapolis, MN, and will visit major markets throughout the summer before concluding in the bands hometown of Las Vegas on August 18th. A R I Z O N A and Hayley Kiyoko are support for the 28 city tour. Fans who pre-order Pray for the Wicked via Panics webstore before March 29th at 9pm ET will receive a unique presale code for first access to tickets. Pre-sale tickets will be available beginning March 30th at 9am local time and general tickets will be available to the public beginning March 30th at 12:00 p.m. local time at The complete list of upcoming dates for the Pray For The Wicked Tour can be found below.",http://www.t-mobilearena.com/assets/img/18-ENT-04528-0001-PanicAtTheDisco-TMA-web-1320x560-v02-a7bd90a51d.jpg,,PST,08/19/18 07:00 PM,"(36.1031181, -115.1781703)"
SMASHING PUMPKINS,09/02/18 07:00 PM,"3780 South Las Vegas Blvd. Las Vegas, NV 89158","GRAMMY Award-winning, acclaimed alternative rock pioneers The Smashing Pumpkins is bringing the Shiny And Oh So Bright Tour, their first tour in nearly 20 years to feature founding members Billy Corgan, Jimmy Chamberlin, and James Iha, to T-Mobile Arena Sunday, Sept. 2 at 7 p.m.\nSome 30 years ago, as The Smashing Pumpkins, James Iha and I began a musical journey in the cramped rear bedroom of my Father's house. And so it's magic to me that we're able to coalesce once more around the incredible Jimmy Chamberlin, to celebrate those songs we've made together, shared Corgan.\nThe monumental Shiny And Oh So Bright Tour, which coincides with the 30th anniversary of the bands formation, will highlight music from the groups inception through 2000, and will exclusively feature material from their groundbreaking debut Gish through Siamese Dream, Mellon Collie and the Infinite Sadness, Adore, and Machina. Longtime Smashing Pumpkins guitarist Jeff Schroeder will also take part, as the band moves to a three guitar lineup to better emulate the signature tones and textures of their albums.",http://www.t-mobilearena.com/assets/img/18-ENT-04286-0002-Smashing-Pumpkins-MainEvent-1320x560-v00-4ec9734c02.jpg,,PST,09/03/18 07:00 PM,"(36.1031181, -115.1781703)"
