Title,Date,Location,Description,ImageURL,User Name,Time_Zone,End_Date,Long_Lat
Bonnie Springs Ranch,,"16395 Bonnie Springs Road, Las Vegas, NV 89124","At Bonnie Springs Ranch youll find horseback riding, a bar/restaurant, an old western town with live shows, a petting zoo, themed motel rooms, and amazing views! The Best in Wild West Food, Fun & Entertainment!",https://www.vegas4locals.com/wp-content/uploads/bonniespringsranch-642x849.jpg,,PST,,"(36.0621952, -115.4421719)"
Carlosn Charlies  Flamingo Hotel,,"Flamingo Hotel, 3555 Las Vegas Blvd. S., Las Vegas, NV 89109","Located at the Flamingo Hotel in Las Vegas, Carlosn Charlies is a family-friendly Mexican restaurant by day and a place to let loose and throw down a few (or a lot) by night! Guests are free to do as they please in a laid-back, casual setting while being entertained by the hilarious (and sometimes outrageous!) hosts who might dance on chairs, perform comical skits, sing (great or maybe terribly) and more! The servers work as a team, paying close attention to detail and entertaining guests to ensure that each person leaves with not just a full stomach but an unforgettable memory of Carlosn Charlies!",https://www.vegas4locals.com/wp-content/uploads/carlosncharliescoupon-718x422.jpg,,PST,,"(36.1164409, -115.1707917)"
Casa di Amore Italian American Restaurant,,"2850 E. Tropicana Ave., Las Vegas, NV 89121","A well-known fact among locals in Las Vegas is that Casa di Amore serves up exquisite Italian fare in a quaint and comfortable atmosphere that reminds one of what old Vegas must have been like in its hey day of the Rat Pack and the like. Highly rated by reviews at Trip Advisor, the restaurant is becoming better known all the time for its great food and impeccable service. At Casa di Amore you dont feel like a number that they just want to shuffle through and give you the check. They truly appreciate each and every customer that walks through the door, and they strive to ensure that everyone leaves happy and wanting to return. Live nightly entertainment adds to the ambiance and charm of this truly enjoyable eatery.",https://www.vegas4locals.com/wp-content/uploads/Casa-Di-Amore-coupon.jpg,,PST,,"(36.1003301, -115.1116733)"
Chateau Nightclub  Paris Hotel,,"3655 S. Las Vegas Blvd., Las Vegas, NV 89109",Chateau Nightclub combines classic French styling with modern additions to create a nightlife experience fit for a French Kings millennial grandson.,https://www.vegas4locals.com/wp-content/uploads/Chateau-Nightclub-DJ-booth.jpg,,PST,,"(36.1121506, -115.17155)"
Drag Brunch at Seor Frogs  Treasure Island,,"3300 Las Vegas Blvd. S., Las Vegas, NV 89109","ConDRAGulations, youre invited to the hottest drag brunch in town featuring a highly interactive show fueled by an open bar and unlimited food! Get ready for wigs and swigs.",https://www.vegas4locals.com/wp-content/uploads/Senor-Frogs.jpg,,PST,,"(36.1247643, -115.1719639)"
Foundation Room  Mandalay Bay,,"3950 S. Las Vegas Blvd., Las Vegas, NV 89119","Located on top of Mandalay Bay, the House of Blues Foundation Room offers a great club experience, breathtaking views of the Las Vegas Strip and much more.",https://www.vegas4locals.com/wp-content/uploads/Foundation-Room-View-Top.jpg,,PST,,"(36.0908614, -115.1750272)"
Fremont Street Las Vegas Bar Crawl,,,Fremont Street? Downtown Las Vegas? Old Las Vegas? Regardless of what you call it we got you covered for the most epic bar crawl Fremont Street has seen!,https://www.vegas4locals.com/wp-content/uploads/Fremont-Street-Bar-Crawl.jpg,,PST,,"(18.7756318, 100.7730417)"
Gospel Brunch at the House of Blues  Mandalay Bay,,"3950 Las Vegas Blvd. S., Las Vegas, NV 89119",Join the Gospel Brunch choir for one of the best celebrations in Vegas.,https://www.vegas4locals.com/wp-content/uploads/Gospel-Brunch-Vegas.jpg,,PST,,"(36.0908614, -115.1750272)"
Hennesseys Tavern  Two Timin Tuesdays,,"425 Fremont Street, Las Vegas, NV 89101",,https://www.vegas4locals.com/wp-content/uploads/Hennesseys.jpg,,PST,,"(36.1690627, -115.1414881)"
Marriage Can Be Murder Dinner Show  The D Hotel,,"301 Fremont Street, Las Vegas, NV 89101",,https://www.vegas4locals.com/wp-content/uploads/mcbm.jpg,,PST,,"(36.1694478, -115.1430165)"
Pampas Brazilian Grille  Planet Hollywood Hotel,,"Miracle Mile Shops, Planet Hollywood Resort & Casino","Your lunch or dinner Shrimp and Steak Brazilian Rodizio meal includes a seemingly endless parade of grilled meats, carved at your table, unlimited skewers of sizzling shrimp, and unlimited samplings from the fabulous side bar which features over 50 hot and cold sides and salads to complete your experience!",https://www.vegas4locals.com/wp-content/uploads/pampas-las-vegas-coupon.jpg,,PST,,"(36.1097994, -115.1704018)"
Thirsty Third Thursday Pub Crawl  Downtown Las Vegas,,"Begins at Hennesseys Tavern, 425 Fremont Street, Las Vegas, NV 89101","Bring your friends to Fremont Street in downtown Las Vegas on the third Thursday of each month for the Thirsty Third Thursday Pub Crawl. The fun kicks off at Hennesseys Tavern, 425 Fremont Street, at 7 pm. For just $20 everyone gets 5 drinks, one half-price entree & one half-price appetizer! Right in the heart of the real Las Vegas, this fun pub crawl takes you to the hippest downtown party spots, starting at Hennesseys tavern, then visiting Mickie Finnz, The D, Hogs & Heifers, and Banger Brewing. Theres also free live music!",https://www.vegas4locals.com/wp-content/uploads/Thirsty-Third-Thursday-3.jpg,,PST,,"(36.1667528, -115.1355014)"
Tournament of Kings Dinner Show  Excalibur Hotel and Casino,,"3850 Las Vegas Blvd. S., Las Vegas, NV 89109","Eat, drink and be rowdy! The medieval-themed Tournament of Kings combines arena-style entertainment like jousting and sword fighting with a bacchanalian feast befitting a king.",https://www.vegas4locals.com/wp-content/uploads/Tournament-of-Kings-1.jpg,,PST,,"(36.09868890000001, -115.1752059)"
Turnt Up Tours  Las Vegas Club Crawl,,"Las Vegas, NV",The normal price is $99 per person.\nPay only $50.00 with this exclusive Vegas4Locals.com offer!,https://www.vegas4locals.com/wp-content/uploads/Turnt-Up-Tours-1.jpg,,PST,,"(36.1699412, -115.1398296)"
VooDoo Rooftop Nightclub  Rio,,"3700 W. Flamingo Rd., Las Vegas, NV 89103","At 51 stories up, VooDoo Rooftop Nightclub offers party goers a unique experience and an unparalleled view of the Strip.",https://www.vegas4locals.com/wp-content/uploads/Voodoo-Nightclub.jpg,,PST,,"(36.1163819, -115.1850253)"
