Title,Date,Location,Description,ImageURL,User Name,Time_Zone,End_Date,Long_Lat
Beatles LOVE by Cirque du Soleil Magical Technical Tour,03/08/18 01:00 PM,"Cirque du Soleil - The Beatles LOVE - Las Vegas,3400 Las Vegas Blvd S, Las Vegas, NV 89109","Enjoy an Insider Access to a narrated demonstration of The Beatles LOVE which is set to feature the show's technical elements such as:  automation, audio, projections, lighting, rigging, and highlight some of the show's props and wardrobe.  We invite newcomers, hotel guests, locals, and fans into the LOVE Theatre by experiencing the cutting-edge brighter, bolder, and bigger technology behind The Beatles LOVE.\n\nWHEN\nOccurrence:  FRIDAY & SATURDAY*\nTime(s):  1:00pm - 1:30pm**\nDuration:   Approximately 30 mins.\nSeating:  FREE admission and seating is on a first come basis. Plan to arrive 15mins prior to the start of the event.\nLocation:  The Beatles LOVE Theatre, at the Mirage Hotel and Casino, Las Vegas\n\nDISCLAIMER\n*Performance dates & times are subject to change/cancel without notices.\nContact Cirque Internal Ticketing 702-352-0221 for schedule updates.\n**Late Comers:  For the safety of all attendees no late arrivals will be allowed after the start time.\nSpecial Effects:  Strobe lights and theatrical fog will be used during the demos. Guests who react to either of these effects should attend the show at their own risk.\nPhotography:  Is permitted during the demonstration though no video recordings.",https://s3-media2.fl.yelpcdn.com/ephoto/WM_IwGuXjj6AHEKPGL6cpQ/300s.jpg,,PST,04/07/18 01:30 PM,"(36.1204933, -115.1747142)"
Yelp's Game Night at Level Up,04/17/18 05:30 PM,"Level Up Las Vegas - Las Vegas,3799 S Las Vegas Blvd, Las Vegas, NV 89109","Up up down down left right left right B A start! Know what I mean? Then you\'ll fit right in at our next shindig, Yelp\'s Game Night, inside MGM Grand at Level Up! bit.ly/2E63dpQ\n\nNo quarters required here! Just FREE PLAY ALL DAY, or at least a few hours! So unleash your inner child and come play with us! With all that button mashing you\'re going to need something to sustain the stamina, so select Level Up will be serving up pizza, and two complimentary crafty cocktails to quench your thirst!\n\nWe promise this event will bring you a lot of joy(stick)! So RSVP NOW! Must be 21 to play here!\n\nAbout Level Up Las Vegas:\nChanging the way Las Vegas views lounge entertainment, LEVEL UP presents a new era in interactive, skill-based fun. Located between Hakkasan Nightclub and the MGM Grand Race and Sports Book, the tech savvy, adult playground features pay-to-play offerings in a social atmosphere, designed to not only attract the next generation of players, but existing players seeking innovation.\n\nBUT YOU HAVE TO WIN A SPOT TO ATTEND! THIS IS A PRIVATE, INVITE-ONLY EVENT!\n\nTo enter to win an invite, which will be good for you and one guest:\n1. Click ""RSVP"" in the top right corner of this page. (Don\'t see ""RSVP""? Check to see if you are logged in.)\n2. Make sure you have a profile pic (of yourself) and a REAL name on your account/profile.\n\nOther friendly reminders:\n* First round of RSVPs will be confirmed via email 1 week prior to the event. Make sure you\'re Account Settings allow you to receive emails from Yelp.\n* Space is limited. Please await a confirmation email from Yelp to ensure you\'ve won a spot.\n* All guests must be 21+, with proper ID.\n\nQuestions? Message Yelp Las Vegas Community Manager Taylor S via her Yelp profile: taytertalks.yelp.com.",https://s3-media3.fl.yelpcdn.com/ephoto/8RouMgXhMmWd8AeiNvdVwA/300s.jpg,,PST,04/09/18 07:30 PM,"(36.1204933, -115.1747142)"
Las Vegas Restaurant Week,06/18/18 12:00 AM,"Las Vegas Restaurant Week - Las Vegas, NV,Las Vegas, NV","Help out by dining out during Las Vegas Restaurant Week! The annual 12-day culinary event will take place this year from June 18 through June 29.\n\nParticipating restaurants will create prix-fixe menus - some offering breakfast, lunch and/or dinner - at price points ranging from $20 to $80. A fixed portion of the meal's cost will directly support Three Square Food Bank's mission of pursuing a hunger-free community.\n\nA complete list of menus by participating restaurants will be available on HelpOutDineOutLV.org in early June. Follow Las Vegas Restaurant Week on Facebook for the latest updates.",https://s3-media3.fl.yelpcdn.com/ephoto/YbHnzXfjINtfg4-V6ZSnrg/300s.jpg,,PST,06/29/18 11:30 PM,"(36.2362732, -115.0969797)"
29th annual jazz in the park series,05/12/18 12:00 AM,"Clark County Amphitheater - Las Vegas,500 S Grand Central Pkwy, Las Vegas, NV 89106","Clark County Parks and Recreation kicks off summer with their annual Jazz in the Park Concert Series, which celebrates its 29th year. This year, the free series will feature Ghost-Note (featuring Nate and Sput from the multi GRAMMY Award-winning Band Snarky Puppy) on May 12, Bill Frisell feat. Trio Tony Scherr & Kenny Wollesen on May 19, Diane Schuur on May 26, The Groove Project featuring Marcus Anderson, Oli Silk and JJ Sansaverino on June 2 and Mindi Abair & The Boneshakers on June 16. Seating for those with picnic baskets, blankets, and low-back chairs will begin at 5 p.m. with performances beginning as early as 6:30 p.m. at the Clark County Government Center Amphitheater, 500 S. Grand Central Parkway. Food and drinks will be available on site. Admission and parking are free.",https://s3-media4.fl.yelpcdn.com/ephoto/BibCN3cLDfm-nY-zFwc2Nw/300s.jpg,,PST,06/11/18 12:00 AM,"(36.1656918, -115.1530798)"
Monta Chaya Pop Up (New Hours),04/02/18 05:00 PM,"Udon Monzo - Las Vegas,3889 Spring Mountain Rd, Las Vegas, NV 89102","You asked for it, we're bringing it back!! Monta Chaya pop-up restaurant!! Ramen available from 5:00pm ~ 11:00pm at Udon Monzo location!!\nPlease look forward to our new location along with our new menu release!!",https://s3-media2.fl.yelpcdn.com/ephoto/_VllNacs18HH2AFVSLkbvw/300s.jpg,,PST,04/20/18 11:00 PM,"(36.1656918, -115.1530798)"
"Reno Unofficial Yelp Spring Break Save the Date May 17-20, 2018",04/07/18 12:00 AM,"City of Las Vegas - Las Vegas,495 S Main St, Las Vegas, NV 89101","Hey Las Vegas! Spread the word! Reno is excited to host our first Unofficial Yelp Spring Break (UYSB) May 17-20, 2018. Check out all of the great events we have planned including coffees, hikes, happy hours,  breweries, multiple dining opportunities, a ghost tour and a docent tour, and many more. There is literally something for everyone. Go to the ""Official Website"" link at the bottom of this page to see all of the events posted in one place. Click on the links for more information and RSVP with the I\'M IN button or click SOUNDS COOL if you can\'t make it but want to show it some love.\n\nHere is the link to the Facebook group where you can also keep up on some of the activities and discussions. Feel free to add friends who you think may be interested.\n\nfacebook.com/groups/1558",https://s3-media1.fl.yelpcdn.com/ephoto/TAbNbio6J6SyguJHjXgI2w/300s.jpg,,PST,05/07/18 12:00 AM,"(36.1674401, -115.1484325)"
AIDS WALK LAS VEGAS 2018,04/15/18 07:00 AM,"Town Square Las Vegas - Las Vegas,6605 Las Vegas Blvd S, Las Vegas, NV 89119","Attracting more than 3,500 participants annually, AIDS Walk Las Vegas is one of the most visible, longstanding, and recognizable events in the Las Vegas area. People of all ages, races, and backgrounds come together each year in a massive, powerful, and inspiring demonstration of compassion and action. Las Vegas AIDS walk is unique because we offer a 2-hour ""pre-walk"" festival with sponsor tables, top of the line Las Vegas entertainers, silent auction and food & beverage vendors (some offer free items). Join us for the festival (8-10) and then walk (10-11) to show your support. We ask that participants fundraise by getting friends, family, and colleagues to donate towards their goal. The more money a participant donates or raises the more prizes they will earn!",https://s3-media1.fl.yelpcdn.com/ephoto/zNFf6zrLhyhflvWtasrl9A/300s.jpg,,PST,04/09/18 11:00 AM,"(36.06816680000001, -115.1762652)"
Ben & Jerry's Free Cone Day,04/10/18 12:00 PM,"Ben & Jerrys - Las Vegas,3663 Las Vegas Blvd, Las Vegas, NV 89109","Annual Free Cone day!\nPosting this as it's my duty as a exported Vermonter. Most scoop shops will be doing free cone day, so if there's a shop closer to you, check them out and ask in advance for their planned hours. I'll likely be at Red Rock Casino as the crowds are...less.\nNo special orders. No cash.\nSometimes a shop runs a charity fundraiser at the same time, so bring cash for donating if you're feeling giving.",https://s3-media2.fl.yelpcdn.com/ephoto/Sp19dVnaB84MsNMscsIL_w/300s.jpg,,PST,04/09/18 08:00 PM,"(36.1107346, -115.1722379)"
Dita Von Teese,06/28/18 07:30 PM,"House of Blues - Music Venue - Las Vegas,3950 Las Vegas Blvd S, Las Vegas, NV 89119","Absolut Elyx presents\nHeadlining: Dita Von Teese and The Copper Coupe Burlesque\nAges: 18+ only\n\nShow: TBD\nDoors: 7:30 P.M. PST\n\nFor VIP seating upgrades, please fill out a request on the House of Blues website.\n\nHouse of Blues Las Vegas is a carbon neutral venue by Terrapass.",https://s3-media3.fl.yelpcdn.com/ephoto/DLcwcOlcB6xrTaM2wc4ZZA/300s.jpg,,PST,06/29/18 07:30 PM,"(36.093044, -115.175564)"
Great Las Vegas Festival of Beer. $399 Per Couple,04/06/18 12:00 AM,"Park on Fremont - Las Vegas,506 Fremont St, Las Vegas, NV 89101","8th Annual Great Las Vegas Festival of Beer\nMore than 100 breweries. More than 500 craft beers. Cool experiences. Beer-inspired cuisine. It's all part of the 8th Annual Great Vegas Festival of Beer! As part of this special event getaway in amazing Las Vegas, you'll enjoy two unique experiences - the Mad Craft Experience and the Great Vegas Grand Tasting!\n\nThe Mad Craft Experience offers a high-energy, experimental competition combining the world's of craft beer and culinary. The event celebrates craft beers, local brewers, taverns, chefs, and those that push the limits of your palate with both brews and food. You'll enjoy unlimited samples of beer and food! Then, the following day, the Grand Tasting features more than 100 of the world's top craft breweries across three blocks of downtown Las Vegas. Sample more than 500 craft beers and enjoy delicious dishes while enjoying BrewLogic educational sessions, Silent Disco and more.\n\nThis unique festival is all part of an exciting three-night getaway in Las Vegas where you'll enjoy luxury one-bedroom villa accommodations at Westgate Flamingo Bay Resort. Located a short drive from the famed Vegas Strip, Westgate Flamingo Bay features roomy and luxurious villas offering lots of living space and all the creature comforts of home. Your villa features separate sleeping, living and dining areas. Meanwhile, the 10-acre property includes a tropical swimming pool, exquisite landscaping with water displays and many resort amenities such as a practice putting green, barbecue facilities, playground and a fully-equipped fitness center.\n\nYou'll also enjoy VIP check-in. a special dinner with buffet, open bar, DJ, prizes and dancing, as well as late check-out on your final day.",https://s3-media2.fl.yelpcdn.com/ephoto/mdbrwq5RZl3TBjrfTE02Hg/300s.jpg,,PST,04/09/18 12:00 AM,"(36.169269, -115.140157)"
