Profile name,Title,Date,Location,Description,ImageURL
Priscilla Fowler Fine Art Gallery,Celestial Abstractions: Paintings by Benjamin Schmitt,"Fri, Jan 12, 2018","Priscilla Fowler Fine Art Gallery/Studio 1025 S. First StSuite 155 Las Vegas, NV 89101","Priscilla Fowler Fine Art Gallery and Studio Presents Celestial Abstractions: Paintings by Benjamin SchmittThe beautiful, the distorted, the deep layers of life. Benjamin Schmitt has a unique way of showing us nature’s rhythms that lie beneath the surface. This takes us on an emotional journey of the abstract and organized chaos that, when combined, is timeless and relevant. This is accomplished through mapping the intelligence of the human experience focusing on the dichotomy between the seen and unseen. Come experience these colorful abstractions in person. Celestial Abstraction: Paintings will be displayed through January 27, 2018. Meet Benjamin Schmitt on Preview Thursday, November 30, from 5-9 p.m.and First Friday, December 1, from 5-11 p.m. Priscilla Fowler Fine Art Gallery is conveniently located at 1025 S. 1st Street in the downtown Las Vegas Arts District and is open Wednesday-Saturday, 12-9 p.m., or by appointment.",http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/65553901/10935556_0_detail@2x.jpg
Priscilla Fowler Fine Art Gallery,Holiday Group Hang,"Fri, Jan 12, 2018","Priscilla Fowler Fine Art Gallery/Studio 1025 S. First StSuite 155 Las Vegas, NV 89101","Priscilla Fowler Fine Art Gallery and Studio PresentsHoliday Group Hang!Please join us for a very merry show featuring generous holiday pricing on original artwork. We are featuring both local and national return artists, as well as newcomers to our gallery for this special event. Artists include: Alexander Lui, Tom Umholtz, Jeff Fulmer, Jeanne Voltura, Rosanne Giacomini, Priscilla Fowler, Eva Celin, 3 Baaad Sheep, Donald Starr, Diane Bush, Shirley Davis, Jamel Mohamed, Julia(n) Grey, and Kristin Meuse. Also Terrien Hale, Brigitte Begley, Allison Streater, Joanna Michalowicz, and many others! Give the gift of artwork to your friends, family, and even yourself this holiday season. Local artist, Benjamin Schmitt will also be displaying his solo show, Celestial Abstractions: Paintings at the front of the gallery. Don't miss it! Paintings will be displayed through January 27, 2018. Meet many of the artists on Preview Thursday, November 30, from 5-9 p.m.and First Friday, December 1, from 5-11 p.m. Priscilla Fowler Fine Art Gallery is located at 1025 S. 1st St in the downtown Las Vegas Arts District. Special holiday pricing for the group show will continue through January 27, 2018. Regular hours are Wednesday-Saturday, 12-9 p.m., or by appointment.",http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/06553901/10935560_0_detail@2x.jpg
New scrape needed,Downtown Summerlin Holiday Train Rides,"Fri, Jan 12, 2018 4:00 pm - 10:00 pm","Downtown Summerlin 1980 Festival Plaza Dr Las Vegas, NV 89135",Rides are $4.00 per child. Adults are required to purchase tickets and ride with their kids. Tickets are purchased at the train directly on The Lawn.,http://s3-us-west-2.amazonaws.com/images.eviesays.com/venue/9481346/6431849_0_detail@2x.jpg
New scrape needed,Rock Rink in Downtown Summerlin,"Fri, Jan 12, 2018 4:00 pm - 10:00 pm","Downtown Summerlin 1980 Festival Plaza Dr Las Vegas, NV 89135","Rock Rink, the premier ice skating rink located near the Pavilion on The Lawn. Highlights include skating under the stars set to the backdrop of joyful holiday music and an impressive 40-foot holiday tree overlooking the rink.  Skate rentals start at $15, and all ages are welcome.  Coffee Bean & Tea Leaf will offer signature holiday beverages via a mobile coffee truck rink-side",http://s3-us-west-2.amazonaws.com/images.eviesays.com/venue/9481346/6431849_0_detail@2x.jpg
New scrape needed,Bird Road Podcast LIVE,"Fri, Jan 12, 2018 7:00 pm - 11:00 pm","ReBAR 1225 S Main St Las Vegas, NV 89104","Bird Road Podcast Presents the Bird Road Cavalcade of Stars!Progressive Politics, Presented Pleasantly.This will be the first ever LIVE episode of our Bird Road Podcast featuring your hosts, David Michael Quinones (Q) & David Rosen (Jewish Dave), as well as growing list of guests that currently includes:- Gubernatorial Candidate and Rights Society Co-Founder Kyle Chamberlain- Comedian Jason Harris- Thee Swank Bastards- Dead Money- Joseph S. MascolinoAND MORE!There will be jokes, jams and you might even learn something. Or you'll just drink a lot of beer and have a great time at ReBAR, because ReBAR rules. Plus when's the last time you hung out with Q & Jewish Dave? I mean, really!If you haven't already, listen, rate and review Bird Road Podcast on iTunes, Google Play or anywhere you listen to podcasts! Check out our website at http://www.birdroadpodcast.com/ for all the links you need.21+, FREE",http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/67696611/11669676_0_detail@2x.jpg
New scrape needed,Great Lengths (10x30 canvas),"Fri, Jan 12, 2018 7:00 pm - 10:00 pm","Pinot's Palette 1000 S. Rampart Blvd, Suite 10 Las Vegas, NV 89145","Partial to peacocks and paisley? Looking for a special piece of artwork for your home? This 10"" x 30"" painting may be your answer.",http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/71692711/11729617_0_detail@2x.jpg
New scrape needed,Holiday Blessings-Sacred Native American Pipe Ceremony,"Fri, Jan 12, 2018 7:00 pm - 8:30 pm","Enchanted Forest Reiki Center, Spiritual Items 'n More 2280 S Jones Blvd Las Vegas, NV 89146","7:00p.m. Tobacco And/or Love DonationThis is an authentic ritual Pipe Ceremony and healing circle.We encourage you to bring your children, family and friends to this special family event.A ceremony where kids can be themselves. Crying is allowed.This is an ideal time to bring items such as crystals, necklaces, drums, rattles to be cleansed, energized, and blessed.For those requesting for a more personal healing, blessing, or guidance, it is traditional for the Shaman to be given tobacco as a gift for their sacrifice and offering. Pipe tobacco is perfect.The ceremony will involve storytelling, a talking circle, drumming, meditation, and chanting of sacred songs and songs from the heart.Ladies cannot be on their ""power time"", but are welcome to attend another ceremony. If you are not aware what is considered to be ""power time"" in Native American tradition please contact Debbie through Enchanted Forest at 702-948-4999 for clarification. ( If possible, bring 4 colored ribbons of your choice, length from heart to the end of your fingertip.)This is a spiritual circle, we invite your loving universal energies into the space whether you are a healer of another energy modality or are someone whom is completely unfamiliar with Shaman ceremony or spiriual healing. All are welcome.",http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/77288901/10988277_0_detail@2x.jpg
New scrape needed,The Bobby Kingston Band special Guest Cole Reeves Live & DJ Kaz,"Fri, Jan 12, 2018 7:00 pm - 2:00 am","Saddles & Spurs 2333 N Jones Blvd Las Vegas, NV 89108","The Bobby Kingston Band performs Classic Country Honky Tonk Dance Music Live EVERY Friday and Saturday with DJ Kaz on the Band Breaks and closing out the night at Saddle N Spurs Saloon.  If you want the real deal performed by seasoned professionals check it out. Waylon, Willie, Hank, Cash, Jones, Haggard, and...well you get the idea.  The popular DJ Kaz will be spinning all your favorite line dance and modern country hits on the band breaks.Bobby Kingston Band Live 7pm-12amTeddy & Brenda's Dance Lesson Music 8-830pmDJ Kaz on band breaks & closes out show 9:30pm-2amCome and party with us at Las Vegas' LAST Remaining REAL Honky Tonk Bar! Hope to see you there!Saddle N Spurs SaloonEat - Drink - Gamble - Enjoy2333 N Jones Blvd(SE corner at Smoke Ranch)Las Vegas, NV 89108(702) 646-6292www.sns.vegaswww.bobbykingston.comLike the band on Facebook:http://www.facebook.com/bobbykingstonLike the SNS Saloon on Facebook:http://www.facebook.com/saddlenspurs",http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/89995911/11959998_0_detail@2x.jpg
New scrape needed,All Hail The Yeti at Backstage Bar & Billiards,"Fri, Jan 12, 2018 8:00 pm","Backstage Bar & Billiards 601 Fremont Street Las Vegas, NV 89101",All Hail The Yeti at Backstage Bar & Billiards with .bipolar. and more. https://www.facebook.com/officialallhailtheyeti/https://www.facebook.com/bipolarmetal,http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/57258311/11385275_0_detail@2x.jpg
New scrape needed,Frankie Valli,"Fri, Jan 12, 2018 8:00 pm","Zumanity Theater 3790 South Las Vegas Boulevard Las Vegas, NV 89109","Born May 3, 1934 in Newark, New Jersey.Frankie Valli is best known as lead singer of The Four Seasons, one of the biggest music acts of the 1960s, which continued from then to the 1970s disco scene to the present day.",http://s3-us-west-2.amazonaws.com/images.eviesays.com/event/19196011/11069191_0_detail@2x.jpg
