User Profile,Title,Date,Location,Description,ImageURL
T Mobile Areana,KATY PERRY WITH SPECIAL GUEST CARLY RAE JEPSEN,"JAN 20, 2018","Las Vegas, NV","Today, Katy Perry announced the June 9 release of her new album, Witness (Capitol Records), and an extensive arena tour. With Witness, Katy reflects on the changes in her own life and in the world around her, delivering songs that both challenge and inspire. The singles released thus far – the Platinum-certified “Chained to the Rhythm” featuring Skip Marley and the follow-up single, “Bon Appétit” featuring Migos – hint at the breadth of the musical and thematic elements found on Witness. Each ticket purchase for “Witness: The Tour” also includes a pre-order for “Witness: The Album.” The North American leg of WITNESS: The Tour produced by AEG Presents will kick off on September 7 at Schottenstein Center in Columbus, OH and will make a stop in Las Vegas at T-Mobile Arena in Las Vegas Saturday, Jan. 20. Reserved event parking is available at New York-New York, Monte Carlo and the Aria Event Parking Garage for this event starting at $10. Additional service fees apply. The price increases the day of the event.  For more information, including maps, directions and to purchase passes, please click here.  The Best Access. Entertainment. Sporting Events. Everything. Designed to offer the very best first-class amenities, personal service and an exclusive environment for essentially every event at T-Mobile Arena. The Event Suites are the perfect setting to entertain a client, potential investor, or enjoy an evening out with friends and family. Your suite will either be located on the Event Level or on the Premium Suite Level that accommodates up to 16 to 40 guests.   Includes 16-40 tickets
4-10 VIP parking passes
Prices vary for each event  Please contact us at [email protected]. ",http://www.t-mobilearena.com/assets/img/32246MGM_KatyPerry_600x600-8bd8b36570.jpg
T Mobile Areana,VEGAS GOLDEN KNIGHTS VS. COLUMBUS BLUE JACKETS,"JAN 23, 2018","Las Vegas, NV","The Vegas Golden Knights are making history, and you can be here to witness it live! Las Vegas’ first-ever major league professional sports team takes the ice at T-Mobile Arena for the 2017-18 NHL season. A limited amount of single game tickets are on sale now.  For more ticket information, please click here.  ",http://www.t-mobilearena.com/assets/img/0123_CBJ_VGK-Gameday_600x600-77c457084d.jpg
T Mobile Areana,VEGAS GOLDEN KNIGHTS VS. NEW YORK ISLANDERS,"JAN 25, 2018","Las Vegas, NV","The Vegas Golden Knights are making history, and you can be here to witness it live! Las Vegas’ first-ever major league professional sports team takes the ice at T-Mobile Arena for the 2017-18 NHL season. A limited amount of single game tickets are on sale now.  For more ticket information, please click here.  ",http://www.t-mobilearena.com/assets/img/0125_NYI_VGK-Gameday_600x600-87b35ec5c0.jpg
T Mobile Areana,CALIBASH 2018,"JAN 27, 2018","Las Vegas, NV","Calibash returns to T-Mobile Arena on Saturday, January 27, 2018. Performances by Jennifer Lopez, Ricky Martin, Maluma, Farruko, Bad Bunny, and many more to be announced.   RESERVED EVENT PARKING AVAILABLE Reserved event parking is available at New York-New York, Monte Carlo and the Aria Event Parking Garage for this event starting at $10. Additional service fees apply. The price increases the day of the event.  For more information, including maps, directions and to purchase passes, please click here. UBER  EVENT DAY RENTALS The Best Access. Entertainment. Sporting Events. Everything. Designed to offer the very best first-class amenities, personal service and an exclusive environment for essentially every event at T-Mobile Arena. The Event Suites are the perfect setting to entertain a client, potential investor, or enjoy an evening out with friends and family. Your suite will either be located on the Event Level or on the Premium Suite Level that accommodates up to 16 to 40 guests.   Includes 16-40 tickets
4-10 VIP parking passes
Prices vary for each event  Please contact us at [email protected]. ",http://www.t-mobilearena.com/assets/img/600x600_Calibash-Las-vegas-41a905bc70.jpg
T Mobile Areana,GEORGE STRAIT,"FEB 2 - 3, 2018","Las Vegas, NV","The King of Country Music, George Strait is returning to T-Mobile Arena on February 2 & 3, 2018 with special guests Lyle Lovett and Robert Earl Keen.  RESERVED EVENT PARKING AVAILABLE Reserved event parking is available at New York-New York, Monte Carlo and the Aria Event Parking Garage for this event starting at $10. Additional service fees apply. The price increases the day of the event.  For more information, including maps, directions and to purchase passes, please click here. UBER  EVENT DAY RENTALS The Best Access. Entertainment. Sporting Events. Everything. Designed to offer the very best first-class amenities, personal service and an exclusive environment for essentially every event at T-Mobile Arena. The Event Suites are the perfect setting to entertain a client, potential investor, or enjoy an evening out with friends and family. Your suite will either be located on the Event Level or on the Premium Suite Level that accommodates up to 16 to 40 guests.   Includes 16-40 tickets
4-10 VIP parking passes
Prices vary for each event  Please contact us at [email protected] ",http://www.t-mobilearena.com/assets/img/17-ENT-02060-0023-GS-Feb-Digitals-600600-v00-2b0cbcb990.jpg
T Mobile Areana,VEGAS GOLDEN KNIGHTS VS. PHILADELPHIA FLYERS,"FEB 11, 2018","Las Vegas, NV","The Vegas Golden Knights are making history, and you can be here to witness it live! Las Vegas’ first-ever major league professional sports team takes the ice at T-Mobile Arena for the 2017-18 NHL season. A limited amount of single game tickets are on sale now.  For more ticket information, please click here.  ",http://www.t-mobilearena.com/assets/img/33003_600x600-Event-Thumbnail-228a04eb04.jpg
T Mobile Areana,VEGAS GOLDEN KNIGHTS VS. CHICAGO BLACKHAWKS,"FEB 13, 2018","Las Vegas, NV","The Vegas Golden Knights are making history, and you can be here to witness it live! Las Vegas’ first-ever major league professional sports team takes the ice at T-Mobile Arena for the 2017-18 NHL season. A limited amount of single game tickets are on sale now.  For more ticket information, please click here.  ",http://www.t-mobilearena.com/assets/img/33003_600x600-Event-Thumbnail-228a04eb04.jpg
T Mobile Areana,VEGAS GOLDEN KNIGHTS VS. EDMONTON OILERS,"FEB 15, 2018","Las Vegas, NV","The Vegas Golden Knights are making history, and you can be here to witness it live! Las Vegas’ first-ever major league professional sports team takes the ice at T-Mobile Arena for the 2017-18 NHL season. A limited amount of single game tickets are on sale now.  For more ticket information, please click here.  ",http://www.t-mobilearena.com/assets/img/33003_600x600-Event-Thumbnail-228a04eb04.jpg
T Mobile Areana,VEGAS GOLDEN KNIGHTS VS. MONTREAL CANADIENS,"FEB 17, 2018","Las Vegas, NV","The Vegas Golden Knights are making history, and you can be here to witness it live! Las Vegas’ first-ever major league professional sports team takes the ice at T-Mobile Arena for the 2017-18 NHL season. A limited amount of single game tickets are on sale now.  For more ticket information, please click here.  ",http://www.t-mobilearena.com/assets/img/33003_600x600-Event-Thumbnail-228a04eb04.jpg
T Mobile Areana,VEGAS GOLDEN KNIGHTS VS. ANAHEIM DUCKS,"FEB 19, 2018","Las Vegas, NV","The Vegas Golden Knights are making history, and you can be here to witness it live! Las Vegas’ first-ever major league professional sports team takes the ice at T-Mobile Arena for the 2017-18 NHL season. A limited amount of single game tickets are on sale now.  For more ticket information, please click here.  ",http://www.t-mobilearena.com/assets/img/33003_600x600-Event-Thumbnail-228a04eb04.jpg
